omega,S
5.253687e+00,1.706274e+00
4.648539e+00,1.412205e+00
8.992379e+00,2.186346e+00
8.245791e+00,2.120223e+00
2.376376e+00,9.323358e-01
4.858782e+00,1.576228e+00
7.277860e+00,2.102309e+00
7.022900e+00,1.976930e+00
6.057650e+00,1.844775e+00
1.361164e+00,2.039348e-01
6.422256e+00,1.787508e+00
7.692848e+00,1.954761e+00
9.900984e+00,2.225324e+00
7.246074e+00,1.967870e+00
2.577419e+00,9.996861e-01
9.957106e+00,2.223285e+00
1.507573e+00,3.891733e-01
7.525705e+00,2.042202e+00
2.275075e+00,7.713540e-01
2.032092e+00,6.179225e-01
1.076990e+00,9.587448e-02
4.798634e+00,1.605853e+00
3.204499e+00,1.131845e+00
3.519064e+00,1.245855e+00
2.150853e+00,7.418171e-01
6.369358e+00,1.819951e+00
3.453906e+00,1.340187e+00
9.254799e+00,2.239773e+00
5.350776e+00,1.763428e+00
6.179988e+00,1.867703e+00
4.974991e+00,1.552034e+00
5.500853e+00,1.670981e+00
4.618149e+00,1.545808e+00
6.533379e+00,1.862746e+00
5.738280e+00,1.766147e+00
7.519458e+00,1.928859e+00
8.566168e+00,2.230615e+00
2.206437e+00,7.073547e-01
1.609736e+00,5.018197e-01
4.333399e+00,1.453686e+00
7.441078e+00,2.030579e+00
5.152501e+00,1.586768e+00
1.111271e+00,1.411677e-01
4.054722e+00,1.375572e+00
3.591709e+00,1.236693e+00
6.627103e+00,1.874471e+00
4.393562e+00,1.566363e+00
2.781790e+00,1.027553e+00
7.677087e+00,2.110932e+00
2.800183e+00,1.098127e+00
3.565128e+00,1.364001e+00
4.101471e+00,1.423935e+00
9.279807e+00,2.188510e+00
4.704650e+00,1.468730e+00
3.642175e+00,1.298072e+00
2.277751e+00,8.377645e-01
2.062131e+00,6.706714e-01
5.581837e+00,1.715302e+00
9.656291e+00,2.222990e+00
4.165042e+00,1.519025e+00
1.446505e+00,4.317323e-01
4.630728e+00,1.609173e+00
6.934104e+00,1.980937e+00
7.043041e+00,1.876691e+00
3.759095e+00,1.393923e+00
6.854885e+00,2.005605e+00
6.981500e+00,1.908599e+00
