omega,S
2.202805e+14,4.546827e-22
1.211915e+19,6.086828e-22
3.229411e+10,3.343373e-22
2.788279e+07,2.371176e-22
4.422547e+00,1.959579e-23
1.372031e+10,3.212344e-22
8.956946e+08,2.848220e-22
7.706779e+16,5.386057e-22
1.458650e+00,5.630796e-24
1.760792e+14,4.522747e-22
2.787098e+03,1.087633e-22
6.325104e+01,5.918543e-23
5.130304e+05,1.848358e-22
1.983505e+06,2.003654e-22
9.022792e+18,6.014494e-22
8.718240e+05,1.900003e-22
1.050959e+03,9.852425e-23
6.240158e+10,3.426908e-22
2.498850e+14,4.552277e-22
1.589610e+16,5.136566e-22
1.262587e+13,4.204949e-22
3.049313e+10,3.351072e-22
4.572454e+17,5.630883e-22
2.347346e+02,7.274502e-23
7.445428e+07,2.506214e-22
7.638922e+06,2.160725e-22
1.903969e+09,2.951293e-22
1.597959e+05,1.668889e-22
2.880587e+02,7.723389e-23
2.802170e+03,1.089809e-22
3.220803e+15,4.917180e-22
3.102394e+14,4.602173e-22
1.929669e+10,3.246333e-22
1.066858e+13,4.144978e-22
3.681707e+04,1.449204e-22
1.206616e+06,1.958310e-22
4.224408e+13,4.316293e-22
1.573825e+14,4.506707e-22
9.162529e+09,3.143687e-22
2.414506e+02,7.333121e-23
1.619626e+06,1.938286e-22
8.274554e+14,4.759727e-22
4.643420e+19,6.260905e-22
2.204740e+03,1.069039e-22
1.465759e+05,1.660924e-22
8.619988e+08,2.785860e-22
5.248374e+18,5.949726e-22
1.355473e+07,2.293467e-22
3.416390e+19,6.194755e-22
3.305512e+06,2.080712e-22
1.642861e+06,1.980388e-22
5.456897e+06,2.139895e-22
5.190521e+13,4.379327e-22
9.276083e+11,3.791617e-22
4.765311e+16,5.308630e-22
3.346932e+12,3.983161e-22
5.769505e+07,2.453496e-22
1.454383e+14,4.472362e-22
6.081592e+18,5.995797e-22
2.698293e+04,1.411932e-22
2.601960e+17,5.524553e-22
2.002922e+09,2.949472e-22
2.047922e+07,2.339019e-22
1.735728e+10,3.282405e-22
1.642704e+15,4.811033e-22
5.192070e+07,2.444287e-22
1.903622e+13,4.227518e-22
3.460038e+06,2.092490e-22
4.132538e+13,4.320956e-22
1.288794e+04,1.311875e-22
3.489991e+18,5.915678e-22
8.266174e+19,6.333161e-22
1.149719e+05,1.635362e-22
6.319581e+16,5.358837e-22
1.177009e+17,5.439861e-22
1.158231e+09,2.867360e-22
4.318310e+02,8.383020e-23
5.605175e+08,2.773014e-22
1.322099e+04,1.290990e-22
2.949015e+19,6.206963e-22
1.375705e+12,3.857992e-22
6.418747e+18,5.951700e-22
6.594350e+19,6.308751e-22
6.117019e+14,4.689201e-22
8.258714e+14,4.770366e-22
3.093603e+19,6.193610e-22
4.196851e+16,5.265739e-22
1.062871e+01,3.261316e-23
1.012613e+01,3.374569e-23
