omega,S
5.253687e+00,1.658930e+00
4.648539e+00,1.536553e+00
8.992379e+00,2.196377e+00
8.245791e+00,2.109703e+00
2.376376e+00,8.655765e-01
4.858782e+00,1.580788e+00
7.277860e+00,1.984837e+00
7.022900e+00,1.949176e+00
6.057650e+00,1.801322e+00
1.361164e+00,3.083399e-01
6.422256e+00,1.859769e+00
7.692848e+00,2.040291e+00
9.900984e+00,2.292634e+00
7.246074e+00,1.980460e+00
2.577419e+00,9.467886e-01
9.957106e+00,2.298286e+00
1.507573e+00,4.105014e-01
7.525705e+00,2.018325e+00
2.275075e+00,8.220130e-01
2.032092e+00,7.090657e-01
1.076990e+00,7.417051e-02
4.798634e+00,1.568331e+00
3.204499e+00,1.164556e+00
3.519064e+00,1.258195e+00
2.150853e+00,7.658645e-01
6.369358e+00,1.851499e+00
3.453906e+00,1.239506e+00
9.254799e+00,2.225142e+00
5.350776e+00,1.677242e+00
6.179988e+00,1.821316e+00
4.974991e+00,1.604424e+00
5.500853e+00,1.704903e+00
4.618149e+00,1.529994e+00
6.533379e+00,1.876924e+00
5.738280e+00,1.747160e+00
7.519458e+00,2.017494e+00
8.566168e+00,2.147820e+00
2.206437e+00,7.913789e-01
1.609736e+00,4.760699e-01
4.333399e+00,1.466352e+00
7.441078e+00,2.007016e+00
5.152501e+00,1.639482e+00
1.111271e+00,1.055041e-01
4.054722e+00,1.399882e+00
3.591709e+00,1.278628e+00
6.627103e+00,1.891168e+00
4.393562e+00,1.480140e+00
2.781790e+00,1.023095e+00
7.677087e+00,2.038240e+00
2.800183e+00,1.029685e+00
3.565128e+00,1.271200e+00
4.101471e+00,1.411346e+00
9.279807e+00,2.227841e+00
4.704650e+00,1.548551e+00
3.642175e+00,1.292581e+00
2.277751e+00,8.231884e-01
2.062131e+00,7.237398e-01
5.581837e+00,1.719518e+00
9.656291e+00,2.267610e+00
4.165042e+00,1.426726e+00
1.446505e+00,3.691500e-01
4.630728e+00,1.532714e+00
6.934104e+00,1.936452e+00
7.043041e+00,1.952040e+00
3.759095e+00,1.324178e+00
6.854885e+00,1.924961e+00
6.981500e+00,1.943264e+00
8.749731e+00,2.169023e+00
6.833465e+00,1.921832e+00
6.048507e+00,1.799812e+00
1.014093e+00,1.399510e-02
7.122594e+00,1.963272e+00
9.323887e+00,2.232580e+00
3.089552e+00,1.128026e+00
6.916197e+00,1.933866e+00
4.257018e+00,1.448569e+00
6.537923e+00,1.877620e+00
1.552740e+00,4.400209e-01
7.103834e+00,1.960635e+00
8.163066e+00,2.099620e+00
3.871310e+00,1.353593e+00
5.217740e+00,1.652064e+00
4.432777e+00,1.489026e+00
9.404912e+00,2.241232e+00
4.058982e+00,1.400932e+00
3.683048e+00,1.303741e+00
1.229651e+00,2.067303e-01
3.495933e+00,1.251600e+00
7.710074e+00,2.042528e+00
1.892804e+00,6.380591e-01
9.291860e+00,2.229139e+00
1.225907e+00,2.036806e-01
2.389084e+00,8.709099e-01
9.619750e+00,2.263818e+00
3.361539e+00,1.212399e+00
5.216088e+00,1.651748e+00
2.726778e+00,1.003121e+00
9.071137e+00,2.205098e+00
