n,T,V,P
7.830310e+00,1.631323e+02,4.249634e+00,2.499064e+03
8.131073e+00,4.289638e+02,6.196662e+00,4.679729e+03
8.629205e-01,4.950755e+02,8.030361e+00,4.423003e+02
6.338370e+00,3.223503e+02,7.286983e+00,2.331138e+03
1.337626e+00,2.211311e+02,9.391973e+00,2.618412e+02
1.673441e+00,1.240916e+02,5.080459e-01,3.398288e+03
7.869497e+00,3.887453e+02,2.039416e+00,1.247143e+04
9.736630e+00,3.364059e+02,2.116411e+00,1.286715e+04
9.336980e+00,4.342006e+02,9.199912e+00,3.663728e+03
7.388534e+00,4.298370e+02,9.867885e+00,2.675765e+03
9.783420e+00,4.527535e+02,9.848827e+00,3.739195e+03
2.536444e+00,3.010596e+02,3.931818e+00,1.614709e+03
2.272954e+00,1.819516e+02,5.696954e+00,6.035507e+02
9.131204e+00,4.176231e+02,2.944233e+00,1.076838e+04
5.539913e+00,1.948184e+02,9.245224e+00,9.705672e+02
1.649839e+00,1.862833e+02,5.231091e+00,4.884647e+02
2.168836e+00,4.960913e+02,2.916856e+00,3.066786e+03
3.737104e+00,3.339996e+02,1.600070e+00,6.485629e+03
4.962058e+00,2.875097e+02,8.078234e+00,1.468277e+03
4.204238e+00,1.137517e+02,9.344912e+00,4.254809e+02
1.772369e+00,2.689824e+02,2.353754e+00,1.683942e+03
8.470938e+00,2.846291e+02,1.817774e-01,1.102760e+05
8.896778e+00,1.686710e+02,5.803239e+00,2.149873e+03
8.367431e-01,4.342312e+02,3.832244e+00,7.882609e+02
3.955431e+00,2.361660e+02,2.472062e+00,3.141679e+03
3.047972e+00,2.675892e+02,2.147975e+00,3.156895e+03
1.480775e+00,1.748976e+02,4.250301e+00,5.065977e+02
1.565711e+00,1.626191e+02,5.793483e+00,3.653873e+02
8.047789e+00,4.922359e+02,6.157769e+00,5.348555e+03
2.439569e+00,1.348026e+02,9.136793e+00,2.992454e+02
5.428242e+00,2.986873e+02,4.666096e-01,2.888899e+04
6.276016e+00,4.956186e+02,3.133794e+00,8.252227e+03
7.537633e+00,3.984766e+02,4.947084e+00,5.047758e+03
2.558044e-01,4.625094e+02,5.453775e+00,1.803605e+02
5.770898e+00,1.816127e+02,7.401471e+00,1.177285e+03
9.162212e+00,4.541984e+02,1.888051e+00,1.832493e+04
1.462845e+00,3.288802e+02,7.141936e-01,5.600541e+03
4.383298e+00,4.232747e+02,5.565145e+00,2.771768e+03
9.068303e+00,2.300032e+02,9.013698e-01,1.923831e+04
3.413597e+00,1.959394e+02,7.983264e-01,6.965681e+03
8.890709e+00,1.674510e+02,8.357115e+00,1.481077e+03
2.771612e+00,2.139454e+02,2.787782e+00,1.768424e+03
6.976306e+00,3.071272e+02,3.464218e+00,5.142196e+03
9.616435e+00,2.971290e+02,3.895719e+00,6.097918e+03
8.434401e+00,2.034242e+02,3.039575e+00,4.693036e+03
6.784974e+00,2.371950e+02,8.652907e+00,1.546328e+03
7.721360e+00,2.648299e+02,8.190128e+00,2.075774e+03
8.002517e+00,1.796912e+02,8.600891e-01,1.390017e+04
5.006747e+00,2.826126e+02,2.172519e+00,5.414939e+03
1.156092e+00,4.048144e+02,7.842366e+00,4.961482e+02
1.860771e+00,4.302104e+02,5.455707e+00,1.219924e+03
1.654973e-01,2.470152e+02,1.643223e+00,2.068369e+02
1.363513e+00,2.855085e+02,7.991457e+00,4.050070e+02
9.470654e+00,2.966130e+02,5.019401e+00,4.652948e+03
9.097489e+00,2.487527e+02,1.089200e+00,1.727395e+04
8.576941e+00,2.199829e+02,7.952685e+00,1.972503e+03
1.109608e+00,3.490490e+02,3.238269e+00,9.943811e+02
6.913760e-01,1.787541e+02,3.109224e+00,3.304672e+02
8.107782e+00,2.257597e+02,1.869818e+00,8.138779e+03
2.717709e-01,4.103749e+02,3.931381e+00,2.358569e+02
1.977293e+00,2.472248e+02,6.702754e+00,6.063451e+02
7.894136e+00,2.850040e+02,1.856127e+00,1.007762e+04
9.361914e-01,3.988414e+02,2.584188e+00,1.201298e+03
2.264511e+00,4.841949e+02,4.289789e+00,2.125048e+03
3.833481e+00,2.592756e+02,4.747857e+00,1.740473e+03
9.260747e-01,1.355742e+02,5.807884e+00,1.797277e+02
5.244092e+00,4.260532e+02,3.975972e+00,4.671978e+03
3.265086e+00,3.792133e+02,9.989418e+00,1.030500e+03
3.951484e+00,1.959963e+02,3.227723e+00,1.994903e+03
8.722001e+00,1.678486e+02,6.557526e+00,1.856111e+03
8.810013e+00,3.631221e+02,6.572189e+00,4.046962e+03
6.855614e+00,3.474094e+02,3.963601e-01,4.995834e+04
4.037104e+00,2.278286e+02,6.011791e+00,1.271992e+03
9.412528e+00,1.560189e+02,2.130419e+00,5.730973e+03
8.434135e+00,4.403599e+02,8.779136e+00,3.517277e+03
3.921255e+00,4.874476e+02,8.931936e+00,1.779170e+03
1.026030e+00,2.891477e+02,9.842512e+00,2.506015e+02
8.630951e+00,1.803089e+02,4.049600e+00,3.195021e+03
7.800579e-01,2.028591e+02,8.560499e+00,1.536853e+02
2.949102e+00,3.091479e+02,1.431361e+00,5.295621e+03
1.132086e+00,4.993276e+02,4.803506e+00,9.784007e+02
8.179417e-01,3.969547e+02,9.232809e+00,2.923745e+02
5.617691e+00,3.916557e+02,8.429418e+00,2.170075e+03
8.058849e+00,1.085149e+02,7.549939e+00,9.630059e+02
9.091405e+00,4.572358e+02,9.574695e+00,3.609577e+03
3.646557e+00,3.421630e+02,1.287215e+00,8.058885e+03
7.998943e+00,4.760226e+02,6.061523e+00,5.222621e+03
5.506971e+00,2.976567e+02,7.854221e+00,1.735143e+03
3.378361e+00,1.273224e+02,8.721906e+00,4.100243e+02
8.839365e+00,4.828503e+02,6.651474e+00,5.334893e+03
1.516504e+00,4.546550e+02,6.362038e+00,9.010300e+02
4.763827e+00,2.407494e+02,1.745762e+00,5.461933e+03
5.687290e-01,2.603322e+02,8.243565e+00,1.493235e+02
2.189994e+00,1.579225e+02,3.132135e+00,9.180293e+02
7.243551e-01,1.533827e+02,7.113787e+00,1.298485e+02
3.597202e+00,3.883240e+02,1.089022e+00,1.066430e+04
3.545407e+00,4.767843e+02,3.562062e-01,3.945450e+04
7.959132e+00,3.872341e+02,7.870442e+00,3.255744e+03
3.343075e+00,2.107432e+02,4.768214e+00,1.228440e+03
3.249646e+00,4.145005e+02,3.712930e+00,3.016160e+03
7.735736e+00,4.838240e+02,3.878663e+00,8.022634e+03
3.224366e+00,2.650755e+02,6.306240e-01,1.126817e+04
4.511975e+00,3.226192e+02,5.934233e+00,2.039400e+03
5.749934e+00,3.781344e+02,9.090146e+00,1.988603e+03
5.665553e+00,1.926541e+02,6.916695e+00,1.311994e+03
5.022611e+00,3.234616e+02,1.672280e+00,8.077059e+03
