r,T
7.961628e-01,-1.317936e-01
1.822412e-01,-7.067935e-01
5.745821e+00,1.381858e+01
1.215820e+00,-6.815504e-02
6.480146e+00,1.578421e+01
3.212692e+00,5.565089e+00
6.050939e+00,1.386044e+01
1.883231e+00,2.362150e+00
4.060167e+00,7.250452e+00
8.359578e+00,2.360300e+01
2.618407e-01,6.235515e-01
3.962203e+00,8.478839e+00
1.680427e+00,2.569157e+00
2.316400e+00,4.090226e+00
4.462844e+00,8.612137e+00
7.922741e+00,2.296097e+01
1.376670e+00,2.565273e+00
3.972628e+00,8.460026e+00
6.716648e+00,1.953114e+01
1.192343e+00,6.705083e-01
7.715707e+00,2.335649e+01
2.983896e+00,5.291738e+00
5.014215e+00,1.107810e+01
4.331455e+00,8.886500e+00
6.036777e+00,1.433988e+01
1.921350e+00,1.938619e+00
2.798494e+00,5.818605e+00
1.166123e+00,3.885119e-01
4.494282e+00,9.171422e+00
1.262489e+00,4.209035e-01
2.525632e-01,1.828682e-01
9.329065e+00,2.846067e+01
8.032751e+00,2.301867e+01
3.802044e+00,6.859298e+00
5.673913e+00,1.413360e+01
2.737464e+00,4.785121e+00
7.527475e+00,2.079114e+01
6.383481e+00,1.633930e+01
9.904270e+00,3.175523e+01
3.979657e+00,7.146241e+00
9.560448e+00,2.808082e+01
7.335998e+00,2.110503e+01
2.732950e+00,3.689295e+00
1.969185e+00,2.903533e+00
5.430630e-01,7.278710e-02
2.292423e-01,2.538638e-01
2.930932e+00,3.116677e+00
2.464373e+00,4.586470e+00
3.579423e+00,7.172906e+00
3.716748e+00,7.509755e+00
3.733831e+00,7.290088e+00
7.833314e+00,2.123622e+01
6.532527e-01,7.696057e-01
1.035156e+00,1.475716e+00
4.357933e+00,7.882168e+00
2.915690e+00,3.906536e+00
2.018551e+00,1.570378e+00
7.968941e+00,2.498118e+01
8.580901e+00,2.485142e+01
4.684353e+00,1.086975e+01
6.564058e+00,1.621930e+01
8.889578e+00,2.646094e+01
7.166395e+00,2.039117e+01
3.867206e+00,7.726366e+00
6.896794e+00,1.500740e+01
4.955333e+00,1.216693e+01
3.312353e+00,6.168305e+00
1.585616e+00,1.859094e+00
8.709377e+00,2.647096e+01
4.929361e+00,1.033329e+01
1.219463e+00,2.972264e-01
1.621875e+00,7.847548e-01
3.996348e+00,6.665544e+00
4.751249e+00,9.877612e+00
2.555639e+00,2.850783e+00
7.995395e-01,1.329192e+00
1.700091e-01,5.352155e-01
7.247677e+00,1.981266e+01
6.145682e+00,1.515562e+01
9.134315e+00,2.763702e+01
6.810532e+00,1.974721e+01
1.526076e+00,6.786481e-01
7.327397e+00,1.979452e+01
7.375490e+00,1.951583e+01
7.103761e+00,1.983575e+01
8.086160e+00,2.394788e+01
6.792072e+00,1.795953e+01
3.861262e+00,8.612110e+00
8.783734e+00,2.418938e+01
9.603944e+00,2.963621e+01
2.082249e+00,3.209855e+00
2.785398e+00,5.161047e+00
2.624171e+00,9.356122e-01
5.379494e+00,1.127801e+01
1.752812e+00,3.544110e+00
9.967375e+00,3.238308e+01
9.802154e+00,3.055649e+01
9.638082e-01,1.971441e+00
3.241828e+00,6.138631e+00
9.858846e+00,3.009743e+01
9.091255e+00,2.661409e+01
4.805996e+00,9.739145e+00
1.421151e+00,1.851771e+00
8.938722e+00,2.551349e+01
4.958035e+00,1.063636e+01
4.140212e+00,1.010505e+01
1.997407e+00,3.329903e+00
9.025441e+00,2.689753e+01
8.178813e+00,2.311740e+01
4.573495e+00,7.852450e+00
4.063800e+00,9.558264e+00
5.498672e+00,1.194180e+01
5.279268e+00,1.257583e+01
9.744103e+00,2.971993e+01
1.895897e+00,2.295460e+00
5.670953e+00,1.402367e+01
9.724955e+00,2.933672e+01
1.111934e+00,7.784056e-01
9.826685e+00,3.097328e+01
9.868692e-01,9.750456e-01
6.408373e+00,1.600169e+01
2.239565e+00,4.012898e+00
9.476348e+00,2.887544e+01
8.975149e+00,2.678866e+01
2.115039e+00,4.537679e+00
4.800809e+00,1.136519e+01
1.816010e+00,1.415517e+00
4.951894e+00,1.080989e+01
8.005113e+00,2.371695e+01
6.015590e+00,1.445073e+01
1.928178e+00,3.174917e+00
5.587791e+00,1.182299e+01
5.238008e+00,1.078498e+01
9.851049e+00,3.072450e+01
9.620833e+00,3.151582e+01
9.426685e+00,3.056152e+01
9.931864e+00,3.074242e+01
7.422005e+00,1.826460e+01
3.652806e+00,6.338235e+00
3.577091e+00,6.919697e+00
9.384076e+00,3.007267e+01
5.623446e+00,1.391475e+01
6.150772e+00,1.633277e+01
4.180042e+00,8.731945e+00
3.520382e+00,8.081341e+00
1.115308e+00,1.003808e+00
6.708183e+00,1.585003e+01
8.127607e+00,2.223046e+01
4.893734e+00,1.049642e+01
2.247294e+00,3.687080e+00
2.943733e+00,6.498080e+00
6.872911e+00,1.764868e+01
6.707701e+00,1.882375e+01
2.348457e+00,2.538962e+00
9.668289e+00,3.175025e+01
1.424909e+00,2.102012e+00
3.188341e+00,6.599751e+00
8.522898e+00,2.483835e+01
2.422151e+00,4.047636e+00
1.527583e+00,2.611687e+00
8.403994e+00,2.337598e+01
7.489474e+00,2.140389e+01
8.319355e-01,1.224343e+00
3.403003e+00,6.683708e+00
9.816834e+00,3.080076e+01
2.773440e+00,5.201409e+00
8.196816e+00,2.292280e+01
4.734578e+00,9.173790e+00
2.510840e-01,8.648081e-01
9.067379e+00,2.794477e+01
1.371305e+00,4.719699e-01
3.440268e+00,6.396458e+00
9.816395e+00,3.048971e+01
5.936540e+00,1.376809e+01
6.543924e+00,1.863321e+01
8.613571e-01,4.048163e-01
7.903791e+00,2.170966e+01
3.766925e+00,7.936717e+00
7.775227e+00,2.433882e+01
9.875569e+00,3.149608e+01
6.685521e+00,1.701161e+01
1.809504e+00,2.256864e+00
4.035297e+00,8.872606e+00
9.130298e-01,9.412422e-01
3.377423e-01,-8.338198e-01
4.502264e+00,9.606611e+00
9.119552e-01,1.420896e-01
5.881357e+00,1.311628e+01
7.275137e+00,1.950122e+01
4.800699e+00,1.094400e+01
9.555986e+00,2.971319e+01
7.728001e+00,2.048670e+01
7.494881e+00,2.101801e+01
8.078642e+00,2.258678e+01
7.245934e+00,1.959593e+01
3.634553e-01,8.126918e-01
4.197784e+00,9.019015e+00
1.596695e+00,3.946488e+00
2.839125e+00,4.432236e+00
8.916596e+00,2.603584e+01
4.777491e-01,5.727100e-01
1.623639e+00,2.415525e+00
5.089084e+00,1.079117e+01
1.868995e+00,1.801291e+00
9.451423e+00,2.767021e+01
2.283045e+00,3.919970e+00
3.094294e+00,3.935896e+00
2.394579e-01,6.309986e-01
5.113563e+00,1.070476e+01
7.539839e+00,2.027422e+01
2.243716e+00,2.619453e+00
2.129006e+00,3.216520e+00
3.801982e+00,7.222771e+00
8.245230e-01,1.619733e+00
5.586401e+00,1.367049e+01
8.302468e+00,2.459366e+01
8.988629e+00,2.749555e+01
7.007647e+00,1.655610e+01
7.508398e+00,1.993312e+01
6.376835e+00,1.536335e+01
9.132625e+00,2.728318e+01
1.602274e+00,2.091914e+00
5.438069e-01,-5.024080e-01
4.735877e+00,1.132214e+01
7.338786e-01,2.334715e+00
8.280462e+00,2.333979e+01
3.993286e+00,9.710991e+00
4.404346e+00,8.922332e+00
2.451995e+00,5.084754e+00
7.715097e+00,2.018969e+01
8.064543e+00,2.334557e+01
6.160184e+00,1.409915e+01
4.882739e+00,1.142355e+01
8.156184e+00,2.169479e+01
7.317866e+00,1.899918e+01
3.038514e+00,6.080024e+00
6.262838e+00,1.666232e+01
9.561936e+00,2.943339e+01
7.552958e+00,2.005078e+01
3.754402e-01,2.025596e+00
6.945624e+00,1.851726e+01
6.544824e-01,2.528936e-01
7.588709e+00,2.007140e+01
6.055828e+00,1.460593e+01
1.784893e+00,2.873469e+00
4.798423e+00,9.756554e+00
2.898093e+00,5.446634e+00
5.393792e+00,1.347742e+01
9.236120e+00,2.945603e+01
2.115191e+00,2.125987e+00
3.918618e+00,6.252766e+00
4.351036e+00,9.673893e+00
7.314843e+00,1.918869e+01
3.748653e+00,5.545563e+00
6.962793e+00,1.753556e+01
9.382411e-01,1.361658e+00
1.271638e-01,4.877697e-01
4.215483e+00,6.894137e+00
2.411885e+00,4.810991e+00
7.439547e-01,4.854803e-01
9.712612e+00,3.013161e+01
6.436703e-01,-1.565264e+00
9.953100e+00,3.212513e+01
3.900173e+00,8.129219e+00
6.179930e-01,2.241536e-01
4.670114e+00,1.028253e+01
3.122635e+00,5.031041e+00
5.052332e-01,2.776248e+00
9.828605e+00,2.958394e+01
5.417809e+00,1.159602e+01
6.703238e+00,1.709520e+01
3.853305e+00,6.757083e+00
3.897754e+00,8.356225e+00
9.329505e+00,2.960878e+01
5.311666e-01,-8.704682e-01
9.541921e+00,2.964030e+01
4.761865e+00,1.048243e+01
9.796258e+00,2.927204e+01
4.329106e+00,9.687577e+00
9.815254e+00,2.979356e+01
5.766755e+00,1.336689e+01
1.016255e+00,4.552132e-01
7.727856e+00,2.107656e+01
9.308420e+00,2.984994e+01
9.181902e+00,2.935493e+01
8.299064e+00,2.360099e+01
7.877729e+00,2.371180e+01
8.452265e+00,2.395029e+01
1.484465e+00,8.282036e-01
6.062821e+00,1.374332e+01
4.153674e+00,7.629186e+00
8.594028e+00,2.341823e+01
4.662662e+00,1.063588e+01
5.670629e+00,1.323266e+01
8.325952e+00,2.360348e+01
8.797273e+00,2.585009e+01
2.757514e+00,2.051635e+00
2.086771e+00,2.621645e+00
8.601282e+00,2.422265e+01
9.133311e+00,2.854626e+01
4.044716e-01,-1.852836e+00
3.066516e+00,5.546593e+00
6.732926e-01,6.655820e-02
9.108537e+00,2.761326e+01
8.671857e+00,2.542710e+01
4.601799e+00,1.044845e+01
3.801638e+00,7.240296e+00
3.639609e+00,7.250284e+00
2.859302e+00,3.586834e+00
7.344137e+00,1.882706e+01
