r,T
1.042584e+00,1.085527e+00
2.245882e+00,3.369802e+00
1.604335e+00,2.035243e+00
2.985375e+00,5.177502e+00
1.566394e+00,1.949055e+00
8.864473e-01,8.080405e-01
7.932687e-01,7.232193e-01
1.535440e+00,1.871160e+00
2.974930e+00,5.128758e+00
2.081926e-01,1.020730e-01
1.496830e+00,1.816401e+00
2.806343e+00,4.696309e+00
6.337217e-01,5.137293e-01
1.001725e+00,9.933310e-01
1.885448e+00,2.605820e+00
1.842064e+00,2.493825e+00
2.208099e+00,3.283215e+00
1.682829e+00,2.157517e+00
2.044575e+00,2.928761e+00
2.499561e+00,3.958774e+00
1.201276e+00,1.329556e+00
2.411780e+00,3.770931e+00
1.709510e+00,2.224293e+00
1.029049e+00,1.039113e+00
1.542964e+00,1.921311e+00
1.662997e+00,2.135524e+00
1.636812e-01,5.522208e-02
7.188305e-01,5.875072e-01
9.819898e-01,9.712519e-01
2.917095e+00,4.970603e+00
1.364431e+00,1.602432e+00
1.874679e+00,2.573961e+00
4.184448e-01,2.664592e-01
7.013982e-01,5.644074e-01
2.882758e+00,4.895327e+00
1.811993e+00,2.412089e+00
1.727296e+00,2.290056e+00
8.626202e-01,8.085850e-01
2.280552e+00,3.431299e+00
1.278032e+00,1.445736e+00
1.019373e+00,1.021869e+00
1.239584e+00,1.359495e+00
2.456293e+00,3.823092e+00
1.826234e+00,2.489728e+00
2.725382e+00,4.503340e+00
1.427771e+00,1.718613e+00
2.990664e+00,5.206558e+00
2.086747e+00,3.011434e+00
2.896649e+00,4.936209e+00
1.966661e+00,2.736202e+00
3.289603e-01,1.947664e-01
5.027422e-01,3.810040e-01
2.874770e+00,4.869687e+00
2.781591e+00,4.644823e+00
2.498389e-01,1.408273e-01
2.744657e-01,1.392004e-01
6.247673e-01,5.060582e-01
1.976252e+00,2.781807e+00
2.720561e+00,4.473668e+00
2.319990e+00,3.518597e+00
1.402113e+00,1.680204e+00
2.423572e+00,3.777786e+00
2.194917e+00,3.239228e+00
4.131693e-01,2.568662e-01
1.078037e+00,1.132333e+00
1.969430e+00,2.762454e+00
2.370272e+00,3.649746e+00
1.121717e+00,1.190097e+00
2.621995e+00,4.233876e+00
1.669294e+00,2.171614e+00
2.954438e+00,5.067697e+00
2.210834e+00,3.278770e+00
1.755314e+00,2.318753e+00
4.956083e-01,3.794541e-01
2.192799e+00,3.241802e+00
1.232659e+00,1.368666e+00
1.508268e+00,1.856056e+00
1.823853e+00,2.467975e+00
1.767160e+00,2.366390e+00
3.567883e-01,1.936815e-01
2.232439e+00,3.333303e+00
8.408079e-01,7.715100e-01
1.769415e+00,2.373785e+00
1.241151e+00,1.364265e+00
1.225608e+00,1.361686e+00
2.202196e+00,3.251776e+00
1.603137e+00,2.052736e+00
1.559795e+00,1.930095e+00
1.486581e+00,1.812230e+00
8.155756e-01,7.019551e-01
2.505818e+00,3.928253e+00
1.521301e+00,1.881725e+00
2.915307e+00,4.982046e+00
1.873924e+00,2.589081e+00
5.631685e-01,4.142330e-01
1.149971e+00,1.223528e+00
1.311222e+00,1.507489e+00
2.587931e+00,4.165176e+00
7.510609e-01,6.432980e-01
1.652681e+00,2.108009e+00
1.816471e+00,2.432965e+00
9.289924e-01,9.146221e-01
2.548613e+00,4.078948e+00
2.505970e+00,3.949445e+00
2.948854e+00,5.057019e+00
1.875718e+00,2.585200e+00
7.486323e-01,6.496913e-01
5.677723e-01,4.059533e-01
1.098220e+00,1.141957e+00
2.715228e+00,4.495216e+00
1.725444e+00,2.276942e+00
1.101891e+00,1.168566e+00
1.266142e+00,1.437653e+00
2.014886e+00,2.854840e+00
1.884299e+00,2.599194e+00
8.633562e-01,8.019320e-01
1.257782e+00,1.389644e+00
1.752789e+00,2.346028e+00
4.794164e-01,3.428137e-01
1.013011e+00,1.008285e+00
6.128109e-01,4.725338e-01
2.697241e+00,4.416988e+00
1.834344e+00,2.475465e+00
2.361934e+00,3.614603e+00
1.342750e+00,1.535035e+00
1.139861e+00,1.221686e+00
1.780932e+00,2.363152e+00
1.586116e+00,1.977826e+00
1.103293e+00,1.173050e+00
1.571254e+00,1.968484e+00
2.026570e+00,2.901872e+00
7.268614e-01,6.210265e-01
1.632970e+00,2.096855e+00
9.621242e-01,9.210420e-01
1.211864e+00,1.319930e+00
8.110203e-01,7.348035e-01
1.326566e-01,2.220289e-02
2.859354e+00,4.842781e+00
2.206794e+00,3.293646e+00
1.609709e+00,2.049958e+00
1.826636e+00,2.465970e+00
2.984581e+00,5.144876e+00
8.180403e-01,7.704478e-01
2.924934e+00,4.980573e+00
1.262408e-01,1.952609e-02
1.233858e+00,1.334737e+00
2.782018e+00,4.636647e+00
5.837636e-01,4.247836e-01
2.668613e+00,4.381770e+00
8.968045e-01,8.820774e-01
5.452930e-01,3.997164e-01
8.219188e-01,7.442403e-01
5.707104e-01,4.047180e-01
1.049601e+00,1.068794e+00
4.016218e-01,2.292365e-01
7.671714e-01,6.525189e-01
2.263498e+00,3.414069e+00
2.281276e+00,3.453327e+00
2.341764e+00,3.572499e+00
