k,t,T
1.472927e+00,1.539622e+00,1.092416e+00
1.641520e+00,1.769636e+00,1.056424e+00
1.119953e+00,2.421683e+00,1.055294e+00
7.089489e-01,1.435609e+00,1.383624e+00
1.430729e+00,5.480412e-01,1.418893e+00
1.561733e+00,1.433913e+00,1.124515e+00
5.360391e-01,2.296844e+00,1.282638e+00
5.615424e-01,8.140860e-01,1.589930e+00
9.221985e-01,2.112629e+00,1.117182e+00
1.385695e+00,8.069547e-01,1.392875e+00
8.787395e-01,4.955580e-01,1.696634e+00
1.071443e+00,1.535161e-01,1.844305e+00
6.706787e-01,1.371026e+00,1.433711e+00
1.899513e+00,1.309895e+00,1.107914e+00
5.956988e-01,1.044145e+00,1.548429e+00
7.877692e-01,1.080888e+00,1.411360e+00
5.701279e-01,1.331680e+00,1.492519e+00
6.207058e-01,2.037884e+00,1.301534e+00
1.542301e+00,2.915575e+00,9.361792e-01
8.143260e-01,2.947089e+00,1.096692e+00
2.081039e-01,1.921432e+00,1.701854e+00
5.445552e-01,2.514907e+00,1.256158e+00
4.622867e-01,8.222012e-01,1.696072e+00
1.961185e-01,2.347976e+00,1.623835e+00
1.078696e+00,2.862001e+00,1.063309e+00
7.865063e-01,1.415390e+00,1.247743e+00
1.938103e+00,2.992527e-01,1.560619e+00
1.708876e+00,5.920259e-01,1.343386e+00
1.727609e+00,1.281268e+00,1.107279e+00
1.588431e+00,2.032326e+00,1.013471e+00
1.171992e+00,8.583884e-01,1.347026e+00
5.834328e-01,2.049582e+00,1.282093e+00
1.041841e+00,1.617027e+00,1.182767e+00
1.461792e+00,2.538246e+00,9.965871e-01
7.904651e-01,2.866312e+00,1.117764e+00
5.378528e-01,2.103421e+00,1.279983e+00
1.135133e+00,7.982051e-01,1.387901e+00
1.127466e+00,9.945504e-01,1.381005e+00
2.206038e-01,2.617057e-01,1.967540e+00
1.278441e+00,2.544182e+00,1.086047e+00
2.793871e-01,3.862090e-01,1.910715e+00
9.984618e-01,1.727755e+00,1.224192e+00
2.710711e-01,4.499412e-01,1.909088e+00
9.372864e-01,1.351654e+00,1.340492e+00
4.554009e-01,2.847514e+00,1.285467e+00
1.318404e+00,1.650549e+00,1.116448e+00
7.809658e-01,3.769265e-01,1.747660e+00
5.344979e-01,4.586666e-01,1.813088e+00
1.423536e+00,1.936870e+00,1.013314e+00
1.912505e+00,9.340122e-02,1.836562e+00
9.771389e-01,1.095701e+00,1.323832e+00
5.910833e-01,2.114608e+00,1.315724e+00
5.087199e-01,2.159360e+00,1.344657e+00
2.796549e-01,1.494568e+00,1.655687e+00
4.314671e-01,1.080711e+00,1.650034e+00
9.919174e-01,1.171202e+00,1.355632e+00
1.459890e+00,2.396575e+00,1.060126e+00
2.890845e-01,1.338565e+00,1.706068e+00
9.317332e-01,1.780219e+00,1.247365e+00
5.985704e-01,1.605316e+00,1.372983e+00
6.026207e-01,1.562415e-01,1.886994e+00
1.472794e+00,2.096632e-01,1.743863e+00
1.514156e+00,1.579598e-01,1.778833e+00
1.655743e+00,1.618640e-01,1.737450e+00
2.423002e-01,6.121275e-01,1.847450e+00
3.159590e-01,1.668132e+00,1.563195e+00
1.683194e+00,2.347547e+00,1.042669e+00
1.448859e+00,1.824502e+00,1.125763e+00
1.001278e-01,1.046125e+00,1.950826e+00
1.442829e+00,1.480251e+00,1.095697e+00
1.464285e+00,1.161634e+00,1.181607e+00
1.825133e+00,9.391833e-01,1.223142e+00
5.521204e-01,2.734221e+00,1.205321e+00
1.157228e+00,1.769276e+00,1.124884e+00
1.952196e+00,7.491138e-01,1.221328e+00
1.747535e+00,1.884821e+00,1.042923e+00
1.493525e+00,2.330322e+00,1.011080e+00
1.707350e+00,3.842035e-01,1.474875e+00
1.958929e+00,1.649398e-01,1.757460e+00
1.575321e-01,5.231274e-01,1.888685e+00
