k,t,T
2.319556e-01,2.059581e+00,1.615626e+00
4.570683e-01,1.666737e-01,1.929837e+00
1.581959e+00,2.503579e+00,1.017019e+00
1.577291e+00,1.301558e+00,1.127524e+00
1.406878e+00,1.958218e+00,1.062482e+00
1.023161e+00,1.231955e+00,1.286128e+00
1.437308e+00,1.790147e+00,1.075669e+00
1.433291e+00,1.702571e+00,1.090555e+00
1.773389e+00,1.632433e+00,1.056448e+00
4.474167e-01,2.065641e+00,1.395306e+00
5.619009e-01,2.377164e+00,1.264616e+00
3.863768e-01,2.786974e+00,1.344450e+00
8.585354e-01,1.425463e+00,1.294096e+00
1.147463e+00,4.940809e-01,1.567447e+00
1.884767e+00,1.298585e+00,1.088491e+00
1.798833e+00,3.123163e-01,1.577275e+00
1.228467e+00,2.796994e+00,1.031269e+00
1.659925e+00,5.437717e-02,1.914595e+00
1.563704e+00,2.802537e-02,1.959134e+00
1.159789e+00,1.048499e+00,1.291474e+00
2.583008e-01,2.256165e+00,1.560342e+00
8.614397e-01,6.272723e-01,1.581092e+00
1.192407e+00,2.925248e+00,1.025691e+00
7.750605e-01,1.065008e+00,1.441005e+00
1.830673e+00,2.664539e+00,1.013230e+00
1.097675e+00,3.825874e-01,1.653009e+00
1.734377e+00,1.420996e+00,1.084377e+00
1.977743e+00,1.061469e+00,1.126704e+00
1.252688e+00,1.796009e+00,1.109544e+00
1.426279e-01,1.847763e+00,1.772286e+00
1.615727e+00,7.725520e-01,1.290685e+00
1.215373e+00,6.263619e-01,1.461349e+00
6.928107e-01,2.007589e+00,1.248880e+00
1.673054e+00,2.233498e+00,1.021991e+00
8.434998e-01,2.408003e+00,1.127196e+00
1.203914e+00,8.756143e-01,1.349092e+00
9.816382e-01,1.434858e+00,1.250704e+00
1.726897e+00,1.668945e+00,1.053431e+00
9.071431e-01,1.724113e+00,1.205194e+00
2.069151e-01,2.453851e+00,1.601647e+00
3.673372e-01,4.746041e-01,1.837472e+00
1.972508e+00,8.427494e-01,1.191038e+00
1.335922e-01,2.220591e+00,1.744993e+00
2.083087e-01,1.659726e+00,1.713407e+00
1.123778e+00,6.746286e-01,1.465201e+00
4.172752e-01,7.097676e-01,1.742553e+00
1.993335e+00,1.270817e+00,1.080396e+00
1.636179e+00,2.056644e-01,1.715186e+00
1.533736e+00,2.585773e+00,1.022069e+00
2.859237e-01,2.174227e+00,1.538894e+00
1.177010e+00,2.455276e+00,1.052015e+00
2.734495e-01,2.950440e+00,1.449279e+00
5.888160e-01,2.188624e+00,1.277923e+00
1.506636e+00,2.245370e+00,1.029927e+00
1.761851e+00,2.462571e+00,1.016400e+00
1.850704e+00,1.410862e+00,1.071892e+00
1.995765e+00,2.062689e+00,1.020017e+00
1.184287e+00,1.572630e-01,1.834204e+00
1.145452e+00,2.136886e+00,1.084223e+00
3.871453e-01,1.599333e+00,1.541001e+00
1.179873e+00,6.511323e-01,1.465691e+00
1.531213e-01,6.727545e-03,2.000413e+00
1.614031e+00,5.413619e-01,1.414692e+00
1.907018e+00,1.314610e+00,1.083696e+00
3.032438e-01,4.837777e-01,1.864722e+00
1.498851e-01,2.082521e+00,1.734909e+00
8.364305e-01,1.692530e+00,1.243786e+00
1.287743e+00,2.864280e+00,1.029065e+00
8.454128e-01,2.542362e+00,1.115740e+00
8.601550e-01,1.208315e+00,1.354319e+00
1.714262e+00,2.783383e+00,1.010794e+00
1.695565e+00,1.298196e+00,1.103110e+00
1.569517e+00,7.188095e-01,1.322951e+00
6.568410e-01,9.473640e-01,1.540110e+00
1.237048e+00,2.751880e+00,1.035355e+00
1.421883e+00,2.350605e+00,1.038736e+00
1.315168e+00,2.680124e+00,1.034037e+00
7.717967e-01,7.997029e-01,1.546693e+00
1.136465e+00,1.223388e+00,1.250298e+00
1.831493e+00,2.622264e+00,1.005329e+00
1.622725e+00,1.034612e+00,1.189321e+00
1.152291e+00,2.141913e+00,1.089022e+00
1.786221e+00,1.592668e+00,1.051777e+00
1.258788e+00,2.273662e+00,1.058647e+00
2.695629e-01,2.736345e+00,1.476197e+00
1.689106e+00,1.351908e+00,1.097472e+00
6.671279e-01,2.285067e+00,1.222957e+00
1.708745e+00,1.221394e+00,1.118067e+00
2.537518e-01,2.858517e+00,1.484507e+00
1.398444e+00,4.581689e-02,1.937673e+00
1.615951e+00,6.407339e-02,1.904098e+00
2.840583e-01,2.359646e+00,1.505568e+00
9.293337e-01,8.341442e-01,1.463435e+00
1.070471e+00,2.034505e+00,1.114619e+00
1.287601e+00,4.416800e-01,1.564557e+00
1.925390e+00,2.042280e+00,1.021848e+00
1.428342e+00,1.897264e+00,1.067342e+00
1.173332e+00,7.590770e-01,1.406131e+00
9.183188e-01,2.288404e+00,1.115536e+00
4.960197e-01,2.369889e+00,1.308721e+00
1.367999e+00,3.685874e-01,1.605411e+00
9.693075e-01,2.910377e+00,1.057262e+00
5.471918e-01,2.617205e+00,1.239322e+00
1.401780e+00,2.603306e+00,1.022126e+00
1.302494e+00,1.452959e+00,1.149567e+00
1.371052e+00,3.439983e-01,1.624355e+00
1.501533e+00,2.515181e+00,1.022133e+00
3.753515e-01,2.535449e+00,1.387282e+00
1.687368e+00,1.498865e+00,1.077171e+00
5.775670e-01,1.992681e+00,1.312501e+00
5.990632e-01,2.699165e+00,1.199334e+00
8.010416e-01,3.900808e-01,1.733148e+00
8.244086e-01,2.507560e+00,1.129090e+00
1.359561e+00,2.240719e+00,1.049980e+00
4.201797e-01,2.349725e+00,1.368322e+00
1.115440e+00,2.119100e-01,1.790057e+00
4.248194e-01,2.648803e+00,1.326622e+00
7.712074e-01,3.692074e-01,1.749658e+00
1.053870e+00,4.977884e-01,1.593804e+00
8.559229e-01,3.331582e-01,1.751173e+00
1.012216e+00,1.197697e+00,1.300708e+00
1.800057e+00,1.545831e+00,1.060057e+00
1.543119e+00,3.040396e-01,1.624989e+00
8.468292e-01,2.582233e+00,1.110587e+00
3.727284e-01,4.063998e-01,1.857713e+00
1.577422e+00,1.979822e+00,1.043782e+00
1.327525e+00,1.089999e+00,1.234922e+00
1.071424e+00,1.704773e+00,1.161045e+00
7.728760e-01,2.902251e-01,1.795648e+00
1.373223e+00,2.541931e+00,1.029242e+00
8.714721e-01,2.004546e-01,1.838889e+00
8.023310e-01,4.241595e-01,1.707216e+00
1.179101e+00,2.466754e+00,1.050576e+00
6.968740e-01,2.476957e+00,1.179377e+00
1.548991e+00,1.145475e+00,1.167496e+00
1.136278e+00,1.641868e+00,1.157187e+00
1.658004e+00,2.928124e+00,1.006888e+00
2.943651e-01,1.149972e+00,1.713152e+00
7.714704e-01,9.781797e-01,1.469436e+00
5.999978e-01,3.648643e-01,1.805046e+00
5.863375e-01,2.822445e+00,1.187854e+00
8.169144e-01,1.614581e+00,1.268058e+00
1.031070e+00,9.030056e-01,1.395506e+00
4.224446e-01,2.493121e+00,1.352290e+00
1.107784e+00,2.680174e+00,1.050440e+00
4.934751e-01,2.400173e+00,1.309019e+00
6.897472e-01,1.525187e+00,1.348181e+00
1.585366e+00,1.290704e+00,1.131258e+00
1.713517e+00,1.409014e+00,1.084917e+00
1.918074e+00,5.993585e-02,1.891708e+00
1.080271e+00,1.514152e+00,1.191656e+00
4.972912e-01,1.807596e+00,1.406892e+00
1.235900e+00,1.473955e-01,1.835310e+00
4.636425e-01,9.895955e-01,1.632908e+00
4.387182e-01,1.427462e+00,1.532580e+00
9.356712e-01,1.027188e+00,1.380517e+00
1.609536e+00,2.645080e+00,1.013153e+00
1.071617e+00,1.728242e+00,1.157322e+00
1.871787e+00,2.511699e+00,1.012615e+00
1.094998e+00,6.901908e-01,1.465653e+00
8.595279e-01,7.920168e-01,1.506556e+00
4.197948e-01,1.863219e+00,1.457584e+00
7.964872e-01,2.375783e+00,1.150952e+00
7.946324e-01,7.821626e-01,1.536724e+00
2.888659e-01,1.657537e+00,1.616829e+00
1.123295e+00,1.499581e+00,1.185515e+00
1.127736e-01,1.362017e+00,1.855151e+00
5.789469e-01,2.744720e+00,1.205668e+00
7.744960e-01,2.092681e+00,1.198956e+00
7.323334e-01,1.895943e+00,1.251860e+00
1.482046e+00,1.152151e+00,1.183203e+00
8.289195e-01,8.188796e-01,1.505349e+00
1.910594e+00,1.830180e+00,1.033039e+00
1.292189e+00,1.095014e+00,1.242725e+00
3.669116e-01,1.741487e+00,1.527071e+00
1.127612e+00,1.357025e+00,1.220785e+00
9.432535e-01,6.423523e-01,1.547211e+00
1.884209e-01,1.088181e+00,1.820548e+00
5.505060e-01,1.061114e+00,1.554636e+00
1.732379e+00,1.884642e-02,1.969075e+00
1.684205e+00,1.338253e+00,1.102396e+00
4.971050e-01,1.623453e+00,1.446081e+00
2.993537e-01,1.905032e-01,1.943533e+00
7.218252e-01,2.962627e+00,1.119453e+00
4.207636e-01,1.419676e+00,1.546215e+00
2.891999e-01,1.686041e-01,1.954439e+00
1.770214e+00,8.825346e-01,1.209111e+00
1.001297e+00,2.056063e-01,1.813180e+00
1.038127e+00,6.527067e-01,1.506845e+00
1.948665e+00,1.043204e+00,1.134053e+00
1.974099e+00,2.272850e+00,1.009360e+00
4.754206e-01,1.003467e+00,1.621250e+00
4.519616e-01,2.640205e+00,1.303885e+00
1.393682e+00,5.600081e-01,1.455257e+00
7.541797e-01,1.756975e+00,1.267276e+00
1.444470e+00,5.020936e-01,1.484923e+00
1.439383e+00,2.054164e+00,1.053199e+00
1.868665e+00,3.736120e-01,1.495659e+00
2.233445e-01,1.503452e+00,1.714457e+00
1.837935e+00,1.871634e+00,1.033329e+00
2.353633e-01,2.450873e+00,1.559954e+00
1.244607e+00,1.433602e+00,1.164396e+00
1.799078e-01,7.889798e-01,1.867280e+00
4.866303e-01,2.397118e+00,1.312027e+00
1.661913e+00,3.239845e-01,1.582922e+00
1.618377e+00,1.639993e-01,1.769989e+00
1.215143e+00,2.396233e+00,1.055655e+00
1.068339e-01,2.343375e+00,1.778632e+00
1.238319e+00,8.099158e-02,1.901151e+00
3.318769e-01,2.129039e+00,1.490691e+00
1.641981e+00,6.005092e-01,1.374186e+00
1.892428e+00,1.030660e+00,1.144161e+00
1.551109e+00,1.882871e-01,1.741416e+00
1.174952e+00,1.794178e+00,1.121253e+00
4.940558e-01,1.663208e+00,1.441922e+00
5.333040e-01,2.998585e+00,1.205322e+00
