k,t,T
3.961747e-01,8.140732e+00,2.963300e+02
2.423542e-01,1.319123e+01,2.964209e+02
1.541340e-01,2.158346e+01,2.960228e+02
4.453974e-01,9.889605e+00,2.941275e+02
8.966611e-01,1.667102e+00,3.110930e+02
6.858281e-01,3.739767e+00,2.993045e+02
8.804036e-01,4.246673e+00,2.950526e+02
1.903476e-01,1.827474e+01,2.956182e+02
2.364326e-01,4.333396e+00,3.218665e+02
2.835338e-01,6.970607e+00,3.042353e+02
6.887390e-01,5.862084e+00,2.945614e+02
8.527594e-01,4.334564e-01,3.484290e+02
3.473642e-01,1.427514e+01,2.937118e+02
4.891842e-01,4.686266e+00,3.012315e+02
8.752300e-01,6.299809e-01,3.392424e+02
8.316543e-01,3.039937e+00,2.995344e+02
9.780869e-01,1.280053e+00,3.160245e+02
2.858156e-01,1.260852e+01,2.953278e+02
8.063177e-01,3.361556e+00,2.984704e+02
5.397242e-01,6.028470e+00,2.962404e+02
4.962191e-02,8.697198e+01,2.942186e+02
8.443886e-01,2.114150e+00,3.065716e+02
7.839184e-01,6.006001e+00,2.938717e+02
2.528191e-01,1.448770e+01,2.952029e+02
7.430834e-01,6.047530e+00,2.940442e+02
3.400699e-01,6.380425e+00,3.022861e+02
6.478664e-01,1.965776e+00,3.155367e+02
2.245931e-01,3.632813e+00,3.285291e+02
1.370232e-01,2.229875e+01,2.969181e+02
9.946310e-01,8.400679e-01,3.278406e+02
2.527850e-01,1.891517e+01,2.938207e+02
2.616846e-01,1.671735e+01,2.941574e+02
3.750753e-01,1.886174e-01,3.676859e+02
6.588386e-01,5.332466e+00,2.955340e+02
8.779373e-01,4.214374e+00,2.951280e+02
8.981641e-01,3.889576e+00,2.955816e+02
2.617364e-01,1.065113e+01,2.980746e+02
8.480029e-01,5.690593e+00,2.937917e+02
2.733520e-01,7.391238e+00,3.037581e+02
3.919284e-01,7.740905e+00,2.970003e+02
5.675269e-01,6.742741e+00,2.948925e+02
5.116383e-02,4.491459e+01,3.011867e+02
4.697776e-01,4.041109e-01,3.593172e+02
3.037645e-01,1.617001e+01,2.937387e+02
1.325979e-02,3.283444e+02,2.941787e+02
2.818377e-01,1.395048e+01,2.947187e+02
3.728355e-01,3.841690e+00,3.122504e+02
8.134170e-01,1.066419e+00,3.267519e+02
8.948394e-01,2.254134e+00,3.037934e+02
1.397579e-01,1.204859e+01,3.080021e+02
8.335316e-01,3.165842e+00,2.988656e+02
7.781398e-01,5.808243e+00,2.940214e+02
2.242126e-01,4.015726e-01,3.662617e+02
3.939654e-02,1.197640e+02,2.938644e+02
5.385412e-01,6.875731e+00,2.951222e+02
3.103055e-01,1.191395e+01,2.951339e+02
2.298179e-01,3.518430e+00,3.287886e+02
6.874809e-01,3.387238e+00,3.009441e+02
7.428017e-01,3.645168e+00,2.984855e+02
1.604283e-01,2.298397e-01,3.702539e+02
5.510194e-01,8.398054e+00,2.939323e+02
3.216973e-02,1.519277e+00,3.693340e+02
4.192079e-01,2.964187e+00,3.162404e+02
1.441571e-01,2.227615e+01,2.963744e+02
6.427283e-01,5.939456e+00,2.949087e+02
3.853398e-01,1.157674e+01,2.940741e+02
8.554189e-01,3.232503e+00,2.981874e+02
8.766323e-01,1.634253e+00,3.122443e+02
6.956796e-01,4.291538e-01,3.525012e+02
7.648681e-01,2.245040e+00,3.075160e+02
3.593489e-01,1.084808e+01,2.947722e+02
4.272352e-01,3.719024e-01,3.613972e+02
1.745323e-01,1.635510e+01,2.977568e+02
7.767610e-01,6.302659e-02,3.693278e+02
7.886529e-01,1.019379e-01,3.669702e+02
9.639484e-01,1.419568e+00,3.135113e+02
6.283817e-01,4.338034e+00,2.983888e+02
6.920591e-01,4.977935e-01,3.498358e+02
4.756309e-01,8.055868e+00,2.948840e+02
4.361196e-01,5.195860e+00,3.014480e+02
5.514076e-01,7.487856e+00,2.944381e+02
4.601541e-01,7.434454e+00,2.957644e+02
8.392680e-01,5.946199e+00,2.936942e+02
6.988984e-02,4.215973e+01,2.973517e+02
7.746564e-02,2.748778e+01,3.026631e+02
1.510290e-01,4.444758e+00,3.340340e+02
3.543945e-01,1.152256e+01,2.944978e+02
9.664012e-01,1.503354e-01,3.623321e+02
1.919036e-01,2.373043e+01,2.939920e+02
9.059079e-02,1.671583e+01,3.107470e+02
8.267851e-01,2.804499e+00,3.010220e+02
9.789352e-01,4.330764e+00,2.943031e+02
6.780340e-02,2.958859e+01,3.039098e+02
4.685236e-01,5.948780e+00,2.980778e+02
7.567088e-01,2.131364e+00,3.090959e+02
6.346515e-02,6.726617e+01,2.942696e+02
5.529936e-01,8.235012e+00,2.939921e+02
6.804514e-02,3.843183e+01,2.990028e+02
9.684747e-02,1.340859e+01,3.149834e+02
3.705227e-01,6.182637e+00,3.012448e+02
9.613859e-01,2.468189e+00,3.006069e+02
1.903834e-01,2.832357e+00,3.398056e+02
3.449587e-01,4.123259e+00,3.124417e+02
5.470790e-01,3.764662e+00,3.033507e+02
9.067435e-01,1.864969e+00,3.078961e+02
4.961817e-01,4.214347e+00,3.030343e+02
9.362169e-01,4.437068e+00,2.944060e+02
7.410750e-01,9.592171e-01,3.324480e+02
2.769496e-01,1.727464e+01,2.938189e+02
8.535086e-01,4.364191e+00,2.950793e+02
1.839845e-01,1.669081e+01,2.968605e+02
4.526419e-01,9.879686e-01,3.443035e+02
3.363938e-01,6.710804e-01,3.569836e+02
9.381290e-01,4.869021e+00,2.939805e+02
6.345507e-01,5.399682e+00,2.957504e+02
7.085170e-01,7.012211e+00,2.937064e+02
1.272458e-01,5.993003e+00,3.304667e+02
4.619004e-01,3.158965e+00,3.117451e+02
3.982431e-01,1.197635e+01,2.938288e+02
1.960519e-01,1.183242e+00,3.565872e+02
1.502708e-01,3.687400e+00,3.391167e+02
6.393118e-01,6.870802e+00,2.941395e+02
7.378152e-01,1.128077e+00,3.279534e+02
7.695389e-02,5.956270e+01,2.939675e+02
8.214616e-01,3.956263e-03,3.728904e+02
7.090821e-01,5.692714e-01,3.465797e+02
5.232981e-01,6.175578e+00,2.963093e+02
8.501549e-01,3.316747e+00,2.979197e+02
7.390785e-01,1.606017e+00,3.175615e+02
2.378408e-01,2.364056e+00,3.387432e+02
3.591759e-01,1.137021e+01,2.944973e+02
3.139101e-01,2.810515e+00,3.262581e+02
4.333030e-01,1.032421e+01,2.940626e+02
1.786855e-01,7.501338e+00,3.140897e+02
2.520333e-01,1.477878e+01,2.950795e+02
6.632064e-01,3.415080e+00,3.014572e+02
8.766419e-01,3.441321e+00,2.970666e+02
8.891328e-01,2.395720e+00,3.026559e+02
2.467506e-01,7.252816e+00,3.065117e+02
2.497073e-01,1.647872e+01,2.944563e+02
4.771541e-01,1.482360e+00,3.325873e+02
5.228222e-01,7.512848e+00,2.947248e+02
7.733460e-01,1.040327e+00,3.289337e+02
9.204579e-01,4.045584e-02,3.702258e+02
8.461890e-01,9.054738e-01,3.303320e+02
8.608827e-01,5.520406e+00,2.938405e+02
3.092381e-01,6.905158e+00,3.026064e+02
6.151911e-01,1.869574e+00,3.184773e+02
8.705109e-01,1.810689e+00,3.096903e+02
8.473443e-01,5.690019e+00,2.937944e+02
2.986717e-01,4.269634e+00,3.154996e+02
2.369148e-01,6.132551e+00,3.118614e+02
7.517755e-01,1.798858e+00,3.138408e+02
8.662423e-01,5.449541e+00,2.938628e+02
9.619653e-01,7.512720e-01,3.319853e+02
4.819499e-01,4.073416e+00,3.043829e+02
9.832826e-01,2.713871e+00,2.986985e+02
5.607984e-01,4.226709e+00,3.006260e+02
2.871988e-01,1.042613e+01,2.971554e+02
1.915093e-01,6.245979e+00,3.173382e+02
9.518365e-02,1.798297e+01,3.075949e+02
5.063024e-01,7.999013e+00,2.945439e+02
1.038949e-01,4.494951e+00,3.433003e+02
8.539748e-01,3.883942e+00,2.960515e+02
7.542072e-01,1.810028e+00,3.135777e+02
6.076847e-01,4.890623e+00,2.972462e+02
8.136887e-01,3.885404e+00,2.965389e+02
4.971332e-01,7.744268e+00,2.948525e+02
9.072272e-01,3.637693e+00,2.961000e+02
8.041377e-01,9.055519e-01,3.317726e+02
4.268085e-01,1.082214e+01,2.939390e+02
6.544648e-01,6.087282e+00,2.946390e+02
2.574577e-01,6.190421e+00,3.094026e+02
4.359641e-01,3.229574e+00,3.127210e+02
6.775017e-01,3.080721e+00,3.030728e+02
1.054454e-01,2.999952e+00,3.514555e+02
2.973502e-01,3.686001e+00,3.198855e+02
7.389889e-01,2.700094e+00,3.040274e+02
2.935724e-01,1.455340e+01,2.942658e+02
8.602233e-01,2.220714e+00,3.049928e+02
4.659643e-01,8.866001e+00,2.944350e+02
7.238124e-01,6.375902e+00,2.939422e+02
2.680315e-01,4.792450e+00,3.152925e+02
4.417424e-01,1.038724e+01,2.939635e+02
3.226319e-01,3.836913e+00,3.163492e+02
7.584514e-01,5.201237e+00,2.946983e+02
3.519304e-02,6.925951e+01,3.001407e+02
4.272735e-01,5.785424e+00,2.999035e+02
1.700677e-01,1.112380e+01,3.052140e+02
9.314036e-01,4.151439e+00,2.948242e+02
8.247110e-01,2.083739e-02,3.717870e+02
9.004143e-01,3.171602e+00,2.977510e+02
3.873899e-01,2.775721e-03,3.730640e+02
7.188864e-01,5.615375e+00,2.945623e+02
9.522619e-01,4.601925e+00,2.941498e+02
7.076298e-01,5.292055e+00,2.950412e+02
9.082772e-01,1.644831e+00,3.111085e+02
9.824060e-01,4.143203e+00,2.945158e+02
4.040755e-01,3.308247e+00,3.141652e+02
4.872766e-02,4.479753e+00,3.574615e+02
8.160127e-01,3.340092e+00,2.983908e+02
6.451642e-01,2.813206e+00,3.061773e+02
5.204050e-01,8.096659e+00,2.943335e+02
5.648524e-01,4.978456e+00,2.979563e+02
4.526037e-01,4.742768e+00,3.025005e+02
8.793201e-01,2.924790e+00,2.992617e+02
8.788337e-01,3.407650e+00,2.971539e+02
7.549090e-01,3.770013e+00,2.977960e+02
6.752123e-01,2.901345e-01,3.589174e+02
7.426145e-01,5.475032e+00,2.945219e+02
2.172441e-01,1.634449e+00,3.492397e+02
5.760185e-01,9.694119e-01,3.389199e+02
9.427240e-01,3.138861e+00,2.972993e+02
1.057114e-01,2.737202e+01,2.975804e+02
9.353986e-01,2.252231e+00,3.028808e+02
6.722373e-01,5.248053e+00,2.954992e+02
9.457729e-01,3.585483e+00,2.958439e+02
9.423307e-01,2.077692e+00,3.044427e+02
1.720140e-01,1.400651e+01,3.003401e+02
2.221152e-02,1.798066e+01,3.468090e+02
4.132352e-02,2.416874e+01,3.226175e+02
5.183345e-01,8.644141e+00,2.940562e+02
6.935051e-01,5.683986e+00,2.947029e+02
3.770877e-01,1.875003e+00,3.325981e+02
7.856319e-01,3.819042e+00,2.971315e+02
2.287578e-01,1.029132e-02,3.729619e+02
3.262023e-01,4.773630e+00,3.100085e+02
5.666421e-01,6.120513e+00,2.956440e+02
6.342380e-01,4.692642e+00,2.972287e+02
8.214744e-01,1.173400e+00,3.236616e+02
1.824398e-01,5.962090e+00,3.201086e+02
3.719862e-01,1.153547e+00,3.452374e+02
5.525205e-01,4.495788e+00,2.998226e+02
8.802154e-01,4.566358e+00,2.945871e+02
9.162178e-01,4.203456e+00,2.948502e+02
6.544463e-01,2.242206e-01,3.622315e+02
1.506480e-01,2.019992e+01,2.969650e+02
8.788305e-01,4.710443e+00,2.944242e+02
9.723021e-01,4.900010e-01,3.428298e+02
3.814975e-01,1.029411e+01,2.947259e+02
8.421064e-01,3.413723e+00,2.976646e+02
2.218797e-01,3.872103e+00,3.270321e+02
3.770099e-01,7.837601e+00,2.973169e+02
3.148333e-01,9.155936e+00,2.976291e+02
9.078133e-01,4.564249e+00,2.944194e+02
2.232008e-01,1.976910e+01,2.941200e+02
3.341442e-01,2.803071e+00,3.245057e+02
1.354055e-01,1.656427e+01,3.016421e+02
3.696750e-01,8.101589e+00,2.971531e+02
8.668637e-02,4.474305e+01,2.948044e+02
9.797133e-01,3.355265e+00,2.961387e+02
8.453438e-01,5.771652e+00,2.937584e+02
6.033195e-01,1.178500e+00,3.324417e+02
8.240882e-02,6.010518e+01,2.937149e+02
2.053607e-01,8.677963e+00,3.066126e+02
6.723499e-01,4.174513e+00,2.979822e+02
4.542707e-01,1.082307e+01,2.937359e+02
9.933121e-01,4.195185e+00,2.943897e+02
4.729316e-01,1.981373e+00,3.244924e+02
8.739127e-01,9.826653e-03,3.724659e+02
6.104427e-01,7.359700e+00,2.940453e+02
7.024457e-01,4.774484e+00,2.959461e+02
4.448600e-01,9.788797e+00,2.941778e+02
7.195714e-01,3.000713e+00,3.023831e+02
4.249881e-01,1.114005e+01,2.938530e+02
7.528513e-01,1.268670e+00,3.239313e+02
9.451978e-02,4.232513e+01,2.946144e+02
3.258383e-02,9.951241e+01,2.962753e+02
3.262917e-01,7.252936e+00,3.006541e+02
7.330071e-01,2.685868e+00,3.043204e+02
9.335992e-01,2.626432e+00,3.000395e+02
5.275956e-02,8.659697e+00,3.438104e+02
2.832506e-01,7.426131e+00,3.029127e+02
7.204058e-01,1.011213e+00,3.317612e+02
3.019872e-01,4.988074e+00,3.108877e+02
7.469799e-01,1.392105e+00,3.214299e+02
7.956273e-01,3.300127e+00,2.989413e+02
8.273180e-01,5.789740e+00,2.938150e+02
5.886189e-01,8.461244e+00,2.936997e+02
9.182651e-01,2.029575e+00,3.055580e+02
7.777276e-01,5.388101e+00,2.943611e+02
2.313378e-01,5.144611e+00,3.174842e+02
6.000985e-01,7.945053e+00,2.938299e+02
3.203342e-01,5.067895e+00,3.089278e+02
2.203082e-01,1.580625e+01,2.956091e+02
6.859283e-01,4.348857e+00,2.972012e+02
2.521103e-01,1.155372e+01,2.974958e+02
4.717776e-01,9.571924e+00,2.940248e+02
4.947780e-01,8.495853e+00,2.943454e+02
4.797063e-01,8.521585e+00,2.944920e+02
2.369006e-01,2.649848e+00,3.358533e+02
2.061719e-01,9.675103e+00,3.040340e+02
6.524240e-01,6.900728e+00,2.940368e+02
3.398618e-01,1.325024e+01,2.940358e+02
3.914110e-01,3.226213e+00,3.157794e+02
7.083470e-01,1.048484e+00,3.312166e+02
1.019981e-01,3.510380e+01,2.953789e+02
5.222982e-01,4.567943e+00,3.005110e+02
2.953312e-01,1.501974e+01,2.940976e+02
7.378606e-01,3.635882e+00,2.986199e+02
7.321049e-01,2.417879e-01,3.601714e+02
7.098332e-01,1.607846e-01,3.645213e+02
1.648105e-02,5.511104e+01,3.254071e+02
6.130756e-01,5.265695e+00,2.963201e+02
4.627108e-01,5.041256e+00,3.009131e+02
7.916459e-02,1.998668e+01,3.095912e+02
7.390771e-01,4.255355e-01,3.515621e+02
4.633228e-01,1.406336e+00,3.348474e+02
5.719042e-01,1.788658e+00,3.219129e+02
3.019634e-01,1.251217e+01,2.949791e+02
6.144916e-01,1.407863e+00,3.268301e+02
2.873381e-01,1.631996e+01,2.938854e+02
4.150134e-01,9.432601e-01,3.472352e+02
3.791099e-01,1.226153e+01,2.939161e+02
9.612155e-02,2.181599e+00,3.580163e+02
6.783885e-01,1.437635e+00,3.233171e+02
1.864166e-01,1.402944e+01,2.990015e+02
6.520552e-02,2.450833e+01,3.093328e+02
8.560205e-01,5.749529e+00,2.937329e+02
2.122029e-01,7.324578e+00,3.100570e+02
8.479226e-01,4.916745e+00,2.943874e+02
1.555262e-01,1.453273e+01,3.014962e+02
2.246223e-01,4.945727e+00,3.194905e+02
4.869385e-01,1.258613e+00,3.364936e+02
3.209621e-01,8.057448e+00,2.991748e+02
2.732534e-01,4.685644e+00,3.153848e+02
2.402149e-01,7.607051e+00,3.060174e+02
1.639890e-01,4.918825e+00,3.288587e+02
7.335677e-01,2.954789e+00,3.023067e+02
9.445961e-01,4.518814e+00,2.942703e+02
9.369496e-01,4.335972e+00,2.945264e+02
9.560090e-01,4.863272e+00,2.939154e+02
5.808804e-01,6.255223e+00,2.952638e+02
1.157419e-01,4.188278e+01,2.937778e+02
6.167012e-01,5.102958e+00,2.965885e+02
3.473817e-01,1.259852e+01,2.941555e+02
9.833966e-01,7.231414e-01,3.324369e+02
9.538265e-01,1.542021e+00,3.115289e+02
5.054768e-01,3.204904e+00,3.089818e+02
8.274171e-01,2.754204e+00,3.013419e+02
3.544323e-01,1.192226e+01,2.943193e+02
8.663372e-01,4.930027e+00,2.942674e+02
3.068084e-01,5.150466e+00,3.096246e+02
5.835967e-01,3.537805e+00,3.032990e+02
1.281032e-01,2.564650e+01,2.961441e+02
2.216533e-02,5.605436e+01,3.162438e+02
2.138849e-01,1.232357e+01,2.988828e+02
5.054011e-01,3.820983e+00,3.047488e+02
1.912023e-01,4.767049e+00,3.253046e+02
5.430596e-01,7.808365e+00,2.943021e+02
1.968361e-02,1.078258e+02,3.027295e+02
2.169168e-01,1.884417e+01,2.944923e+02
1.014065e-01,6.047097e+00,3.364785e+02
9.222564e-01,2.475088e+00,3.013110e+02
8.391930e-01,4.054536e+00,2.958131e+02
1.030726e-02,3.038611e+02,2.966405e+02
1.451586e-01,4.590190e+00,3.342382e+02
6.597368e-01,2.064115e+00,3.136465e+02
