x,F
2.167636e-01,-1.750009e-01
1.963271e+00,-1.832840e+00
1.796326e+00,-1.981542e+00
1.287647e+00,-1.177120e+00
-1.207494e-01,-6.093159e-02
-1.639442e+00,1.550473e+00
1.091453e+00,-9.323039e-01
-1.537585e+00,1.383399e+00
-5.106020e-01,5.482510e-01
-9.175705e-01,8.889350e-01
7.165255e-01,-8.534580e-01
1.669555e+00,-1.781005e+00
-1.901881e+00,2.017827e+00
1.497344e+00,-1.656373e+00
-8.140816e-01,8.817316e-01
-1.983953e+00,1.836098e+00
1.646689e+00,-1.588495e+00
9.310852e-01,-9.429941e-01
1.379128e+00,-1.244687e+00
1.558106e+00,-1.501523e+00
9.165092e-01,-7.428827e-01
-9.817555e-01,1.190064e+00
-6.662489e-01,5.128013e-01
1.426372e+00,-1.414050e+00
6.476200e-01,-5.800169e-01
1.360345e+00,-1.333070e+00
-7.813863e-01,7.934738e-01
1.049677e-01,4.775916e-02
-5.456923e-01,4.285493e-01
2.990876e-01,-4.647785e-01
-4.913759e-01,5.046802e-01
6.995786e-01,-5.970236e-01
-1.712291e+00,2.074745e+00
-1.781504e+00,1.817721e+00
-2.741460e-01,1.805917e-01
-1.508205e+00,1.741172e+00
1.612340e+00,-1.573180e+00
2.640965e-02,-2.930665e-02
-1.315136e+00,1.251494e+00
-1.023327e+00,1.176361e+00
3.950337e-01,-6.161615e-01
-3.634301e-02,-7.845547e-02
3.293499e-01,-1.553132e-01
-8.364005e-01,7.828978e-01
-2.532049e-01,2.272983e-01
7.254414e-01,-7.039121e-01
6.036050e-01,-6.969031e-01
-7.969055e-02,-1.405107e-02
-1.131296e+00,1.244444e+00
1.238496e+00,-1.232596e+00
-1.376619e+00,1.267795e+00
1.426193e+00,-1.476345e+00
-1.339712e+00,1.193958e+00
1.617238e+00,-1.546412e+00
-6.315192e-01,4.852884e-01
-9.329424e-01,7.804552e-01
-1.192531e+00,1.073847e+00
-1.442668e+00,1.397648e+00
-1.120893e+00,1.137054e+00
1.162626e+00,-1.236436e+00
1.557863e+00,-1.620094e+00
-7.466085e-02,-2.571311e-02
-1.527098e+00,1.700637e+00
1.079562e+00,-1.068345e+00
-5.993109e-01,4.561401e-01
8.913689e-01,-8.172482e-01
-1.853502e+00,1.831916e+00
-1.835775e-01,1.921214e-01
1.247884e+00,-1.052014e+00
3.445100e-02,-1.196612e-01
-3.469678e-01,8.026704e-02
1.905291e-01,-1.476967e-01
-9.391090e-01,9.469900e-01
5.646212e-01,-4.573858e-01
-7.647484e-01,6.151216e-01
1.838977e+00,-1.837131e+00
5.981063e-01,-6.438221e-01
1.721294e+00,-1.876641e+00
-9.714623e-01,9.515134e-01
1.107486e+00,-1.301743e+00
-3.833406e-01,4.419994e-01
1.946091e+00,-1.833704e+00
-1.519413e+00,1.453428e+00
3.562850e-01,-5.110301e-01
-8.987181e-01,1.000013e+00
1.042599e+00,-9.991156e-01
9.909088e-01,-7.700675e-01
-5.978619e-01,6.577717e-01
-1.282410e+00,1.414926e+00
1.236100e-02,-8.169794e-02
4.638173e-01,-1.082319e-01
