x,F
-1.354479e+00,1.354479e+00
8.664665e-01,-8.664665e-01
4.751139e-01,-4.751139e-01
-1.038478e+00,1.038478e+00
1.251587e+00,-1.251587e+00
1.078858e+00,-1.078858e+00
-9.516571e-01,9.516571e-01
1.618778e+00,-1.618778e+00
9.574822e-01,-9.574822e-01
-4.468341e-01,4.468341e-01
-1.910649e+00,1.910649e+00
-8.462359e-01,8.462359e-01
1.098450e-01,-1.098450e-01
-1.877806e-01,1.877806e-01
1.077678e+00,-1.077678e+00
-1.538166e+00,1.538166e+00
3.681125e-01,-3.681125e-01
-3.262362e-01,3.262362e-01
3.366444e-01,-3.366444e-01
1.291222e+00,-1.291222e+00
7.474362e-01,-7.474362e-01
8.646964e-02,-8.646964e-02
-6.805254e-01,6.805254e-01
1.049792e+00,-1.049792e+00
-1.817142e+00,1.817142e+00
4.669207e-01,-4.669207e-01
-1.827257e+00,1.827257e+00
-5.924370e-01,5.924370e-01
1.766093e-01,-1.766093e-01
-1.567806e+00,1.567806e+00
1.618685e+00,-1.618685e+00
-1.862382e+00,1.862382e+00
8.865386e-01,-8.865386e-01
-4.645568e-02,4.645568e-02
-5.147984e-01,5.147984e-01
-1.067103e-01,1.067103e-01
-9.272793e-03,9.272793e-03
9.436300e-01,-9.436300e-01
-1.851793e+00,1.851793e+00
-7.638835e-01,7.638835e-01
-9.104351e-01,9.104351e-01
4.211812e-01,-4.211812e-01
1.159160e+00,-1.159160e+00
-7.660961e-01,7.660961e-01
3.180467e-01,-3.180467e-01
-2.627777e-01,2.627777e-01
3.472236e-01,-3.472236e-01
-1.255386e+00,1.255386e+00
-1.124274e+00,1.124274e+00
7.608773e-01,-7.608773e-01
5.716226e-01,-5.716226e-01
1.076365e+00,-1.076365e+00
-1.917315e+00,1.917315e+00
1.739771e+00,-1.739771e+00
9.374476e-01,-9.374476e-01
1.524170e+00,-1.524170e+00
-8.424353e-01,8.424353e-01
-6.910362e-01,6.910362e-01
-1.274960e+00,1.274960e+00
-1.058744e+00,1.058744e+00
-8.019177e-01,8.019177e-01
1.821972e+00,-1.821972e+00
4.727440e-01,-4.727440e-01
1.786637e+00,-1.786637e+00
-6.282386e-01,6.282386e-01
1.493422e+00,-1.493422e+00
1.901400e+00,-1.901400e+00
-8.245356e-01,8.245356e-01
3.229053e-02,-3.229053e-02
2.617673e-01,-2.617673e-01
8.362594e-02,-8.362594e-02
1.271671e+00,-1.271671e+00
-7.267247e-01,7.267247e-01
-1.767950e+00,1.767950e+00
-1.951354e+00,1.951354e+00
-4.802136e-01,4.802136e-01
-2.599335e-01,2.599335e-01
-2.932063e-01,2.932063e-01
1.567717e+00,-1.567717e+00
-1.503008e+00,1.503008e+00
1.931880e+00,-1.931880e+00
-9.622961e-01,9.622961e-01
-1.730768e+00,1.730768e+00
-9.878848e-01,9.878848e-01
-1.868430e+00,1.868430e+00
-2.528435e-01,2.528435e-01
-1.467386e+00,1.467386e+00
1.759203e+00,-1.759203e+00
6.192245e-01,-6.192245e-01
3.110718e-01,-3.110718e-01
1.619205e+00,-1.619205e+00
1.901791e+00,-1.901791e+00
1.545406e+00,-1.545406e+00
5.353700e-01,-5.353700e-01
-8.048812e-01,8.048812e-01
8.157156e-02,-8.157156e-02
-2.108001e-01,2.108001e-01
1.119907e+00,-1.119907e+00
7.932113e-01,-7.932113e-01
1.210877e+00,-1.210877e+00
1.340070e+00,-1.340070e+00
-1.793954e+00,1.793954e+00
7.885042e-01,-7.885042e-01
1.697726e+00,-1.697726e+00
1.851976e+00,-1.851976e+00
9.566472e-01,-9.566472e-01
1.488779e+00,-1.488779e+00
-9.239842e-01,9.239842e-01
1.704498e+00,-1.704498e+00
-1.950947e+00,1.950947e+00
-4.412139e-01,4.412139e-01
1.983200e-01,-1.983200e-01
3.864832e-01,-3.864832e-01
-6.777704e-01,6.777704e-01
1.627846e+00,-1.627846e+00
-6.327505e-01,6.327505e-01
8.415451e-01,-8.415451e-01
-3.488681e-01,3.488681e-01
6.905574e-01,-6.905574e-01
-4.361414e-01,4.361414e-01
2.649282e-01,-2.649282e-01
-6.650733e-01,6.650733e-01
-1.619281e+00,1.619281e+00
5.004335e-01,-5.004335e-01
-2.160372e-03,2.160372e-03
1.313533e+00,-1.313533e+00
1.811168e+00,-1.811168e+00
1.963896e+00,-1.963896e+00
-8.738394e-01,8.738394e-01
2.138977e-01,-2.138977e-01
6.207488e-01,-6.207488e-01
1.135390e+00,-1.135390e+00
4.997322e-01,-4.997322e-01
1.829325e-01,-1.829325e-01
-6.018944e-01,6.018944e-01
1.402424e+00,-1.402424e+00
5.668882e-01,-5.668882e-01
-8.019245e-01,8.019245e-01
-8.974155e-01,8.974155e-01
4.045785e-02,-4.045785e-02
-1.902614e+00,1.902614e+00
-6.592760e-01,6.592760e-01
4.892799e-01,-4.892799e-01
1.322547e+00,-1.322547e+00
-1.404047e+00,1.404047e+00
1.885196e+00,-1.885196e+00
