v0,theta,R
1.577138e+00,4.531205e-01,2.239021e+00
7.314926e-01,3.424716e-01,2.897309e-01
1.872023e+00,1.195187e+00,2.449709e+00
9.986205e-01,1.881428e-01,4.822305e-01
2.018602e+00,8.230437e-01,4.244629e+00
1.599590e+00,6.505564e-01,2.620962e+00
1.438090e+00,2.947336e-01,1.191218e+00
2.175532e+00,1.167423e-01,1.175529e+00
7.768203e-01,1.386410e+00,2.479481e-01
1.905536e+00,5.888065e-01,3.296341e+00
5.429693e-01,9.395503e-01,2.947109e-01
5.649412e-01,5.619094e-01,3.809470e-01
2.191970e+00,2.028395e-01,2.162684e+00
2.699573e+00,1.430689e+00,1.814469e+00
2.400542e+00,7.425047e-01,5.699637e+00
1.331828e+00,1.160263e+00,1.321708e+00
1.958436e+00,1.209683e+00,2.173762e+00
1.205710e+00,7.604234e-01,1.308422e+00
2.470875e+00,5.318396e-01,5.479876e+00
6.354594e-01,3.086858e-01,3.202541e-01
2.108279e+00,2.662557e-01,2.419675e+00
1.886484e+00,3.671168e-01,2.339174e+00
1.810886e+00,1.013895e+00,3.144762e+00
2.187031e+00,5.974137e-01,4.634726e+00
5.423940e-01,1.182305e+00,1.618122e-01
2.686730e+00,1.360181e+00,2.997641e+00
8.644336e-01,7.739721e-01,9.011013e-01
1.911564e+00,6.599754e-01,3.614257e+00
2.525438e+00,1.451831e+00,1.368456e+00
2.261994e+00,7.871210e-01,4.779649e+00
2.641773e+00,3.559743e-01,4.569670e+00
2.772433e+00,7.625470e-01,7.609261e+00
9.944369e-01,1.203671e+00,6.728224e-01
2.235540e+00,5.781899e-01,4.568537e+00
2.023705e+00,3.486224e-01,2.298976e+00
2.319098e+00,7.870092e-01,5.775426e+00
1.061550e+00,8.821059e-01,1.000455e+00
2.569972e+00,6.985654e-01,6.842257e+00
1.720099e+00,8.881472e-01,3.144968e+00
8.002625e-01,3.454012e-01,3.088611e-01
1.188330e+00,9.749522e-01,1.239865e+00
1.050050e+00,4.886042e-01,8.567537e-01
1.603565e+00,7.818674e-01,2.178716e+00
1.151700e+00,9.894508e-01,1.215280e+00
1.502291e+00,7.118162e-01,1.902310e+00
1.112301e+00,8.199802e-01,1.021407e+00
1.994571e+00,1.339299e+00,1.490565e+00
1.812095e+00,7.591334e-01,2.778132e+00
7.693403e-01,1.275002e+00,5.831952e-01
1.692919e+00,8.937745e-01,2.686067e+00
2.520943e+00,6.186394e-01,5.798046e+00
5.497898e-01,5.660286e-01,3.872845e-01
2.582445e+00,3.968754e-01,4.552037e+00
1.699076e+00,4.214894e-01,2.441737e+00
1.497143e+00,3.101563e-01,1.331212e+00
2.426428e+00,8.678592e-01,6.218942e+00
1.776069e+00,4.555540e-01,2.187287e+00
2.254266e+00,6.075035e-01,4.798165e+00
1.034344e+00,1.004944e+00,8.191103e-01
1.624331e+00,1.037204e+00,2.261766e+00
2.107931e+00,6.645196e-01,4.519498e+00
1.880722e+00,3.702286e-01,2.162671e+00
2.816937e+00,1.173281e+00,5.710461e+00
2.968807e+00,1.749677e-01,3.328629e+00
1.293937e+00,7.803936e-01,1.677868e+00
2.335376e+00,2.870134e-01,2.852085e+00
6.252071e-01,4.392183e-01,3.851183e-01
7.596084e-01,6.965744e-01,3.995112e-01
8.259074e-01,8.385335e-01,8.093137e-01
2.843377e+00,8.596148e-01,8.174096e+00
1.801996e+00,1.157967e+00,2.775621e+00
1.512738e+00,1.409297e+00,5.940184e-01
1.401573e+00,1.222429e+00,1.263168e+00
1.809986e+00,1.364524e-01,5.396238e-01
2.391801e+00,9.204174e-01,5.271200e+00
1.544696e+00,4.604022e-01,1.973024e+00
1.450770e+00,1.178880e+00,6.567517e-01
1.866116e+00,8.096708e-01,3.205384e+00
2.399735e+00,1.315331e+00,2.832422e+00
8.640575e-01,1.464878e+00,4.666367e-02
8.911209e-01,7.404534e-01,1.114647e+00
6.578970e-01,8.468346e-01,4.031262e-01
2.586824e+00,3.325706e-01,3.812703e+00
8.449808e-01,8.368281e-01,8.436051e-01
2.252798e+00,4.791305e-01,4.206177e+00
5.224219e-01,1.415143e-01,2.631528e-01
2.601882e+00,3.520808e-01,4.432272e+00
2.014200e+00,2.803614e-01,2.291316e+00
1.077313e+00,1.168430e-01,4.399222e-01
2.057677e+00,2.872765e-01,2.293687e+00
1.018469e+00,1.321214e+00,3.983786e-01
2.599264e+00,9.161945e-01,6.491179e+00
2.912096e+00,1.201744e+00,6.161026e+00
1.467505e+00,9.016306e-01,2.178860e+00
2.702059e+00,6.621712e-01,7.512525e+00
1.101593e+00,9.121596e-01,1.065222e+00
6.785041e-01,8.356131e-01,5.427501e-01
2.004801e+00,1.164275e+00,3.152915e+00
1.946001e+00,8.241314e-01,3.785748e+00
1.248858e+00,1.817890e-01,6.901901e-01
2.681957e+00,5.144761e-01,5.984431e+00
1.962948e+00,3.540366e-01,2.534939e+00
1.039200e+00,5.459599e-01,1.087299e+00
1.426037e+00,7.276097e-01,1.859539e+00
9.219645e-01,7.177893e-01,8.665260e-01
2.670776e+00,9.647107e-01,6.515847e+00
9.288766e-01,1.060135e+00,9.031579e-01
1.742763e+00,1.291687e+00,1.311885e+00
2.405216e+00,6.411644e-01,5.308255e+00
1.954038e+00,1.222863e+00,2.463857e+00
2.453182e+00,6.084574e-01,5.367919e+00
7.030696e-01,5.581324e-01,3.386859e-01
8.672367e-01,1.231559e+00,6.795629e-01
1.796977e+00,8.218821e-01,3.071492e+00
1.732187e+00,1.323726e+00,1.164978e+00
1.446465e+00,1.968666e-01,7.745657e-01
1.528599e+00,1.304886e+00,1.103184e+00
2.882687e+00,1.248205e+00,5.098148e+00
