v0,theta,R
2.791829e+00,2.255510e-01,3.354875e+00
6.867410e-01,8.680534e-01,4.578315e-01
7.791576e-01,1.677113e-01,1.912283e-01
2.388284e+00,8.555933e-01,5.638588e+00
2.135193e+00,4.685887e-01,3.671709e+00
1.219275e+00,1.063990e+00,1.274454e+00
1.679689e+00,1.642913e-01,9.056958e-01
2.640818e+00,4.976446e-01,5.850757e+00
1.392625e+00,5.092590e-01,1.620766e+00
1.599702e+00,2.055200e-01,1.022766e+00
2.418747e+00,9.369304e-01,5.604396e+00
1.313941e+00,6.316488e-01,1.597694e+00
1.267720e+00,1.129164e-01,3.442219e-01
8.227500e-01,2.912330e-01,3.621850e-01
1.443452e+00,1.292849e+00,1.115519e+00
1.520569e+00,1.126687e+00,1.817376e+00
2.915459e+00,1.205078e+00,5.661941e+00
2.138491e+00,6.537410e-01,4.408819e+00
2.899709e+00,7.067460e-01,8.292596e+00
2.624077e+00,7.499011e-01,6.867619e+00
2.090938e+00,9.534330e-01,4.097904e+00
1.045844e+00,5.957328e-01,9.887931e-01
1.858711e+00,1.172692e+00,2.482684e+00
2.395932e+00,6.226159e-01,5.416871e+00
2.083707e+00,5.275461e-01,3.763227e+00
1.951644e+00,1.028033e+00,3.362230e+00
1.836416e+00,1.158969e+00,2.497770e+00
1.347621e+00,1.086257e+00,1.447936e+00
2.726924e+00,7.939704e-01,7.421084e+00
1.301850e+00,1.154783e+00,1.257966e+00
1.079243e+00,1.245435e+00,7.152339e-01
7.345730e-01,1.805907e-01,2.185734e-01
1.496981e+00,1.106892e+00,1.795635e+00
2.155451e+00,3.321097e-01,2.831948e+00
1.251550e+00,3.279109e-01,9.379914e-01
2.686673e+00,1.177032e+00,5.118866e+00
1.171072e+00,1.466865e+00,2.605390e-01
2.949963e+00,4.906119e-01,7.255357e+00
1.097231e+00,1.159728e+00,8.797055e-01
1.844980e+00,4.990111e-01,2.845856e+00
5.495787e-01,1.197977e+00,2.514770e-01
1.906161e+00,8.352931e-01,3.639915e+00
1.583671e+00,1.329388e+00,1.183143e+00
2.017752e+00,1.102617e+00,3.278953e+00
6.579264e-01,5.279614e-01,4.194769e-01
2.606184e+00,5.881250e-01,6.286926e+00
1.652126e+00,7.224034e-01,2.717000e+00
2.468692e+00,1.189570e+00,4.200628e+00
2.075168e+00,8.155783e-01,4.279393e+00
2.177247e+00,5.938785e-01,4.432035e+00
2.040438e+00,1.133176e+00,3.178490e+00
7.077270e-01,2.366472e-01,2.288202e-01
5.387307e-01,1.035728e+00,2.437489e-01
1.677282e+00,1.252800e+00,1.639669e+00
1.610005e+00,1.265701e+00,1.483206e+00
1.994611e+00,1.425626e+00,1.120515e+00
1.389984e+00,1.382260e+00,6.912860e-01
1.829379e+00,1.175934e-01,8.035908e-01
2.415341e+00,2.016899e-01,2.294414e+00
2.724961e+00,1.463348e+00,1.595475e+00
8.250380e-01,5.104052e-01,6.141980e-01
1.769296e+00,1.165035e+00,2.291096e+00
5.150732e-01,1.240183e+00,1.435646e-01
2.669446e+00,1.365134e-01,1.912653e+00
9.841994e-01,1.236905e+00,5.771057e-01
2.202033e+00,8.200014e-01,4.816969e+00
1.832329e+00,5.092292e-01,2.813643e+00
1.835369e+00,4.169397e-01,2.508060e+00
2.387087e+00,4.855757e-01,4.736275e+00
2.508082e+00,1.032205e+00,5.556112e+00
2.898533e+00,1.383409e+00,3.078975e+00
2.140036e+00,3.417777e-01,2.899101e+00
2.525989e+00,1.709225e-01,2.143557e+00
5.848361e-01,1.204057e+00,2.580157e-01
5.110862e-01,1.469890e+00,7.937643e-02
1.196511e+00,8.392445e-01,1.439041e+00
1.722735e+00,9.592674e-01,2.779574e+00
1.237621e+00,1.427268e+00,4.221998e-01
1.306116e+00,9.137632e-01,1.631438e+00
2.360008e+00,1.809291e-01,1.957035e+00
6.047255e-01,8.830442e-01,3.610275e-01
2.482384e+00,1.172622e+00,4.370552e+00
1.541674e+00,4.042949e-01,1.727785e+00
1.583025e+00,8.392124e-01,2.500736e+00
1.996382e+00,1.074153e+00,3.346735e+00
2.245035e+00,6.451806e-01,4.833273e+00
1.396199e+00,5.703084e-01,1.766127e+00
1.873962e+00,4.097741e-01,2.549474e+00
2.637688e+00,1.375138e+00,2.669680e+00
1.117158e+00,6.806654e-01,1.188714e+00
2.683835e+00,4.154563e-01,5.317954e+00
