lambda_,t,N
1.395497e+00,1.249526e+00,1.874285e-01
3.359986e-01,2.688346e+00,3.885180e-01
1.288530e+00,1.317229e+00,2.293523e-01
1.963958e+00,2.364187e+00,5.754296e-03
1.084977e+00,4.650070e-01,6.231425e-01
5.676891e-01,1.854170e+00,3.061770e-01
1.562329e+00,1.354487e+00,8.620093e-02
1.664932e-01,4.863904e-01,9.318263e-01
1.524354e+00,2.449850e-02,9.495473e-01
1.937000e-01,1.949389e+00,6.503797e-01
1.801869e+00,1.885179e+00,2.805473e-02
1.313224e+00,2.612437e+00,2.170903e-02
1.255939e+00,2.144185e+00,6.148954e-02
1.836752e+00,1.781068e+00,2.103141e-02
9.116535e-01,5.045214e-01,6.780798e-01
1.912475e+00,6.562162e-01,2.697874e-01
7.191934e-01,1.566833e+00,3.285171e-01
1.936832e+00,1.043458e+00,1.830239e-01
1.623436e+00,1.645377e+00,7.924832e-02
8.562303e-01,2.611916e+00,9.180964e-02
1.181197e+00,2.988884e-01,6.798643e-01
9.288503e-01,2.553861e+00,7.964217e-02
1.073562e+00,2.035398e+00,1.382046e-01
1.922537e+00,2.071710e+00,4.213206e-02
7.056102e-01,6.404764e-01,6.527339e-01
1.317290e+00,8.568963e-01,3.013489e-01
1.292223e+00,2.832562e+00,-3.506391e-04
1.726367e+00,2.672772e+00,-9.512517e-03
1.651741e+00,1.782586e+00,7.553765e-02
6.798061e-01,2.865071e-01,8.500370e-01
3.578525e-01,2.961755e+00,3.842692e-01
1.353670e+00,2.738653e+00,1.596021e-02
1.845505e-01,2.463882e+00,6.457620e-01
1.820669e+00,8.507518e-01,2.327330e-01
9.182968e-01,8.493685e-01,4.631932e-01
5.317888e-01,1.741345e+00,3.151588e-01
3.831153e-01,1.856046e+00,4.787620e-01
8.116929e-01,2.256770e+00,1.393753e-01
4.867295e-01,1.747501e+00,3.773555e-01
1.504678e+00,8.688638e-01,2.310239e-01
1.094126e+00,2.080535e+00,5.731762e-02
9.522807e-01,1.196725e-01,9.102653e-01
1.317629e+00,2.636469e+00,2.210454e-02
4.656457e-01,5.303756e-01,7.298850e-01
5.229701e-01,1.585216e+00,4.649423e-01
5.745000e-01,3.190571e-01,8.193831e-01
1.393093e+00,6.585191e-01,4.163417e-01
3.425072e-01,1.850254e+00,5.024407e-01
1.062942e+00,1.654936e+00,1.347650e-01
2.893142e-01,6.556945e-01,8.826003e-01
1.063860e+00,1.505201e+00,2.112196e-01
5.533142e-01,2.233480e+00,2.975972e-01
3.569059e-01,1.555779e-01,9.267702e-01
9.158058e-01,3.193395e-03,1.036270e+00
4.777718e-01,2.639865e+00,3.175992e-01
6.175463e-01,5.655537e-03,1.027370e+00
6.602621e-01,2.754834e+00,9.990050e-02
8.057235e-01,3.948709e-01,7.458626e-01
1.182917e+00,1.518228e+00,2.093394e-01
1.783999e+00,1.322237e+00,8.635761e-02
3.800703e-01,1.590334e+00,5.716697e-01
7.923711e-01,1.077974e+00,4.212601e-01
1.438678e+00,2.890180e+00,4.115156e-02
1.104296e+00,1.942216e+00,1.298651e-01
1.021993e+00,1.740956e+00,2.078053e-01
1.336389e+00,1.415013e+00,1.708459e-01
1.624753e+00,1.523953e+00,1.100846e-01
8.550639e-01,1.287487e+00,3.410562e-01
1.127412e+00,1.331684e+00,2.751488e-01
1.812632e+00,1.587765e+00,6.937928e-02
1.991899e+00,2.650265e+00,3.039247e-02
3.147536e-01,1.038168e+00,7.017562e-01
1.840315e+00,1.619883e+00,1.623182e-02
