lambda,t,N
1.395497e+00,1.249526e+00,1.737761e-01
3.359986e-01,2.688346e+00,4.008182e-01
1.288530e+00,1.317229e+00,1.847308e-01
1.963958e+00,2.364187e+00,7.511996e-03
1.084977e+00,4.650070e-01,6.025909e-01
5.676891e-01,1.854170e+00,3.524230e-01
1.562329e+00,1.354487e+00,1.161797e-01
1.664932e-01,4.863904e-01,9.235181e-01
1.524354e+00,2.449850e-02,9.569482e-01
1.937000e-01,1.949389e+00,6.866721e-01
1.801869e+00,1.885179e+00,3.227951e-02
1.313224e+00,2.612437e+00,3.172071e-02
1.255939e+00,2.144185e+00,6.996859e-02
1.836752e+00,1.781068e+00,3.672456e-02
9.116535e-01,5.045214e-01,6.367692e-01
1.912475e+00,6.562162e-01,2.808963e-01
7.191934e-01,1.566833e+00,3.227066e-01
1.936832e+00,1.043458e+00,1.238774e-01
1.623436e+00,1.645377e+00,6.679990e-02
8.562303e-01,2.611916e+00,1.055804e-01
1.181197e+00,2.988884e-01,6.997966e-01
9.288503e-01,2.553861e+00,9.629970e-02
1.073562e+00,2.035398e+00,1.160575e-01
1.922537e+00,2.071710e+00,1.380888e-02
7.056102e-01,6.404764e-01,6.353676e-01
1.317290e+00,8.568963e-01,3.200688e-01
1.292223e+00,2.832562e+00,2.498669e-02
1.726367e+00,2.672772e+00,8.698263e-03
1.651741e+00,1.782586e+00,5.415905e-02
6.798061e-01,2.865071e-01,8.207501e-01
3.578525e-01,2.961755e+00,3.443209e-01
1.353670e+00,2.738653e+00,2.076113e-02
1.845505e-01,2.463882e+00,6.288163e-01
1.820669e+00,8.507518e-01,2.159043e-01
9.182968e-01,8.493685e-01,4.578976e-01
5.317888e-01,1.741345e+00,3.919529e-01
3.831153e-01,1.856046e+00,4.927407e-01
8.116929e-01,2.256770e+00,1.597521e-01
4.867295e-01,1.747501e+00,4.251022e-01
1.504678e+00,8.688638e-01,2.703048e-01
1.094126e+00,2.080535e+00,1.060190e-01
9.522807e-01,1.196725e-01,8.942264e-01
1.317629e+00,2.636469e+00,3.164017e-02
4.656457e-01,5.303756e-01,7.814474e-01
5.229701e-01,1.585216e+00,4.335394e-01
5.745000e-01,3.190571e-01,8.356285e-01
1.393093e+00,6.585191e-01,4.029140e-01
3.425072e-01,1.850254e+00,5.282129e-01
1.062942e+00,1.654936e+00,1.669551e-01
2.893142e-01,6.556945e-01,8.225659e-01
1.063860e+00,1.505201e+00,1.986183e-01
5.533142e-01,2.233480e+00,2.935789e-01
3.569059e-01,1.555779e-01,9.472625e-01
9.158058e-01,3.193395e-03,9.980542e-01
4.777718e-01,2.639865e+00,2.825150e-01
6.175463e-01,5.655537e-03,9.961456e-01
6.602621e-01,2.754834e+00,1.598261e-01
8.057235e-01,3.948709e-01,7.243631e-01
1.182917e+00,1.518228e+00,1.638146e-01
1.783999e+00,1.322237e+00,9.337062e-02
3.800703e-01,1.590334e+00,5.482003e-01
7.923711e-01,1.077974e+00,4.233270e-01
1.438678e+00,2.890180e+00,1.733682e-02
1.104296e+00,1.942216e+00,1.154838e-01
1.021993e+00,1.740956e+00,1.649116e-01
1.336389e+00,1.415013e+00,1.465017e-01
1.624753e+00,1.523953e+00,8.263043e-02
8.550639e-01,1.287487e+00,3.295187e-01
1.127412e+00,1.331684e+00,2.202448e-01
1.812632e+00,1.587765e+00,5.365438e-02
1.991899e+00,2.650265e+00,8.023725e-03
3.147536e-01,1.038168e+00,7.208105e-01
1.840315e+00,1.619883e+00,5.210102e-02
8.328908e-01,2.607147e+00,1.158145e-01
5.895305e-01,1.943354e+00,3.205844e-01
1.015803e+00,1.009683e+00,3.574341e-01
1.525101e-01,2.879325e+00,6.435911e-01
1.229905e+00,7.351805e-01,4.029247e-01
1.690435e+00,2.632228e+00,1.079673e-02
1.726525e-01,1.404368e+00,7.855571e-01
6.170727e-01,6.978166e-01,6.530582e-01
1.460884e+00,1.483463e+00,1.156871e-01
9.507500e-01,2.668017e+00,7.614761e-02
8.584650e-01,2.412233e+00,1.269414e-01
9.117048e-01,2.894630e+00,7.267827e-02
1.908482e+00,5.981923e-01,3.181377e-01
3.339514e-01,8.966767e-01,7.397697e-01
1.463127e+00,2.558959e+00,2.553537e-02
6.102195e-01,2.755864e+00,1.831422e-01
9.145810e-01,2.059499e+00,1.555495e-01
7.480364e-01,2.462566e+00,1.586826e-01
1.253772e+00,6.050940e-01,4.686474e-01
1.920128e+00,1.041088e+00,1.361583e-01
1.879279e+00,1.863731e+00,2.994340e-02
4.199339e-01,2.298761e-01,9.082506e-01
1.034541e+00,7.951565e-01,4.464406e-01
8.611480e-01,2.149892e+00,1.560203e-01
1.385328e+00,2.442997e+00,3.473741e-02
1.835559e+00,2.903781e+00,7.188742e-03
7.632481e-01,8.133753e-01,5.318839e-01
1.692297e+00,1.735986e+00,5.405229e-02
1.431126e-01,2.555156e+00,6.931480e-01
1.352995e+00,1.848281e+00,7.682663e-02
1.960301e+00,5.716782e-01,3.257373e-01
1.764215e-01,2.455854e+00,6.446364e-01
3.334491e-01,9.077045e-01,7.393638e-01
1.344658e+00,1.401188e+00,1.486953e-01
2.907629e-01,1.808908e+00,5.948525e-01
1.964029e+00,2.236505e+00,9.775473e-03
2.257039e-01,1.053425e+00,7.868917e-01
1.777665e+00,1.579242e+00,6.316187e-02
1.532772e+00,2.355569e+00,2.865357e-02
1.182659e-01,1.109299e+00,8.822851e-01
1.840576e+00,1.229606e+00,1.040125e-01
1.513686e+00,1.715992e+00,7.453969e-02
1.625563e+00,3.979578e-01,5.258157e-01
1.197937e+00,1.881171e+00,1.072756e-01
1.847473e+00,9.901122e-01,1.560405e-01
6.052333e-01,2.972803e+00,1.664329e-01
1.989618e+00,2.224757e+00,1.245151e-02
1.266744e+00,3.159433e-02,9.644864e-01
7.163924e-01,2.544770e+00,1.611505e-01
1.621109e+00,1.668035e+00,6.700790e-02
1.195762e+00,2.741417e-01,7.237763e-01
9.854391e-01,1.953737e+00,1.453257e-01
1.414032e+00,6.551050e-01,3.973745e-01
1.971412e-01,1.678485e+00,7.235411e-01
1.315801e+00,1.871785e+00,8.427367e-02
2.700648e-01,2.883558e-01,9.257253e-01
1.579251e+00,9.562267e-02,8.573724e-01
8.779591e-01,2.103485e+00,1.549228e-01
1.517737e+00,8.565993e-01,2.758218e-01
1.824325e+00,2.923564e+00,6.006096e-03
4.139080e-01,1.338441e+00,5.749544e-01
1.677970e+00,1.522618e+00,7.776198e-02
1.643011e+00,5.321302e-01,4.179618e-01
1.492014e+00,2.424138e+00,2.592894e-02
8.072618e-01,4.635125e-01,6.850486e-01
1.267655e+00,1.454091e+00,1.562138e-01
7.928132e-01,5.662862e-01,6.421493e-01
1.734550e+00,1.224593e-01,8.090622e-01
1.333086e+00,7.247810e-01,3.806117e-01
9.488581e-01,1.707244e+00,2.001383e-01
7.959518e-01,5.916646e-01,6.220240e-01
1.540052e+00,1.957789e+00,4.603677e-02
6.486990e-01,8.467097e-01,5.795876e-01
1.487899e+00,6.317762e-01,3.927440e-01
1.498147e+00,2.241618e+00,3.603446e-02
1.843586e+00,2.064983e+00,1.987600e-02
2.707435e-01,4.028747e-02,9.871867e-01
6.469310e-01,2.919030e+00,1.541300e-01
1.261719e+00,7.095704e-01,4.085019e-01
1.542443e+00,5.874139e-02,9.162587e-01
1.305625e+00,4.765161e-01,5.340378e-01
1.092034e-01,2.027475e+00,8.018095e-01
7.620894e-01,5.433411e-01,6.589583e-01
1.042664e+00,1.956681e-01,8.101377e-01
1.720302e+00,4.161425e-02,9.300215e-01
7.209471e-01,2.383115e+00,1.788033e-01
1.475738e+00,3.870876e-01,5.620958e-01
2.458473e-01,6.539938e-01,8.501892e-01
6.436501e-01,2.365592e+00,2.055097e-01
1.614741e+00,5.842354e-01,3.862761e-01
1.278958e+00,5.505372e-01,4.930284e-01
3.927359e-01,1.181905e+00,6.306435e-01
1.836378e+00,8.498491e-02,8.579282e-01
1.834908e+00,4.962545e-01,4.050295e-01
5.564861e-01,2.611868e+00,2.371930e-01
1.904073e+00,1.349701e+00,8.404075e-02
7.169897e-01,2.040677e+00,2.318100e-01
1.133776e+00,1.169333e+00,2.705746e-01
1.370418e+00,3.969806e-01,5.804204e-01
4.735305e-01,1.176780e+00,5.707989e-01
1.897729e+00,1.066063e+00,1.305075e-01
7.655415e-01,1.594399e+00,2.954470e-01
2.437619e-01,6.880853e-01,8.469186e-01
1.339336e+00,2.720866e+00,2.453434e-02
1.278040e+00,2.508253e+00,4.284766e-02
1.023680e+00,1.325771e+00,2.598346e-01
1.599664e+00,6.792880e-03,9.907842e-01
1.472492e+00,7.599352e-01,3.319000e-01
1.779810e+00,1.237375e+00,1.104066e-01
4.117987e-01,5.587608e-01,7.925038e-01
1.895417e+00,1.680346e-01,7.257090e-01
9.935795e-01,3.286959e-01,7.167206e-01
9.236041e-01,6.286415e-01,5.634858e-01
1.291651e-01,6.452208e-01,9.183418e-01
1.775851e+00,2.749029e+00,4.995663e-03
1.685043e+00,9.951036e-01,1.888215e-01
2.730194e-01,6.938878e-02,9.827462e-01
5.111549e-01,1.603913e+00,4.387293e-01
5.488036e-01,2.561439e+00,2.396305e-01
8.121202e-01,5.470252e-01,6.434069e-01
8.733805e-01,1.325161e+00,3.146542e-01
1.939393e-01,2.800367e+00,5.839069e-01
1.992021e+00,1.499049e-01,7.361727e-01
1.995932e+00,7.522567e-01,2.271546e-01
1.597486e+00,8.661524e-02,8.656068e-01
1.957237e+00,7.643073e-01,2.255426e-01
1.023347e+00,2.532812e+00,7.493004e-02
1.740857e+00,1.032227e-02,9.858985e-01
6.078437e-01,2.738105e-01,8.491753e-01
1.972136e+00,9.873610e-02,8.237468e-01
1.265659e+00,2.996044e+00,2.299341e-02
7.043282e-01,7.745934e-01,5.773310e-01
1.393222e+00,1.787243e+00,8.508561e-02
5.076576e-01,2.656340e+00,2.635036e-01
1.827021e+00,1.327906e+00,8.649437e-02
3.177192e-01,2.983283e+00,3.892810e-01
1.751069e+00,1.927387e+00,3.119989e-02
1.416608e+00,1.750868e+00,9.001168e-02
1.898350e+00,2.088095e+00,1.567211e-02
1.828493e+00,1.722076e+00,3.955273e-02
9.549664e-01,1.588682e+00,2.126829e-01
1.290642e-01,4.311694e-01,9.430442e-01
1.008444e+00,2.975904e+00,5.054165e-02
5.443803e-01,1.712910e+00,3.923421e-01
5.869952e-01,1.471020e+00,4.243646e-01
1.654904e+00,2.004122e+00,3.574745e-02
1.033370e+00,6.632595e-01,5.014447e-01
1.879689e+00,2.909184e+00,8.596019e-03
1.171602e+00,2.787708e+00,3.967907e-02
1.721424e+00,5.342161e-01,4.013472e-01
1.732330e+00,1.587052e+00,5.893851e-02
1.346906e+00,8.469672e-01,3.212036e-01
2.930481e-01,2.012752e+00,5.561033e-01
7.683318e-01,2.405456e+00,1.544269e-01
1.089456e+00,8.179725e-01,4.144909e-01
1.533748e+00,2.525031e+00,1.541103e-02
1.838844e+00,1.768382e+00,4.290055e-02
5.836927e-01,3.848297e-01,7.991929e-01
