lambda,t,N
8.486127e-01,5.934937e+00,6.496685e+03
1.757947e-01,4.939547e+00,4.196451e+05
2.471803e-01,6.511709e+00,1.999743e+05
1.584103e-01,8.627401e+00,2.549549e+05
8.143011e-01,5.127080e+00,1.537539e+04
4.106103e-01,7.763459e+00,4.126436e+04
7.720087e-01,4.818419e+00,2.423732e+04
5.689287e-01,9.321706e+00,4.974722e+03
9.431863e-01,9.023335e+00,2.013058e+02
9.510584e-01,7.211146e+00,1.050781e+03
9.151712e-01,7.752314e+00,8.294938e+02
6.313679e-01,2.492892e+00,2.072287e+05
7.159408e-01,2.213113e+00,2.050589e+05
6.168633e-01,1.762545e+00,3.371425e+05
9.915317e-01,3.019333e+00,5.009849e+04
7.588313e-01,6.753056e+00,5.949608e+03
9.706976e-01,4.059723e+00,1.943338e+04
6.342149e-01,8.425591e+00,4.778468e+03
3.194113e-01,7.700755e+00,8.545988e+04
8.292911e-01,3.397375e+00,5.976037e+04
5.809718e-01,1.094684e+00,5.294160e+05
6.136066e-02,5.194466e+00,7.270676e+05
1.378230e-01,5.119796e-01,9.318694e+05
5.336926e-01,8.907228e+00,8.619554e+03
4.039546e-01,4.901530e+00,1.380699e+05
3.598782e-02,3.314400e+00,8.875610e+05
8.979008e-01,5.973714e-01,5.848615e+05
5.494927e-01,8.380380e+00,1.000213e+04
9.819920e-02,5.400751e+00,5.883993e+05
3.042912e-01,6.151448e+00,1.538417e+05
1.983282e-01,2.605679e-01,9.496346e+05
5.860213e-01,5.125607e+00,4.960245e+04
6.052175e-01,6.071067e+00,2.536675e+04
6.862819e-01,1.763743e+00,2.980705e+05
7.289514e-01,3.921184e+00,5.736317e+04
7.599290e-01,6.671553e+00,6.283004e+03
5.482424e-02,7.756900e+00,6.535958e+05
7.998556e-01,7.203556e+00,3.145431e+03
9.327334e-01,3.110978e+00,5.492905e+04
5.222105e-01,4.981234e+00,7.418059e+04
4.986446e-01,2.060892e-01,9.023388e+05
7.064136e-01,5.605746e+00,1.906358e+04
3.085367e-01,7.491708e+00,9.911575e+04
5.329264e-02,9.597627e+00,5.996058e+05
8.759757e-01,5.877154e+00,5.809595e+03
6.164372e-01,3.831019e+00,9.427093e+04
6.133664e-01,4.023347e+00,8.477235e+04
2.188780e-01,1.976675e+00,6.487871e+05
4.218486e-01,9.503151e+00,1.815352e+04
4.573628e-01,4.348572e+00,1.368493e+05
9.826094e-01,5.668079e+00,3.812357e+03
9.849137e-01,1.747132e+00,1.789276e+05
6.030772e-01,5.036541e+00,4.795831e+04
6.454196e-01,4.287827e+00,6.282214e+04
7.657500e-01,3.467294e+00,7.029320e+04
2.692433e-01,3.496586e+00,3.900688e+05
7.142384e-01,3.705302e+00,7.090114e+04
4.372779e-01,7.847881e+00,3.233177e+04
4.377673e-01,6.889947e+00,4.898733e+04
6.332672e-01,9.594436e+00,2.297711e+03
9.751805e-01,9.784461e+00,7.180074e+01
8.430682e-01,9.962139e+00,2.251458e+02
5.325966e-01,1.844806e+00,3.743600e+05
2.063867e-01,6.931552e+00,2.391701e+05
6.501869e-01,2.120403e+00,2.519164e+05
7.513695e-01,7.378330e+00,3.911432e+03
9.216327e-01,6.316788e+00,2.962392e+03
1.510571e-01,3.297544e-01,9.514085e+05
4.185573e-01,7.930305e+00,3.617862e+04
5.746888e-01,6.002031e+00,3.176788e+04
7.890570e-01,6.863886e+00,4.444902e+03
3.922778e-01,9.796136e+00,2.143336e+04
4.184383e-01,1.356485e+00,5.668814e+05
1.209437e-01,2.744263e+00,7.175580e+05
7.266849e-02,7.146558e+00,5.949192e+05
4.238027e-01,9.023545e-01,6.822083e+05
8.302736e-01,4.163261e+00,3.153537e+04
1.056293e-02,2.805284e+00,9.708027e+05
1.585979e-01,2.164247e+00,7.094644e+05
8.261516e-02,3.079890e+00,7.753462e+05
2.186240e-01,7.684857e+00,1.863565e+05
6.168607e-01,6.185766e+00,2.202107e+04
7.618032e-01,9.292768e+00,8.423961e+02
1.611278e-01,7.252028e+00,3.108319e+05
8.783841e-02,5.724468e+00,6.048177e+05
2.438621e-01,7.637506e+00,1.552842e+05
6.754515e-01,1.349335e-01,9.128890e+05
3.154680e-01,2.717631e+00,4.242954e+05
6.836931e-01,2.134757e+00,2.323481e+05
3.801922e-01,6.301807e+00,9.109086e+04
3.868723e-01,4.648915e+00,1.655410e+05
5.061506e-01,9.728503e+00,7.269354e+03
9.711006e-01,4.250073e+00,1.612719e+04
6.178964e-01,2.635788e+00,1.961954e+05
2.452116e-02,2.282306e+00,9.455724e+05
6.130520e-02,5.292297e+00,7.229282e+05
1.165032e-01,3.547149e+00,6.614942e+05
3.185752e-01,6.214788e+00,1.380862e+05
1.038095e-01,2.782516e+00,7.491234e+05
4.229306e-01,4.836561e+00,1.293116e+05
5.395149e-01,1.177624e+00,5.297523e+05
9.966915e-01,2.882794e+00,5.651458e+04
6.375065e-01,1.290408e+00,4.392688e+05
4.411774e-02,8.335507e-01,9.638936e+05
8.818415e-01,6.925124e+00,2.227531e+03
2.844799e-01,4.920444e+00,2.466543e+05
1.181599e-01,5.624249e+00,5.144995e+05
5.372188e-01,4.163737e+00,1.067957e+05
8.892677e-01,3.263575e+00,5.490278e+04
4.450676e-01,2.084258e+00,3.954876e+05
2.824492e-02,4.565819e+00,8.790081e+05
9.278958e-01,6.646252e+00,2.097457e+03
9.033719e-01,4.377834e+00,1.916227e+04
4.981456e-01,9.934227e+00,7.092683e+03
5.303814e-02,9.819224e+00,5.940490e+05
8.343846e-01,1.147951e+00,3.837237e+05
4.904529e-01,4.899614e+00,9.044350e+04
6.771649e-01,4.203079e+00,5.806587e+04
9.095082e-01,1.097955e+00,3.683952e+05
6.671759e-01,3.531161e-01,7.901041e+05
5.399794e-01,1.744468e+00,3.898564e+05
4.438657e-01,6.151774e+00,6.518269e+04
6.966392e-01,7.164095e-02,9.513170e+05
8.573259e-01,4.152003e+00,2.844964e+04
5.103942e-01,2.600676e-01,8.756954e+05
3.112711e-01,7.171522e+00,1.072828e+05
5.236391e-01,1.795696e+00,3.905120e+05
1.529273e-02,9.783092e+00,8.610436e+05
9.670964e-01,3.944478e+00,2.204453e+04
3.176786e-01,5.236763e+00,1.894543e+05
4.670588e-01,2.452186e+00,3.181237e+05
7.986916e-01,1.336756e+00,3.438134e+05
3.929336e-01,3.518034e-01,8.708937e+05
1.055147e-01,1.130043e+00,8.875982e+05
6.342522e-01,2.221597e+00,2.443747e+05
3.592144e-01,3.289670e+00,3.067578e+05
6.565835e-01,2.178209e+00,2.392669e+05
5.388296e-01,5.129420e+00,6.304645e+04
1.396172e-01,2.497738e+00,7.055856e+05
8.934308e-01,3.924758e+00,3.000174e+04
8.452717e-01,5.168010e+00,1.267184e+04
8.508578e-01,8.445357e+00,7.572651e+02
8.846177e-01,8.927855e+00,3.715830e+02
1.027394e-01,5.973630e+00,5.413294e+05
7.351477e-01,8.501027e+00,1.931399e+03
5.588258e-01,9.740482e+00,4.325476e+03
6.532200e-01,1.400286e+00,4.006390e+05
6.656791e-01,5.695957e+00,2.255768e+04
1.276162e-01,2.567817e+00,7.205827e+05
8.179475e-01,7.767498e+00,1.740810e+03
8.479404e-01,8.730940e+00,6.092287e+02
9.070870e-02,5.721997e+00,5.950946e+05
2.417802e-01,1.878974e+00,6.348931e+05
5.446096e-01,7.418411e+00,1.759505e+04
9.055270e-02,6.830602e+00,5.387361e+05
3.261260e-01,8.790653e+00,5.687720e+04
3.792199e-01,8.126949e+00,4.587197e+04
2.192771e-01,4.169780e+00,4.007822e+05
6.370753e-01,5.232882e-01,7.165022e+05
4.056801e-01,3.238056e+00,2.688464e+05
7.961691e-01,9.560252e+00,4.946912e+02
1.680093e-01,6.624765e+00,3.285645e+05
8.906915e-01,8.710463e+00,4.271672e+02
1.725135e-01,8.244179e+00,2.411751e+05
3.141977e-01,3.033186e+00,3.855747e+05
1.001396e-01,1.784162e+00,8.363858e+05
3.929608e-01,8.717749e-01,7.099411e+05
2.411943e-01,9.010752e+00,1.137967e+05
9.748190e-01,7.218644e+00,8.788719e+02
7.192729e-01,6.741612e+00,7.835752e+03
5.065276e-01,4.073114e+00,1.270538e+05
9.033860e-01,3.090621e+00,6.129703e+04
2.933311e-01,8.051876e+00,9.424421e+04
4.565552e-01,1.384469e+00,5.314817e+05
2.284451e-01,7.437205e-01,8.437498e+05
2.189387e-01,6.191218e+00,2.578190e+05
9.458459e-02,7.303666e+00,5.011678e+05
7.067277e-01,1.511209e+00,3.436907e+05
9.089088e-01,9.499618e+00,1.779005e+02
8.392094e-01,2.247163e+00,1.517015e+05
4.525645e-01,3.245927e+00,2.301575e+05
7.711997e-01,4.205264e+00,3.904275e+04
3.573754e-01,9.632174e+00,3.199097e+04
5.966909e-01,5.011735e+00,5.026449e+04
3.869912e-02,1.956645e+00,9.270754e+05
2.927581e-01,5.721511e+00,1.873046e+05
6.034152e-01,6.213871e+00,2.352847e+04
3.256488e-01,9.772540e+00,4.148529e+04
5.170677e-01,5.385549e+00,6.174803e+04
5.508600e-02,9.678864e+00,5.867421e+05
3.258310e-01,7.800424e+00,7.873877e+04
4.323526e-02,8.859211e+00,6.817922e+05
8.738195e-01,4.253045e+00,2.432152e+04
5.605025e-01,3.223725e+00,1.641613e+05
