t,v,t_prime
1.939321e+00,2.846144e-01,2.057381e+00
1.527684e+00,4.966167e-01,1.846637e+00
1.836717e+00,2.790628e-02,1.883914e+00
1.145345e+00,4.047940e-01,1.378109e+00
1.327179e+00,4.808580e-01,1.535954e+00
1.945053e+00,5.795607e-01,2.495139e+00
5.354222e-01,7.061419e-02,5.181302e-01
9.010284e-01,2.963270e-01,9.753928e-01
8.291354e-01,5.632380e-01,1.028689e+00
7.634640e-01,7.614211e-01,1.108761e+00
9.184470e-01,4.531616e-01,1.013179e+00
1.299558e+00,8.482279e-01,2.593084e+00
6.913336e-01,6.919706e-01,9.131545e-01
1.510021e+00,9.278051e-01,4.017051e+00
8.700229e-01,7.985563e-01,1.553375e+00
1.529146e+00,8.667091e-01,3.048209e+00
8.353603e-01,3.023389e-01,8.412406e-01
1.643971e+00,6.996509e-01,2.273176e+00
8.805685e-01,4.564919e-01,8.634458e-01
1.320945e+00,4.475120e-01,1.518753e+00
1.389614e+00,3.482992e-02,1.518874e+00
1.126254e+00,8.159898e-01,2.037672e+00
5.436100e-01,4.204201e-01,6.033997e-01
1.852140e+00,9.305820e-01,5.008107e+00
1.171666e+00,6.985765e-01,1.650376e+00
1.719500e+00,3.465053e-01,1.891684e+00
1.163415e+00,3.081010e-01,1.173443e+00
8.220737e-01,7.940001e-01,1.429688e+00
1.292632e+00,6.902983e-01,1.666364e+00
8.294110e-01,4.609723e-01,6.643876e-01
1.019108e+00,2.110653e-01,1.087041e+00
1.182755e+00,7.962527e-01,1.960302e+00
9.462680e-01,8.491190e-01,1.759780e+00
1.377177e+00,9.412007e-01,4.109601e+00
1.242685e+00,2.051376e-01,1.298966e+00
1.577967e+00,4.626049e-01,1.789483e+00
8.422634e-01,5.585106e-01,9.006454e-01
1.343624e+00,8.214240e-01,2.308217e+00
7.982967e-01,3.285430e-01,8.683979e-01
9.221940e-01,9.150341e-03,9.031374e-01
1.865514e+00,6.928807e-01,2.654563e+00
8.156745e-01,6.238371e-01,9.717754e-01
1.045866e+00,6.246467e-01,1.367754e+00
1.556352e+00,7.473796e-02,1.505513e+00
1.800324e+00,4.347391e-01,1.817969e+00
1.792018e+00,7.399896e-01,2.708261e+00
5.988613e-01,8.253494e-01,1.106698e+00
5.006625e-01,8.563644e-01,1.026553e+00
5.004864e-01,1.815152e-01,4.410015e-01
5.567326e-01,1.456433e-01,6.271189e-01
1.933817e+00,6.261008e-01,2.417850e+00
1.054925e+00,6.756774e-02,1.042181e+00
1.670850e+00,2.526003e-01,1.569895e+00
1.487762e+00,6.710354e-02,1.609565e+00
1.784159e+00,6.159860e-02,1.769491e+00
1.274019e+00,4.144612e-01,1.476640e+00
9.939140e-01,1.952972e-01,1.050359e+00
1.400111e+00,4.785972e-01,1.763968e+00
1.912796e+00,3.715144e-03,2.007935e+00
1.602394e+00,2.478749e-01,1.567472e+00
1.301631e+00,2.272313e-01,1.313983e+00
1.166782e+00,1.535065e-01,1.261268e+00
8.150535e-01,6.402808e-01,1.071657e+00
9.049248e-01,1.478443e-01,9.826791e-01
1.263929e+00,5.026043e-01,1.400133e+00
5.399031e-01,5.169651e-01,6.961022e-01
1.396057e+00,1.708366e-01,1.262094e+00
1.696686e+00,8.440975e-01,3.005615e+00
5.903695e-01,2.974157e-01,5.812057e-01
9.570944e-01,9.252407e-01,2.437997e+00
