t,v,t_prime
1.939321e+00,2.846144e-01,2.027803e+00
1.527684e+00,4.966167e-01,1.757088e+00
1.836717e+00,2.790628e-02,1.834684e+00
1.145345e+00,4.047940e-01,1.239449e+00
1.327179e+00,4.808580e-01,1.515551e+00
1.945053e+00,5.795607e-01,2.393241e+00
5.354222e-01,7.061419e-02,5.379714e-01
9.010284e-01,2.963270e-01,9.583329e-01
8.291354e-01,5.632380e-01,1.008498e+00
7.634640e-01,7.614211e-01,1.188033e+00
9.184470e-01,4.531616e-01,1.023249e+00
1.299558e+00,8.482279e-01,2.467989e+00
6.913336e-01,6.919706e-01,9.620393e-01
1.510021e+00,9.278051e-01,4.061325e+00
8.700229e-01,7.985563e-01,1.447106e+00
1.529146e+00,8.667091e-01,3.063631e+00
8.353603e-01,3.023389e-01,8.667524e-01
1.643971e+00,6.996509e-01,2.300101e+00
8.805685e-01,4.564919e-01,9.919626e-01
1.320945e+00,4.475120e-01,1.465916e+00
1.389614e+00,3.482992e-02,1.404653e+00
1.126254e+00,8.159898e-01,1.950435e+00
5.436100e-01,4.204201e-01,5.870947e-01
1.852140e+00,9.305820e-01,5.066095e+00
1.171666e+00,6.985765e-01,1.629167e+00
1.719500e+00,3.465053e-01,1.829563e+00
1.163415e+00,3.081010e-01,1.230426e+00
8.220737e-01,7.940001e-01,1.355570e+00
1.292632e+00,6.902983e-01,1.782986e+00
8.294110e-01,4.609723e-01,9.221803e-01
1.019108e+00,2.110653e-01,1.048062e+00
1.182755e+00,7.962527e-01,1.953202e+00
9.462680e-01,8.491190e-01,1.804828e+00
1.377177e+00,9.412007e-01,4.084453e+00
1.242685e+00,2.051376e-01,1.264164e+00
1.577967e+00,4.626049e-01,1.775337e+00
8.422634e-01,5.585106e-01,1.017450e+00
1.343624e+00,8.214240e-01,2.366248e+00
7.982967e-01,3.285430e-01,8.429407e-01
9.221940e-01,9.150341e-03,9.149120e-01
1.865514e+00,6.928807e-01,2.585580e+00
8.156745e-01,6.238371e-01,1.053348e+00
1.045866e+00,6.246467e-01,1.324407e+00
1.556352e+00,7.473796e-02,1.569086e+00
1.800324e+00,4.347391e-01,2.007018e+00
1.792018e+00,7.399896e-01,2.656094e+00
5.988613e-01,8.253494e-01,1.071372e+00
