t,v,t_prime
1.200764e+00,2.226735e-01,1.231688e+00
1.950136e+00,9.040471e-01,4.562438e+00
1.125495e+00,8.577223e-01,2.189196e+00
1.122196e+00,1.977038e-01,1.144793e+00
1.845146e+00,1.567728e-02,1.845373e+00
1.963318e+00,1.466699e-01,1.984782e+00
1.678451e+00,5.927370e-01,2.084007e+00
1.781791e+00,8.604162e-01,3.496505e+00
1.871373e+00,1.775841e-01,1.901598e+00
1.585727e+00,3.140122e-01,1.670208e+00
5.643077e-01,9.433769e-01,1.701142e+00
9.567993e-01,2.393350e-01,9.854391e-01
1.397505e+00,8.002390e-01,2.330414e+00
1.892829e+00,7.681702e-01,2.956409e+00
1.078321e+00,9.997666e-02,1.083751e+00
5.759726e-01,3.073467e-01,6.052691e-01
1.371323e+00,4.645693e-01,1.548578e+00
1.274335e+00,5.423943e-01,1.516841e+00
1.510374e+00,5.207676e-01,1.769212e+00
1.287516e+00,5.294891e-01,1.517731e+00
1.281446e+00,5.919787e-01,1.589975e+00
1.739635e+00,5.244293e-01,2.043134e+00
8.222315e-01,2.022691e-01,8.395858e-01
1.783157e+00,8.328461e-01,3.221577e+00
1.005906e+00,6.320675e-01,1.298089e+00
1.775099e+00,4.334311e-01,1.969735e+00
8.191450e-01,7.960398e-01,1.353412e+00
1.250762e+00,8.184235e-01,2.176693e+00
5.202130e-01,9.058043e-01,1.227797e+00
1.842121e+00,2.353429e-01,1.895357e+00
1.412672e+00,4.699208e-01,1.600383e+00
1.647477e+00,8.729487e-01,3.377279e+00
9.270458e-01,6.610436e-01,1.235489e+00
7.640403e-01,3.967987e-01,8.323734e-01
1.775876e+00,1.345568e-02,1.776037e+00
1.292164e+00,4.290763e-01,1.430543e+00
1.124792e+00,8.463405e-01,2.111721e+00
1.919313e+00,6.773284e-01,2.608894e+00
8.691358e-01,1.594301e-01,8.803967e-01
1.181045e+00,5.146722e-01,1.377494e+00
1.015590e+00,1.195222e-01,1.022923e+00
1.813303e+00,2.884790e-01,1.893816e+00
1.385870e+00,9.355026e-01,3.922425e+00
1.198762e+00,3.584635e-01,1.284099e+00
6.350264e-01,7.155531e-01,9.090528e-01
6.387345e-01,7.616621e-01,9.857402e-01
1.389390e+00,6.929252e-01,1.927006e+00
1.602578e+00,8.685089e-01,3.233131e+00
8.572097e-01,6.343547e-01,1.108878e+00
6.721934e-01,1.602807e-02,6.722798e-01
1.279103e+00,6.736266e-02,1.282015e+00
7.958535e-01,7.667940e-01,1.239853e+00
1.547712e+00,3.372286e-01,1.644013e+00
1.562611e+00,8.558195e-01,3.020854e+00
7.574039e-01,5.020076e-01,8.757500e-01
1.755148e+00,8.152496e-01,3.030770e+00
1.264215e+00,8.770590e-01,2.631684e+00
1.970817e+00,6.105111e-01,2.488381e+00
1.189714e+00,9.098549e-01,2.867289e+00
1.336750e+00,1.963714e-01,1.363294e+00
1.186317e+00,8.532738e-03,1.186360e+00
1.200668e+00,5.629662e-01,1.452750e+00
1.554609e+00,3.011313e-01,1.630282e+00
1.969987e+00,6.302650e-01,2.537401e+00
1.648478e+00,8.188444e-01,2.871835e+00
1.935918e+00,3.917803e-01,2.104125e+00
8.015068e-01,8.383060e-01,1.470115e+00
1.967637e+00,8.955886e-01,4.422818e+00
1.272118e+00,3.618809e-01,1.364605e+00
1.207160e+00,4.371418e-01,1.342195e+00
1.635889e+00,3.310215e-01,1.733625e+00
1.491119e+00,5.740727e-01,1.821093e+00
5.966384e-01,1.103552e-01,6.003049e-01
1.469725e+00,8.184440e-01,2.557883e+00
1.658324e+00,6.160073e-01,2.105165e+00
1.934275e+00,6.820123e-01,2.644834e+00
1.154621e+00,6.066189e-01,1.452367e+00
1.341783e+00,8.360507e-02,1.346497e+00
1.607848e+00,1.907262e-01,1.637914e+00
5.528708e-01,3.862886e-02,5.532838e-01
7.451738e-01,4.431402e-01,8.312476e-01
5.854028e-01,1.560212e-01,5.926607e-01
6.165121e-01,5.441411e-01,7.348233e-01
1.624690e+00,9.457481e-01,5.000574e+00
9.843450e-01,6.979186e-01,1.374444e+00
1.919365e+00,3.175829e-01,2.024155e+00
1.390685e+00,1.440284e-01,1.405338e+00
1.613894e+00,9.112250e-02,1.620636e+00
1.881514e+00,8.648464e-01,3.747763e+00
9.972077e-01,8.077406e-01,1.691507e+00
1.030858e+00,8.562771e-01,1.995788e+00
1.838281e+00,6.251795e-01,2.355317e+00
1.883772e+00,9.322516e-01,5.206512e+00
1.201476e+00,5.634436e-01,1.454299e+00
8.896405e-01,2.019128e-01,9.083494e-01
1.874732e+00,6.195724e-01,2.388377e+00
7.184340e-01,6.736194e-01,9.720673e-01
1.240012e+00,6.572276e-01,1.645250e+00
1.622838e+00,7.528059e-01,2.465410e+00
1.701843e+00,2.530779e-01,1.759109e+00
1.272392e+00,2.377352e-02,1.272752e+00
1.602651e+00,4.157984e-01,1.762207e+00
1.225097e+00,6.153856e-01,1.554245e+00
1.985985e+00,8.489244e-01,3.757676e+00
8.743354e-01,1.274270e-01,8.815216e-01
1.363974e+00,1.169650e-01,1.373401e+00
1.968643e+00,4.885116e-02,1.970996e+00
8.181594e-01,3.259337e-01,8.654175e-01
1.898270e+00,4.116561e-02,1.899881e+00
1.828384e+00,6.788342e-01,2.489998e+00
5.702521e-01,9.171148e-01,1.430554e+00
1.134815e+00,6.186387e-01,1.444382e+00
1.752584e+00,2.021558e-01,1.789532e+00
1.132088e+00,5.361414e-01,1.341133e+00
8.934324e-01,3.926042e-01,9.714310e-01
1.096269e+00,7.013014e-01,1.537836e+00
5.301959e-01,5.133389e-01,6.178100e-01
1.046368e+00,8.144657e-01,1.803425e+00
1.303992e+00,9.291836e-01,3.527942e+00
6.390160e-01,5.753748e-01,7.812983e-01
5.588318e-01,3.069020e-01,5.871678e-01
1.033298e+00,2.307748e-01,1.061963e+00
7.919967e-01,6.272412e-01,1.016912e+00
9.783422e-01,5.717776e-01,1.192506e+00
