# ===== no_noise =====
# q1 q2 r F
3.751656e-04 1.859478e-04 2.690886e-01 8.661299e+03
9.507636e-04 5.423590e-04 2.545090e-01 7.156700e+04
7.322619e-04 8.730729e-04 9.071920e-01 6.983581e+03
5.990598e-04 7.324927e-04 2.570507e-01 5.970290e+04
1.568626e-04 8.067546e-04 2.792302e-01 1.459136e+04
1.568385e-04 6.591246e-04 7.618043e-01 1.601375e+03
5.902553e-05 6.925843e-04 4.552424e-01 1.773318e+03
8.663100e-04 8.493465e-04 7.789435e-01 1.090200e+04
6.015139e-04 2.504183e-04 7.471250e-02 2.425968e+05
7.083645e-04 4.899355e-04 4.926955e-01 1.285282e+04
2.156391e-05 2.219882e-04 4.327746e-02 2.297701e+04
9.699399e-04 9.876803e-04 7.202667e-02 1.660100e+06
8.326102e-04 9.441153e-04 9.073731e-01 8.583307e+03
2.131268e-04 4.038738e-05 1.478529e-01 3.539840e+03
1.826431e-04 7.058696e-04 5.370965e-01 4.017750e+03
1.842211e-04 9.253231e-04 4.169846e-01 8.813580e+03
3.049380e-04 1.813948e-04 3.538699e-01 3.971081e+03
5.252317e-04 5.683773e-04 9.008350e-01 3.307172e+03
4.325131e-04 9.155728e-04 3.160516e-02 3.563984e+06
2.919379e-04 3.491203e-05 6.671518e-01 2.058619e+02
6.122410e-04 6.977228e-04 9.637605e-01 4.134537e+03
1.403544e-04 2.980517e-04 5.645665e-01 1.179905e+03
2.928525e-04 9.244718e-04 9.374542e-01 2.769505e+03
3.669955e-04 9.710872e-04 6.173530e-02 8.406428e+05
4.566139e-04 9.443222e-04 4.246054e-01 2.150097e+04
7.853908e-04 4.747400e-04 2.675562e-01 4.682429e+04
2.004741e-04 8.621806e-04 7.335128e-01 2.888025e+03
5.147202e-04 8.447048e-04 9.814841e-01 4.057601e+03
5.928222e-04 3.197814e-04 2.639648e-01 2.445938e+04
4.740396e-05 8.290866e-04 6.576329e-01 8.169721e+02
6.079373e-04 3.797063e-05 2.061167e-01 4.884725e+03
