# q1 q2 r F
4.176050e-04 3.264842e-04 5.812081e-01 3.628476e+03
7.206042e-04 8.899375e-04 8.766349e-01 7.502025e+03
1.114260e-06 7.519560e-04 6.124798e-01 2.007961e+01
3.030302e-04 7.628695e-04 2.591430e-01 3.094689e+04
1.476091e-04 4.700095e-04 3.031686e-01 6.785957e+03
9.324626e-05 2.115537e-04 5.375933e-01 6.136264e+02
1.870740e-04 4.243360e-05 9.624574e-01 7.704064e+01
3.462152e-04 3.225070e-04 1.926506e-01 2.704606e+04
3.973707e-04 3.807555e-05 5.147994e-01 5.132461e+02
5.392779e-04 6.941616e-04 3.503502e-01 2.741752e+04
4.197753e-04 6.706797e-04 7.720281e-01 4.246445e+03
6.855343e-04 4.310413e-04 8.048378e-01 4.101012e+03
2.052478e-04 7.680212e-04 4.303143e-01 7.653143e+03
8.782393e-04 5.364725e-04 2.120813e-01 9.417061e+04
2.836021e-05 4.082007e-05 7.641857e-02 1.782153e+03
6.707970e-04 1.356583e-04 2.066618e-01 1.915477e+04
4.178875e-04 1.942230e-04 2.796768e-01 9.328390e+03
5.591311e-04 3.363281e-04 6.028010e-01 4.652524e+03
1.412466e-04 5.326063e-05 8.743527e-01 8.846482e+01
1.989034e-04 6.055117e-04 1.369486e-01 5.773099e+04
8.009438e-04 5.125490e-04 9.586069e-01 4.016207e+03
9.682933e-04 6.178436e-04 6.863391e-01 1.141741e+04
3.141108e-04 4.329232e-04 7.445446e-01 2.205322e+03
6.926303e-04 8.478528e-04 9.830520e-01 5.462968e+03
8.765128e-04 4.546050e-04 4.219398e-01 2.012108e+04
8.947121e-04 1.638812e-05 5.362676e-01 4.583623e+02
8.595917e-05 8.731951e-04 6.824208e-01 1.448967e+03
4.001573e-05 6.565453e-04 5.177464e-01 8.810914e+02
1.706606e-04 8.231800e-04 3.061212e-01 1.347724e+04
8.782644e-04 9.518239e-04 1.143308e-01 5.749299e+05
9.924849e-05 5.186147e-05 2.920828e-01 5.423959e+02
4.216865e-04 2.358368e-04 7.711643e-01 1.503374e+03
9.579316e-04 6.428010e-05 6.443749e-01 1.333195e+03
5.336321e-04 4.222362e-04 8.033174e-01 3.138938e+03
6.921852e-04 8.639653e-04 5.219493e-01 1.973430e+04
3.162001e-04 8.254236e-05 2.397790e-01 4.081090e+03
6.868144e-04 4.736388e-04 6.316823e-01 7.329072e+03
8.347910e-04 1.264176e-04 3.109654e-01 9.811167e+03
1.926999e-05 7.731127e-04 3.923346e-02 8.701033e+04
7.503942e-04 8.415807e-04 9.042979e-01 6.942596e+03
9.888722e-04 4.424765e-05 4.261659e-01 2.165872e+03
7.484175e-04 4.869543e-04 4.318695e-01 1.756656e+04
2.811635e-04 2.401716e-04 7.438392e-01 1.097191e+03
7.894900e-04 9.525213e-04 9.489738e-01 7.507107e+03
1.041228e-04 9.439487e-04 8.179037e-02 1.320838e+05
4.484456e-04 6.143201e-04 1.809741e-01 7.561909e+04
9.086869e-04 9.735139e-04 3.291339e-01 7.341264e+04
2.943205e-04 3.455165e-04 2.559400e-01 1.395638e+04
2.884876e-04 8.979529e-04 5.005400e-01 9.295285e+03
1.308985e-04 4.351604e-04 8.262150e-01 7.501665e+02
2.034759e-05 2.365788e-04 8.554327e-01 5.913939e+01
6.791567e-04 9.408871e-04 5.998716e-01 1.596432e+04
2.124165e-04 6.845338e-04 2.477720e-01 2.129308e+04
2.662811e-04 6.584667e-05 1.946278e-01 4.161255e+03
4.920816e-04 8.705544e-04 7.459566e-01 6.920948e+03
