law,noise,GPLearn,MLP_Dropout,MLP_Sparse,MLP_Standard,Polynomial,PySINDy,PySR,QLattice
boltzmann_entropy_high,noise,log(omega),Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.0001046*omega**5 - 0.003543*omega**4 + 0.04762*omega**3 - 0.3294*omega**2 + 1.366*omega - 1.052,2.313e-01*omega + 2.220e+00*(1/omega) + -2.885e+00*(1/omega^2),log(omega),1.006*log(0.2613*omega + 0.00219) + 1.342
boltzmann_entropy_low,noise,log(omega),Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.0001166*omega**5 - 0.003842*omega**4 + 0.05033*omega**3 - 0.3406*omega**2 + 1.387*omega - 1.068,1.738e+00*1 + 8.819e-02*omega + -3.126e+00*(1/omega) + 1.351e+00*(1/omega^2),log(omega),1.001*log(0.2768*omega - 0.0002012) + 1.284
boltzmann_entropy_no,noise,log(omega),Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.0001172*omega**5 - 0.003861*omega**4 + 0.05056*omega**3 - 0.342*omega**2 + 1.39*omega - 1.071,1.737e+00*1 + 8.828e-02*omega + -3.121e+00*(1/omega) + 1.346e+00*(1/omega^2),log(omega),1.0*log(0.408*omega - 9.859e-7) + 0.8966
coulomb_high,noise,q1*q2/r**2,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),-0.04889*q1**5 - 0.09459*q1**4*q2 + 0.09742*q1**4*r + 0.1753*q1**4 + 0.009172*q1**3*q2**2 - 0.007483*q1**3*q2*r + 0.3866*q1**3*q2 - 0.05592*q1**3*r**2 - 0.2045*q1**3*r - 0.3246*q1**3 - 0.01189*q1**2*q2**3 + 0.03733*q1**2*q2**2*r - 0.08743*q1**2*q2**2 + 0.002345*q1**2*q2*r**2 - 0.08075*q1**2*q2*r - 0.3261*q1**2*q2 + 0.0268*q1**2*r**3 - 0.004982*q1**2*r**2 + 0.3376*q1**2*r + 0.1916*q1**2 - 0.0533*q1*q2**4 + 0.03605*q1*q2**3*r + 0.191*q1*q2**3 + 0.001443*q1*q2**2*r**2 - 0.1996*q1*q2**2*r + 0.03462*q1*q2**2 - 0.7578*q1*q2*r**3 + 4.873*q1*q2*r**2 - 9.964*q1*q2*r + 7.111*q1*q2 + 0.6892*q1*r**4 - 4.897*q1*r**3 + 12.0*q1*r**2 - 12.11*q1*r + 3.98*q1 - 0.02137*q2**5 + 0.08475*q2**4*r + 0.00692*q2**4 - 0.0557*q2**3*r**2 - 0.2137*q2**3*r + 0.1477*q2**3 - 0.04339*q2**2*r**3 + 0.4307*q2**2*r**2 - 0.3653*q2**2*r - 0.04909*q2**2 + 0.7014*q2*r**4 - 4.834*q2*r**3 + 11.29*q2*r**2 - 10.72*q2*r + 3.512*q2 - 0.5859*r**5 + 4.386*r**4 - 11.73*r**3 + 13.5*r**2 - 6.225*r + 0.7821,-9.682e-01*1 + 2.919e-01*q1 + 7.738e-02*q2 + 4.239e-01*r + 1.634e-01*q1^2 + 1.583e+00*q1 q2 + -6.145e-02*q1 r + 3.806e-01*q2^2 + -2.046e-02*q2 r + 9.131e-01*r^2 + 1.576e+00*q1^2 q2 + -7.795e-01*q1^2 r + 2.006e+00*q1 q2^2 + -5.268e+00*q1 q2 r + 1.159e+00*q1 r^2 + -1.352e+00*q2^2 r + 1.576e+00*q2 r^2 + -9.822e-01*r^3 + -9.944e-02*q1^4 + 2.331e-01*q1^3 r + -7.243e-01*q1^2 q2^2 + -1.307e-01*q1 q2^3 + 1.247e+00*q1 q2 r^2 + -3.153e-01*q1 r^3 + 3.746e-01*q2^2 r^2 + -5.290e-01*q2 r^3 + 2.290e-01*r^4 + -1.345e+00*(1/r) + 1.203e+00*(1/r^2),q1*q2/(r**2),-0.01754 + 2.861*(0.8354*q1 + 0.002987)*(-0.3764*q2 - 0.00361)/((0.2168 - 1.1*r)*(0.7126*r + 0.3177))
coulomb_low,noise,q1*q2/r**2,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),-0.03695*q1**5 - 0.07018*q1**4*q2 + 0.08235*q1**4*r + 0.09222*q1**4 - 0.01631*q1**3*q2**2 + 0.05734*q1**3*q2*r + 0.2018*q1**3*q2 - 0.05828*q1**3*r**2 - 0.1706*q1**3*r - 0.04353*q1**3 - 0.01532*q1**2*q2**3 + 0.0293*q1**2*q2**2*r + 0.03724*q1**2*q2**2 - 0.03729*q1**2*q2*r**2 - 0.1088*q1**2*q2*r - 0.1409*q1**2*q2 + 0.03062*q1**2*r**3 + 0.04987*q1**2*r**2 + 0.1099*q1**2*r - 0.03707*q1**2 - 0.03131*q1*q2**4 - 0.004138*q1*q2**3*r + 0.1669*q1*q2**3 - 0.005154*q1*q2**2*r**2 - 0.03803*q1*q2**2*r - 0.2073*q1*q2**2 - 0.7544*q1*q2*r**3 + 4.924*q1*q2*r**2 - 10.17*q1*q2*r + 7.3*q1*q2 + 0.6734*q1*r**4 - 4.788*q1*r**3 + 11.63*q1*r**2 - 11.45*q1*r + 3.763*q1 - 0.0328*q2**5 - 0.008441*q2**4*r + 0.2141*q2**4 - 0.001185*q2**3*r**2 + 0.04378*q2**3*r - 0.5273*q2**3 - 0.02393*q2**2*r**3 + 0.1587*q2**2*r**2 - 0.3481*q2**2*r + 0.7105*q2**2 + 0.6864*q2*r**4 - 4.785*q2*r**3 + 11.48*q2*r**2 - 11.01*q2*r + 3.285*q2 - 0.5829*r**5 + 4.385*r**4 - 11.79*r**3 + 13.65*r**2 - 6.367*r + 0.8578,-1.036e+00*1 + 6.672e-01*q1 + 2.836e-01*q2 + 4.037e-01*r + 1.870e-01*q1^2 + 1.753e+00*q1 q2 + -3.034e-01*q1 r + -3.204e-02*q2 r + 9.507e-01*r^2 + -8.273e-01*q1^3 + 2.421e+00*q1^2 q2 + -3.238e-01*q1^2 r + 1.448e+00*q1 q2^2 + -5.384e+00*q1 q2 r + 1.059e+00*q1 r^2 + 2.033e-01*q2^3 + -1.281e+00*q2^2 r + 1.558e+00*q2 r^2 + -9.654e-01*r^3 + 2.923e-01*q1^4 + -5.161e-01*q1^3 q2 + 7.907e-02*q1^3 r + -4.000e-01*q1^2 q2^2 + 5.714e-02*q1^2 q2 r + -1.862e-01*q1 q2^3 + 1.245e+00*q1 q2 r^2 + -2.929e-01*q1 r^3 + 3.533e-01*q2^2 r^2 + -5.171e-01*q2 r^3 + 2.209e-01*r^4 + -1.407e+00*(1/r) + 1.218e+00*(1/r^2),q1*q2/(r**2),2.086*(0.3505*q1 + 0.001896)*(-1.717*q2 - 0.00349)/log(exp(-2.0*(0.03469*q1 - 0.05535)**2 - 2.0*(0.7927*r + 0.001318)**2)) - 0.0005702
coulomb_no,noise,q1*q2/r**2,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),-0.0382*q1**5 - 0.07292*q1**4*q2 + 0.08007*q1**4*r + 0.1037*q1**4 - 0.02001*q1**3*q2**2 + 0.05794*q1**3*q2*r + 0.218*q1**3*q2 - 0.05532*q1**3*r**2 - 0.1694*q1**3*r - 0.07443*q1**3 - 0.01571*q1**2*q2**3 + 0.03159*q1**2*q2**2*r + 0.04768*q1**2*q2**2 - 0.03447*q1**2*q2*r**2 - 0.1255*q1**2*q2*r - 0.159*q1**2*q2 + 0.03163*q1**2*r**3 + 0.03227*q1**2*r**2 + 0.1446*q1**2*r - 0.02159*q1**2 - 0.02047*q1*q2**4 - 0.004118*q1*q2**3*r + 0.1226*q1*q2**3 - 0.002232*q1*q2**2*r**2 - 0.0537*q1*q2**2*r - 0.1445*q1*q2**2 - 0.753*q1*q2*r**3 + 4.904*q1*q2*r**2 - 10.1*q1*q2*r + 7.243*q1*q2 + 0.6759*q1*r**4 - 4.808*q1*r**3 + 11.69*q1*r**2 - 11.56*q1*r + 3.804*q1 - 0.02988*q2**5 - 0.003646*q2**4*r + 0.1787*q2**4 - 0.003255*q2**3*r**2 + 0.03091*q2**3*r - 0.4193*q2**3 - 0.02286*q2**2*r**3 + 0.1575*q2**2*r**2 - 0.3245*q2**2*r + 0.577*q2**2 + 0.6864*q2*r**4 - 4.788*q2*r**3 + 11.5*q2*r**2 - 11.06*q2*r + 3.369*q2 - 0.5815*r**5 + 4.37*r**4 - 11.73*r**3 + 13.54*r**2 - 6.266*r + 0.8159,-1.037e+00*1 + 6.685e-01*q1 + 2.824e-01*q2 + 4.028e-01*r + 1.877e-01*q1^2 + 1.753e+00*q1 q2 + -3.029e-01*q1 r + -3.206e-02*q2 r + 9.503e-01*r^2 + -8.274e-01*q1^3 + 2.422e+00*q1^2 q2 + -3.256e-01*q1^2 r + 1.445e+00*q1 q2^2 + -5.381e+00*q1 q2 r + 1.059e+00*q1 r^2 + 2.046e-01*q2^3 + -1.283e+00*q2^2 r + 1.559e+00*q2 r^2 + -9.644e-01*r^3 + 2.918e-01*q1^4 + -5.169e-01*q1^3 q2 + 8.031e-02*q1^3 r + -3.981e-01*q1^2 q2^2 + 5.629e-02*q1^2 q2 r + -1.866e-01*q1 q2^3 + 1.244e+00*q1 q2 r^2 + -2.929e-01*q1 r^3 + 3.539e-01*q2^2 r^2 + -5.174e-01*q2 r^3 + 2.207e-01*r^4 + -1.407e+00*(1/r) + 1.218e+00*(1/r^2),q1*q2/(r**2),2.042*(-0.3664 + 0.9505/(0.4956*r - 0.1376))*(0.002036 - 0.866*q1)*(0.21*q2 - 0.000818)*(0.3189*r - 1.517) + 0.01629
ideal_gas_high,noise,T*n/V,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.04708*T**5 + 0.04781*T**4*V + 0.2425*T**4*n - 0.593*T**4 + 0.1472*T**3*V**2 - 0.1126*T**3*V*n - 0.4358*T**3*V + 0.1026*T**3*n**2 - 1.344*T**3*n + 2.35*T**3 + 0.161*T**2*V**3 + 0.02838*T**2*V**2*n - 1.173*T**2*V**2 - 0.05046*T**2*V*n**2 + 0.4331*T**2*V*n + 1.875*T**2*V - 0.2394*T**2*n**3 + 0.6142*T**2*n**2 + 1.426*T**2*n - 3.828*T**2 + 0.6973*T*V**4 - 0.7056*T*V**3*n - 3.785*T*V**3 - 0.01687*T*V**2*n**2 + 3.306*T*V**2*n + 8.03*T*V**2 + 0.1002*T*V*n**3 - 0.2197*T*V*n**2 - 5.775*T*V*n - 7.334*T*V - 0.2562*T*n**4 + 1.78*T*n**3 - 3.942*T*n**2 + 6.086*T*n + 3.398*T - 0.6253*V**5 + 0.6732*V**4*n + 3.037*V**4 - 0.02659*V**3*n**2 - 3.26*V**3*n - 4.977*V**3 + 0.1023*V**2*n**3 - 0.266*V**2*n**2 + 6.106*V**2*n + 2.367*V**2 - 0.1319*V*n**4 + 0.166*V*n**3 + 0.4731*V*n**2 - 5.22*V*n + 1.191*V + 0.1518*n**5 - 0.5023*n**4 + 0.0839*n**3 + 1.205*n**2 + 0.1875*n - 0.8059,4.225e-02*1 + 4.059e-01*n + 1.887e-01*T + 6.093e-01*V + 3.542e-01*n^2 + 5.153e-01*n T + -7.840e-02*n V + 3.448e-01*T^2 + -1.557e-01*T V + -5.696e-02*n^3 + 4.240e-01*n^2 T + -6.509e-01*n^2 V + 4.696e-01*n T^2 + -4.804e-01*n T V + -2.732e-01*n V^2 + -4.192e-01*T^2 V + -3.483e-01*T V^2 + 2.784e-01*V^3 + -2.304e-03*n^4 + -3.098e-03*n^3 T + 5.937e-02*n^2 T^2 + -4.233e-01*n^2 T V + 4.728e-01*n^2 V^2 + -5.438e-02*n T^3 + -3.559e-01*n T^2 V + 6.483e-01*n T V^2 + -2.144e-01*n V^3 + -7.525e-02*T^3 V + 4.471e-01*T^2 V^2 + -1.873e-01*T V^3 + -3.350e-02*V^4 + -3.565e-01*(1/n) + -4.815e-02*(1/T) + -4.286e-01*(1/V) + 7.825e-02*(1/n^2) + -4.475e-02*(1/T^2) + 3.510e-01*(1/V^2),T*n/V,-1.513*(0.4255*V - 2.057)*(4.187*n + 0.02365)*exp(-2.0*(1.034 - 0.4076*T)**2 - 2.0*tanh(1.033*V + 0.3758)**2) - 0.003292
ideal_gas_low,noise,T*n/V,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.03444*T**5 - 0.01838*T**4*V + 0.0205*T**4*n - 0.2105*T**4 + 0.00171*T**3*V**2 + 0.003067*T**3*V*n + 0.07995*T**3*V - 0.001242*T**3*n**2 - 0.104*T**3*n + 0.5036*T**3 + 0.01168*T**2*V**3 - 0.01144*T**2*V**2*n - 0.03136*T**2*V**2 - 0.0001486*T**2*V*n**2 + 0.01132*T**2*V*n - 0.1112*T**2*V - 0.01685*T**2*n**3 + 0.05925*T**2*n**2 + 0.1271*T**2*n - 0.5719*T**2 + 0.7506*T*V**4 - 0.6699*T*V**3*n - 3.772*T*V**3 + 0.009763*T*V**2*n**2 + 3.261*T*V**2*n + 6.712*T*V**2 + 0.01758*T*V*n**3 - 0.0902*T*V*n**2 - 5.51*T*V*n - 4.902*T*V - 0.02379*T*n**4 + 0.1343*T*n**3 - 0.2375*T*n**2 + 4.023*T*n + 1.57*T - 0.82*V**5 + 0.7228*V**4*n + 4.196*V**4 + 0.02154*V**3*n**2 - 3.646*V**3*n - 7.63*V**3 + 0.01228*V**2*n**3 - 0.1419*V**2*n**2 + 6.621*V**2*n + 5.727*V**2 + 0.007836*V*n**4 - 0.08987*V*n**3 + 0.3904*V*n**2 - 5.244*V*n - 1.37*V - 6.333e-5*n**5 + 0.01987*n**4 - 0.07377*n**3 + 0.01804*n**2 + 1.366*n - 0.1333,-9.143e-03*1 + 3.459e-01*n + 2.911e-01*T + 4.387e-01*V + 4.221e-01*n^2 + 4.709e-01*n T + -1.555e-01*n V + 4.263e-01*T^2 + -1.787e-01*T V + 4.623e-01*V^2 + -1.429e-01*n^3 + 4.272e-01*n^2 T + -3.464e-01*n^2 V + 4.931e-01*n T^2 + -6.259e-01*n T V + -4.214e-01*n V^2 + -1.393e-01*T^3 + -2.871e-01*T^2 V + -4.635e-01*T V^2 + 5.187e-02*V^3 + 7.212e-02*n^3 T + -2.629e-02*n^3 V + -6.266e-02*n^2 T^2 + -4.270e-01*n^2 T V + 3.883e-01*n^2 V^2 + 4.924e-02*n T^3 + -4.089e-01*n T^2 V + 7.633e-01*n T V^2 + -1.603e-01*n V^3 + -3.987e-02*T^3 V + 3.813e-01*T^2 V^2 + -1.470e-01*T V^3 + -7.612e-04*V^4 + -2.855e-01*(1/n) + -1.663e-01*(1/T) + -3.941e-01*(1/V) + 4.767e-02*(1/n^2) + 3.521e-01*(1/V^2),T*n/V,-2.466*(0.003451 - 0.1432*T)*(0.01855 - 0.8373*n)/log((0.4792 - 0.05284*V)*(2.062 - 0.3046*V)) + 0.0341
ideal_gas_no,noise,T*n/V,Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),0.009562*T**5 - 0.0006943*T**4*V + 0.008799*T**4*n - 0.06858*T**4 - 0.004374*T**3*V**2 - 0.0002319*T**3*V*n + 0.01157*T**3*V - 0.01408*T**3*n**2 - 0.00914*T**3*n + 0.1667*T**3 + 0.007747*T**2*V**3 - 0.003323*T**2*V**2*n - 0.009598*T**2*V**2 + 0.01793*T**2*V*n**2 - 0.03999*T**2*V*n + 0.01894*T**2*V - 0.01398*T**2*n**3 + 0.07995*T**2*n**2 - 0.04805*T**2*n - 0.193*T**2 + 0.7436*T*V**4 - 0.6626*T*V**3*n - 3.731*T*V**3 - 0.005874*T*V**2*n**2 + 3.251*T*V**2*n + 6.621*T*V**2 + 0.01239*T*V*n**3 - 0.07678*T*V*n**2 - 5.451*T*V*n - 4.967*T*V - 0.01322*T*n**4 + 0.08495*T*n**3 - 0.1952*T*n**2 + 4.12*T*n + 1.373*T - 0.8165*V**5 + 0.7305*V**4*n + 4.178*V**4 + 0.006936*V**3*n**2 - 3.665*V**3*n - 7.609*V**3 - 0.01173*V**2*n**3 + 0.02709*V**2*n**2 + 6.457*V**2*n + 5.808*V**2 + 0.007399*V*n**4 - 0.02193*V*n**3 + 0.04261*V*n**2 - 4.848*V*n - 1.512*V - 0.001043*n**5 + 0.01334*n**4 - 0.06673*n**3 + 0.1309*n**2 + 1.153*n - 0.01961,-5.103e-03*1 + 5.501e-01*n + 3.656e-01*T + 4.986e-01*V + 5.764e-01*n T + -3.280e-02*n V + 5.287e-01*T^2 + -1.794e-01*T V + 4.945e-01*V^2 + 8.199e-02*n^3 + 3.157e-01*n^2 T + -4.306e-01*n^2 V + 6.117e-01*n T^2 + -7.953e-01*n T V + -3.337e-01*n V^2 + -2.766e-01*T^3 + -2.605e-01*T^2 V + -5.365e-01*T V^2 + -6.580e-03*V^3 + 1.150e-02*n^4 + -6.317e-03*n^3 T + -1.222e-01*n^3 V + -1.123e-01*n^2 T^2 + 3.596e-01*n^2 V^2 + 1.138e-01*n T^3 + -5.907e-01*n T^2 V + 5.930e-01*n T V^2 + -1.093e-01*n V^3 + 1.703e-02*T^3 V + 3.806e-01*T^2 V^2 + -6.815e-02*T V^3 + -1.524e-02*V^4 + -5.506e-01*(1/n) + -1.259e-01*(1/T) + -4.568e-01*(1/V) + 1.312e-01*(1/n^2) + 3.799e-01*(1/V^2),T*n/V,-0.7828*(4.93*T + 0.0003735)*(-0.5844*n - 4.202e-5)/(2.255*V + 5.106e-5) - 4.867e-5
kepler_high,noise,r**(3/2),Red Neuronal (dropout),Red Neuronal (sparse),Red Neuronal (standard),-0.006829*r**5 + 0.07283*r**4 - 0.3143*r**3 + 0.9476*r**2 + 0.3077*r - 0.006732,-5.532e-02*1 + 5.813e-01*r + 5.171e-01*r^2 + -4.286e-02*r^3,r**1.5005707,2.328*sqrt(0.2723*r - 0.02623)*(0.8264*r + 0.04165) + 0.01473
