law,best_model,accuracy,avg_mse
boltzmann_entropy_high,GPLearn,1.0,0.00350122
boltzmann_entropy_low,GPLearn,1.0,3.476571e-05
boltzmann_entropy_no,GPLearn,1.0,7.951219e-14
coulomb_high,GPLearn,1.0,0.01723759
coulomb_low,GPLearn,1.0,0.0001761262
coulomb_no,GPLearn,1.0,3.014598e-13
ideal_gas_high,GPLearn,1.0,0.009726382
ideal_gas_low,GPLearn,1.0,9.351741e-05
ideal_gas_no,GPLearn,1.0,3.208209e-13
kepler_high,Polynomial,1.0,0.02234709
kepler_low,PySR,1.0,0.0002316103
kepler_no,GPLearn,1.0,3.414882e-13
newton_cooling_high,QLattice,1.0,0.0009426952
newton_cooling_low,PySR,1.0,8.758667e-06
newton_cooling_no,PySR,1.0,8.778045e-14
oscillator_high,PySINDy,1.0,0.01404889
oscillator_low,PySINDy,1.0,0.0001418553
oscillator_no,PySR,1.0,0.0
projectile_range_high,PySR,0.0,0.04785482
projectile_range_low,PySR,1.0,0.0004708257
projectile_range_no,PySR,1.0,2.139891e-12
radioactive_decay_high,PySR,0.0,0.0008603765
radioactive_decay_low,PySR,0.0,8.554274e-06
radioactive_decay_no,PySR,0.0,4.699228e-15
time_dilation_high,QLattice,0.0,0.006882008
time_dilation_low,MLP_Standard,0.0,0.0001147129
time_dilation_no,MLP_Standard,0.0,3.003025e-05
