experiment,dataset,model,equation,mse,mae,law,noise,is_correct
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,GPLearn,log(omega),0.00350122,0.04695527,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,MLP_Dropout,Red Neuronal (dropout),0.003877594,0.04951394,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,MLP_Sparse,Red Neuronal (sparse),0.003521582,0.04707513,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,MLP_Standard,Red Neuronal (standard),0.003533355,0.0472401,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,Polynomial,0.0001046*omega**5 - 0.003543*omega**4 + 0.04762*omega**3 - 0.3294*omega**2 + 1.366*omega - 1.052,0.003527906,0.04715732,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,PySINDy,2.313e-01*omega + 2.220e+00*(1/omega) + -2.885e+00*(1/omega^2),0.01470192,0.1003062,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,PySR,log(omega),0.00350122,0.04695527,boltzmann_entropy_high,noise,False
boltzmann_entropy_high_noise,boltzmann_entropy_high_noise,QLattice,1.006*log(0.2613*omega + 0.00219) + 1.342,0.003519045,0.04712125,boltzmann_entropy_high,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,GPLearn,log(omega),3.476571e-05,0.004665505,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,MLP_Dropout,Red Neuronal (dropout),0.0002630258,0.01180047,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,MLP_Sparse,Red Neuronal (sparse),4.599625e-05,0.005397962,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,MLP_Standard,Red Neuronal (standard),5.470066e-05,0.005886977,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,Polynomial,0.0001166*omega**5 - 0.003842*omega**4 + 0.05033*omega**3 - 0.3406*omega**2 + 1.387*omega - 1.068,4.959034e-05,0.005578139,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,PySINDy,1.738e+00*1 + 8.819e-02*omega + -3.126e+00*(1/omega) + 1.351e+00*(1/omega^2),0.0001230401,0.009089567,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,PySR,log(omega),3.476571e-05,0.004665505,boltzmann_entropy_low,noise,False
boltzmann_entropy_low_noise,boltzmann_entropy_low_noise,QLattice,1.001*log(0.2768*omega - 0.0002012) + 1.284,3.56345e-05,0.004740698,boltzmann_entropy_low,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,GPLearn,log(omega),7.951219e-14,2.304552e-07,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,MLP_Dropout,Red Neuronal (dropout),0.0003679575,0.01406232,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,MLP_Sparse,Red Neuronal (sparse),9.19494e-06,0.001976804,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,MLP_Standard,Red Neuronal (standard),9.665191e-07,0.0007891712,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,Polynomial,0.0001172*omega**5 - 0.003861*omega**4 + 0.05056*omega**3 - 0.342*omega**2 + 1.39*omega - 1.071,1.489537e-05,0.003077572,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,PySINDy,1.737e+00*1 + 8.828e-02*omega + -3.121e+00*(1/omega) + 1.346e+00*(1/omega^2),8.554225e-05,0.007883254,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,PySR,log(omega),7.951219e-14,2.304552e-07,boltzmann_entropy_no,noise,False
boltzmann_entropy_no_noise,boltzmann_entropy_no_noise,QLattice,1.0*log(0.408*omega - 9.859e-7) + 0.8966,1.080149e-12,8.244233e-07,boltzmann_entropy_no,noise,False
coulomb_high_noise,coulomb_high_noise,GPLearn,q1*q2/r**2,0.01723759,0.1055551,coulomb_high,noise,False
coulomb_high_noise,coulomb_high_noise,MLP_Dropout,Red Neuronal (dropout),0.04283192,0.1434655,coulomb_high,noise,False
coulomb_high_noise,coulomb_high_noise,MLP_Sparse,Red Neuronal (sparse),0.01867869,0.1100217,coulomb_high,noise,False
coulomb_high_noise,coulomb_high_noise,MLP_Standard,Red Neuronal (standard),0.01890766,0.110484,coulomb_high,noise,False
coulomb_high_noise,coulomb_high_noise,Polynomial,-0.04889*q1**5 - 0.09459*q1**4*q2 + 0.09742*q1**4*r + 0.1753*q1**4 + 0.009172*q1**3*q2**2 - 0.007483*q1**3*q2*r + 0.3866*q1**3*q2 - 0.05592*q1**3*r**2 - 0.2045*q1**3*r - 0.3246*q1**3 - 0.01189*q1**2*q2**3 + 0.03733*q1**2*q2**2*r - 0.08743*q1**2*q2**2 + 0.002345*q1**2*q2*r**2 - 0.08075*q1**2*q2*r - 0.3261*q1**2*q2 + 0.0268*q1**2*r**3 - 0.004982*q1**2*r**2 + 0.3376*q1**2*r + 0.1916*q1**2 - 0.0533*q1*q2**4 + 0.03605*q1*q2**3*r + 0.191*q1*q2**3 + 0.001443*q1*q2**2*r**2 - 0.1996*q1*q2**2*r + 0.03462*q1*q2**2 - 0.7578*q1*q2*r**3 + 4.873*q1*q2*r**2 - 9.964*q1*q2*r + 7.111*q1*q2 + 0.6892*q1*r**4 - 4.897*q1*r**3 + 12.0*q1*r**2 - 12.11*q1*r + 3.98*q1 - 0.02137*q2**5 + 0.08475*q2**4*r + 0.00692*q2**4 - 0.0557*q2**3*r**2 - 0.2137*q2**3*r + 0.1477*q2**3 - 0.04339*q2**2*r**3 + 0.4307*q2**2*r**2 - 0.3653*q2**2*r - 0.04909*q2**2 + 0.7014*q2*r**4 - 4.834*q2*r**3 + 11.29*q2*r**2 - 10.72*q2*r + 3.512*q2 - 0.5859*r**5 + 4.386*r**4 - 11.73*r**3 + 13.5*r**2 - 6.225*r + 0.7821,0.02373826,0.12267,coulomb_high,noise,False
