law,noise,GPLearn,MLP_Dropout,MLP_Sparse,MLP_Standard,Polynomial,PySINDy,PySR,QLattice
boltzmann_entropy_high,noise,0.04695527,0.04951394,0.04707513,0.0472401,0.04715732,0.1003062,0.04695527,0.04712125
boltzmann_entropy_low,noise,0.004665505,0.01180047,0.005397962,0.005886977,0.005578139,0.009089567,0.004665505,0.004740698
boltzmann_entropy_no,noise,2.304552e-07,0.01406232,0.001976804,0.0007891712,0.003077572,0.007883254,2.304552e-07,8.244233e-07
coulomb_high,noise,0.1055551,0.1434655,0.1100217,0.110484,0.12267,0.1694834,0.1055551,0.1078069
coulomb_low,noise,0.01071201,0.04245504,0.0168388,0.01358954,0.05521011,0.1236649,0.01071201,0.01245224
coulomb_no,noise,2.418464e-07,0.05241913,0.01479622,0.009683712,0.05459619,0.1234656,2.428893e-07,0.02688219
ideal_gas_high,noise,0.07847146,0.09593596,0.08070891,0.08016484,0.07905652,0.0852362,0.07847146,0.08043393
ideal_gas_low,noise,0.007717455,0.04141923,0.01010003,0.00852992,0.008810921,0.02781116,0.007717455,0.01432392
ideal_gas_no,noise,3.816932e-07,0.03480122,0.005284735,0.003392659,0.003904467,0.02898091,3.816932e-07,9.718479e-05
kepler_high,noise,0.1194249,0.1298944,0.1208216,0.1250388,0.1193654,0.119377,0.1193806,0.1198175
kepler_low,noise,0.01211924,0.03057879,0.01298667,0.01251482,0.01212557,0.01992949,0.01211694,0.01228711
kepler_no,noise,4.037377e-07,0.04372949,0.004443162,0.0009795493,0.0004520796,0.003834538,4.361216e-06,0.0003725082
newton_cooling_high,noise,0.2640848,0.02933495,0.02502338,0.02486407,0.02466276,0.02711809,0.0245316,0.02452546
newton_cooling_low,noise,0.2634656,0.008778685,0.003346397,0.003134043,0.003335655,0.01093222,0.002345431,0.002410736
newton_cooling_no,noise,0.2634821,0.008876773,0.001980121,0.0003942586,0.002285947,0.01070324,2.5177e-07,2.356577e-05
oscillator_high,noise,0.09493871,0.1053884,0.09531507,0.09520726,0.09477136,0.09471713,0.09474811,0.09543719
oscillator_low,noise,0.01084241,0.04790569,0.01135548,0.01017648,0.009565863,0.009543801,0.009551387,0.009659758
oscillator_no,noise,0.005143285,0.02623,0.003788289,4.860235e-05,2.513538e-07,1.203034e-07,0.0,4.329381e-08
projectile_range_high,noise,0.5104397,0.2004715,0.1757006,0.1782292,0.1744396,0.1782157,0.1734911,0.1773883
projectile_range_low,noise,0.4828059,0.08571019,0.02134856,0.01967136,0.0176302,0.02929387,0.01723428,0.03629394
projectile_range_no,noise,0.4832905,0.08906927,0.01097656,0.005030288,0.003613105,0.0230138,9.448528e-07,0.01453277
radioactive_decay_high,noise,0.1889822,0.02597119,0.02407985,0.02431391,0.02390661,0.026016,0.02368821,0.02369325
radioactive_decay_low,noise,0.1882322,0.009288603,0.003025368,0.00276585,0.003276678,0.01074929,0.002335474,0.002351643
radioactive_decay_no,noise,0.1881207,0.01304583,0.002893417,0.0007458903,0.002225346,0.01037745,4.972634e-08,1.016974e-06
time_dilation_high,noise,0.3222452,0.07287658,0.06655664,0.06700521,0.0709329,0.09353236,0.07476669,0.06600908
time_dilation_low,noise,0.3185791,0.02906412,0.007910104,0.007823712,0.0258296,0.06533493,0.008868076,0.01126889
time_dilation_no,noise,0.3186265,0.02779884,0.003306028,0.003258578,0.02522876,0.06544147,0.006946746,0.009454462
