law,noise,GPLearn,MLP_Dropout,MLP_Sparse,MLP_Standard,Polynomial,PySINDy,PySR,QLattice
boltzmann_entropy_high,noise,0.00350122,0.003877594,0.003521582,0.003533355,0.003527906,0.01470192,0.00350122,0.003519045
boltzmann_entropy_low,noise,3.476571e-05,0.0002630258,4.599625e-05,5.470066e-05,4.959034e-05,0.0001230401,3.476571e-05,3.56345e-05
boltzmann_entropy_no,noise,7.951219e-14,0.0003679575,9.19494e-06,9.665191e-07,1.489537e-05,8.554225e-05,7.951219e-14,1.080149e-12
coulomb_high,noise,0.01723759,0.04283192,0.01867869,0.01890766,0.02373826,0.05411159,0.01723759,0.0179822
coulomb_low,noise,0.0001761262,0.006702824,0.0007108683,0.0003206062,0.006639366,0.03805858,0.0001761262,0.0002721826
coulomb_no,noise,3.014598e-13,0.008971047,0.0007156291,0.0002025031,0.006539311,0.03790457,3.137158e-13,0.001424018
ideal_gas_high,noise,0.009726382,0.01589605,0.01031802,0.01008925,0.009826588,0.01151356,0.009726382,0.01021744
ideal_gas_low,noise,9.351741e-05,0.003054739,0.0002123472,0.0001130706,0.0001267367,0.001687199,9.351741e-05,0.0003417424
ideal_gas_no,noise,3.208209e-13,0.00224518,9.72756e-05,1.810899e-05,3.145443e-05,0.001764268,3.208209e-13,1.236549e-08
kepler_high,noise,0.0223648,0.02629705,0.02285575,0.02449346,0.02234709,0.02235431,0.02235208,0.02257575
kepler_low,noise,0.0002316715,0.001590236,0.0002662615,0.0002476984,0.0002317471,0.0006222392,0.0002316103,0.0002381405
kepler_no,noise,3.414882e-13,0.003737862,3.167199e-05,2.006524e-06,3.451105e-07,2.19889e-05,4.041478e-11,1.803293e-07
newton_cooling_high,noise,0.09207587,0.001363311,0.0009833614,0.0009723534,0.0009550973,0.001175183,0.0009435433,0.0009426952
newton_cooling_low,noise,0.09126583,0.0001382636,1.989343e-05,1.606622e-05,1.828182e-05,0.0002074983,8.758667e-06,9.273525e-06
newton_cooling_no,noise,0.09125555,0.0001411889,9.81516e-06,2.930437e-07,9.547647e-06,0.0002008608,8.778045e-14,6.21663e-10
oscillator_high,noise,0.01407463,0.01704938,0.01416679,0.01413047,0.01407222,0.01404889,0.01407082,0.01427711
oscillator_low,noise,0.0001806799,0.003454445,0.0001993997,0.0001598017,0.0001423222,0.0001418553,0.0001420026,0.0001448049
oscillator_no,noise,3.509155e-05,0.001362232,2.231417e-05,4.087358e-09,8.366254e-14,1.919895e-14,0.0,5.366945e-15
projectile_range_high,noise,0.4920722,0.06307893,0.04886574,0.04995011,0.04807563,0.05042035,0.04785482,0.04980893
projectile_range_low,noise,0.4407423,0.01330617,0.0007806738,0.0006154254,0.0004997684,0.00142856,0.0004708257,0.002446854
projectile_range_no,noise,0.4406606,0.01427921,0.0002788168,5.518334e-05,2.412256e-05,0.000944237,2.139891e-12,0.0003973026
radioactive_decay_high,noise,0.05918394,0.001048597,0.0008880395,0.0009124649,0.0008770627,0.001058669,0.0008603765,0.0008614739
radioactive_decay_low,noise,0.05852967,0.000147527,1.612372e-05,1.190247e-05,1.775642e-05,0.0002054959,8.554274e-06,8.701097e-06
radioactive_decay_no,noise,0.05847866,0.0003116932,1.701075e-05,9.738137e-07,9.206804e-06,0.0001966891,4.699228e-15,1.482705e-12
time_dilation_high,noise,0.1706376,0.00949133,0.007042542,0.007108547,0.008378094,0.01719245,0.008920939,0.006882008
time_dilation_low,noise,0.1641131,0.003167117,0.0001296167,0.0001147129,0.00169923,0.01019125,0.0001246493,0.0002040859
time_dilation_no,noise,0.1640804,0.002217069,5.757415e-05,3.003025e-05,0.001619945,0.01011943,0.000148325,0.0001524273
