omega,S
9.530440e+00,2.265658e+00
7.612016e+00,2.022844e+00
8.815257e+00,2.190131e+00
4.314826e+00,1.485011e+00
1.484618e+00,3.907967e-01
6.884186e+00,2.019850e+00
9.029933e+00,2.108539e+00
3.887013e+00,1.281282e+00
9.494398e+00,2.243924e+00
2.899532e+00,1.078803e+00
1.457546e+00,3.356254e-01
8.141479e+00,2.068784e+00
4.791383e+00,1.573293e+00
4.382194e+00,1.480956e+00
2.672291e+00,9.292919e-01
2.681688e+00,1.048422e+00
3.970229e+00,1.366885e+00
9.640263e+00,2.328785e+00
3.133874e+00,1.101183e+00
8.930929e+00,2.268183e+00
5.594017e+00,1.797386e+00
8.468105e+00,2.265936e+00
5.202308e+00,1.586527e+00
8.397729e+00,2.101647e+00
6.156380e+00,1.899945e+00
8.440531e+00,2.143683e+00
8.516430e+00,2.111049e+00
2.581962e+00,9.498999e-01
7.371095e+00,2.089721e+00
8.495104e+00,2.047789e+00
8.257891e+00,2.134647e+00
2.738935e+00,1.014808e+00
7.947121e+00,2.051683e+00
2.444707e+00,8.884096e-01
9.014055e+00,2.087517e+00
3.801236e+00,1.282621e+00
8.667425e+00,2.175322e+00
1.444388e+00,4.400964e-01
6.466926e+00,1.825916e+00
6.087706e+00,1.792106e+00
8.123280e+00,1.991833e+00
6.565259e+00,1.841299e+00
3.759902e+00,1.272596e+00
6.037915e+00,1.761918e+00
2.867035e+00,1.022651e+00
4.027465e+00,1.335373e+00
7.152451e+00,2.028664e+00
7.736373e+00,2.082111e+00
5.322021e+00,1.569143e+00
5.496209e+00,1.661624e+00
4.390762e+00,1.441854e+00
8.580945e+00,2.179282e+00
1.331773e+00,2.805143e-01
9.635485e+00,2.231665e+00
7.927371e+00,2.050594e+00
5.670457e+00,1.699698e+00
4.890307e+00,1.544367e+00
6.691106e+00,1.838756e+00
4.635587e+00,1.602962e+00
8.010276e+00,2.077274e+00
3.164144e+00,1.142067e+00
3.624850e+00,1.404621e+00
7.161161e+00,1.936042e+00
5.800845e+00,1.773183e+00
9.082785e+00,2.177713e+00
8.400901e+00,2.118039e+00
4.234554e+00,1.392768e+00
8.402243e+00,2.114649e+00
4.128400e+00,1.404515e+00
3.453421e+00,1.171795e+00
8.717627e+00,2.186058e+00
3.485782e+00,1.182868e+00
9.890555e+00,2.290812e+00
4.231313e+00,1.424059e+00
9.198484e+00,2.325046e+00
1.573864e+00,4.630172e-01
8.858399e+00,2.225456e+00
6.859650e+00,1.984890e+00
6.281762e+00,1.746762e+00
2.923120e+00,1.059467e+00
6.445039e+00,1.828845e+00
3.633911e+00,1.259685e+00
3.656324e+00,1.341641e+00
1.762497e+00,6.038169e-01
1.686251e+00,5.493823e-01
7.407877e+00,1.972916e+00
5.482052e+00,1.705807e+00
7.390263e+00,1.954273e+00
7.542547e+00,2.062049e+00
7.483831e+00,1.966629e+00
4.787822e+00,1.561315e+00
1.111087e+00,1.274670e-01
5.370840e+00,1.673829e+00
5.935239e+00,1.756076e+00
8.430808e+00,2.218846e+00
4.651170e+00,1.569281e+00
2.146324e+00,6.309712e-01
8.629483e+00,2.107844e+00
9.397450e+00,2.250661e+00
4.488055e+00,1.517719e+00
3.042556e+00,1.144122e+00
8.631806e+00,2.210913e+00
9.519409e+00,2.262105e+00
4.399981e+00,1.500288e+00
2.694523e+00,1.065416e+00
3.686843e+00,1.480850e+00
5.170014e+00,1.758395e+00
7.215334e+00,1.999100e+00
2.454769e+00,7.956678e-01
4.418456e+00,1.588670e+00
1.683196e+00,5.345366e-01
8.833446e+00,2.240929e+00
1.789821e+00,5.919169e-01
6.524720e+00,1.961326e+00
3.111044e+00,1.169780e+00
3.055376e+00,1.253074e+00
8.306082e+00,2.159647e+00
7.569777e+00,2.020017e+00
8.562082e+00,2.162047e+00
3.691749e+00,1.411858e+00
5.275688e+00,1.635732e+00
7.582983e+00,1.967479e+00
7.767345e+00,2.030477e+00
7.150881e+00,2.004433e+00
6.767487e+00,1.957896e+00
9.534504e+00,2.289435e+00
7.831038e+00,2.041447e+00
2.638919e+00,1.024842e+00
7.597255e+00,2.033121e+00
2.627171e+00,9.664126e-01
2.997156e+00,1.196617e+00
7.121812e+00,1.940565e+00
1.220634e+00,2.323042e-01
6.524303e+00,1.797158e+00
4.567307e+00,1.517211e+00
6.822349e+00,1.874207e+00
1.072711e+00,-1.239561e-01
1.110675e+00,1.000013e-01
9.133367e+00,2.215177e+00
8.403187e+00,2.140777e+00
6.009738e+00,1.835548e+00
1.295102e+00,3.330033e-01
4.938029e+00,1.504690e+00
7.494745e+00,1.887291e+00
5.673592e+00,1.744044e+00
9.147230e+00,2.217638e+00
1.152969e+00,1.198587e-01
