omega,S
9.530440e+00,2.250175e+00
7.612016e+00,2.027194e+00
8.815257e+00,2.166452e+00
4.314826e+00,1.468847e+00
1.484618e+00,3.950212e-01
6.884186e+00,1.918935e+00
9.029933e+00,2.203652e+00
3.887013e+00,1.356778e+00
9.494398e+00,2.245506e+00
2.899532e+00,1.065208e+00
1.457546e+00,3.815726e-01
8.141479e+00,2.097200e+00
4.791383e+00,1.575978e+00
4.382194e+00,1.470558e+00
2.672291e+00,9.687226e-01
2.681688e+00,9.860805e-01
3.970229e+00,1.383582e+00
9.640263e+00,2.266298e+00
3.133874e+00,1.149522e+00
8.930929e+00,2.193060e+00
5.594017e+00,1.718649e+00
8.468105e+00,2.134527e+00
5.202308e+00,1.658303e+00
8.397729e+00,2.130164e+00
6.156380e+00,1.821279e+00
8.440531e+00,2.134015e+00
8.516430e+00,2.139969e+00
2.581962e+00,9.475358e-01
7.371095e+00,1.989901e+00
8.495104e+00,2.145379e+00
8.257891e+00,2.118317e+00
2.738935e+00,1.001715e+00
7.947121e+00,2.063598e+00
2.444707e+00,8.899696e-01
9.014055e+00,2.200415e+00
3.801236e+00,1.336151e+00
8.667425e+00,2.158921e+00
1.444388e+00,3.569783e-01
6.466926e+00,1.863220e+00
6.087706e+00,1.801946e+00
8.123280e+00,2.106476e+00
6.565259e+00,1.886970e+00
3.759902e+00,1.330455e+00
6.037915e+00,1.800517e+00
2.867035e+00,1.057956e+00
4.027465e+00,1.391180e+00
7.152451e+00,1.970480e+00
7.736373e+00,2.047163e+00
5.322021e+00,1.664944e+00
5.496209e+00,1.708355e+00
4.390762e+00,1.482112e+00
8.580945e+00,2.155259e+00
1.331773e+00,2.921173e-01
9.635485e+00,2.271974e+00
7.927371e+00,2.067154e+00
5.670457e+00,1.731625e+00
4.890307e+00,1.601646e+00
6.691106e+00,1.900057e+00
4.635587e+00,1.529403e+00
8.010276e+00,2.076993e+00
3.164144e+00,1.142299e+00
3.624850e+00,1.296175e+00
7.161161e+00,1.964416e+00
5.800845e+00,1.749266e+00
9.082785e+00,2.204785e+00
8.400901e+00,2.130685e+00
4.234554e+00,1.446493e+00
8.402243e+00,2.122970e+00
4.128400e+00,1.410286e+00
3.453421e+00,1.229626e+00
8.717627e+00,2.165984e+00
3.485782e+00,1.243787e+00
9.890555e+00,2.295104e+00
4.231313e+00,1.439124e+00
9.198484e+00,2.217731e+00
1.573864e+00,4.432551e-01
8.858399e+00,2.195411e+00
6.859650e+00,1.928207e+00
6.281762e+00,1.836938e+00
2.923120e+00,1.087600e+00
6.445039e+00,1.862909e+00
3.633911e+00,1.288950e+00
3.656324e+00,1.297061e+00
1.762497e+00,5.640508e-01
1.686251e+00,5.200735e-01
7.407877e+00,2.004470e+00
5.482052e+00,1.700926e+00
7.390263e+00,1.986757e+00
7.542547e+00,2.020292e+00
7.483831e+00,2.015657e+00
4.787822e+00,1.566647e+00
1.111087e+00,9.899661e-02
5.370840e+00,1.669397e+00
5.935239e+00,1.775874e+00
8.430808e+00,2.133555e+00
4.651170e+00,1.534742e+00
2.146324e+00,7.639709e-01
8.629483e+00,2.152636e+00
9.397450e+00,2.232792e+00
4.488055e+00,1.505547e+00
3.042556e+00,1.107453e+00
8.631806e+00,2.151507e+00
9.519409e+00,2.250723e+00
4.399981e+00,1.483896e+00
2.694523e+00,9.878618e-01
3.686843e+00,1.302316e+00
5.170014e+00,1.641351e+00
7.215334e+00,1.976905e+00
2.454769e+00,8.967900e-01
4.418456e+00,1.482416e+00
1.683196e+00,5.261767e-01
8.833446e+00,2.177787e+00
1.789821e+00,5.796077e-01
6.524720e+00,1.866896e+00
3.111044e+00,1.131303e+00
3.055376e+00,1.125554e+00
8.306082e+00,2.115607e+00
7.569777e+00,2.025207e+00
8.562082e+00,2.146971e+00
3.691749e+00,1.306327e+00
5.275688e+00,1.662092e+00
7.582983e+00,2.020603e+00
7.767345e+00,2.050536e+00
7.150881e+00,1.954336e+00
6.767487e+00,1.900192e+00
9.534504e+00,2.257654e+00
7.831038e+00,2.052885e+00
2.638919e+00,9.658685e-01
7.597255e+00,2.020612e+00
2.627171e+00,9.618563e-01
2.997156e+00,1.098489e+00
7.121812e+00,1.971026e+00
1.220634e+00,2.071169e-01
6.524303e+00,1.880230e+00
4.567307e+00,1.519368e+00
6.822349e+00,1.923187e+00
1.072711e+00,7.851480e-02
1.110675e+00,1.088585e-01
9.133367e+00,2.211763e+00
8.403187e+00,2.135498e+00
6.009738e+00,1.798199e+00
1.295102e+00,2.549400e-01
4.938029e+00,1.605034e+00
7.494745e+00,2.004048e+00
5.673592e+00,1.726280e+00
9.147230e+00,2.209851e+00
1.152969e+00,1.356553e-01
7.401030e+00,1.997153e+00
