omega,S
9.530440e+00,2.254491e+00
7.612016e+00,2.029728e+00
8.815257e+00,2.176484e+00
4.314826e+00,1.462057e+00
1.484618e+00,3.951573e-01
6.884186e+00,1.929227e+00
9.029933e+00,2.200545e+00
3.887013e+00,1.357641e+00
9.494398e+00,2.250702e+00
2.899532e+00,1.064549e+00
1.457546e+00,3.767540e-01
8.141479e+00,2.096972e+00
4.791383e+00,1.566819e+00
4.382194e+00,1.477549e+00
2.672291e+00,9.829363e-01
2.681688e+00,9.864463e-01
3.970229e+00,1.378824e+00
9.640263e+00,2.265948e+00
3.133874e+00,1.142270e+00
8.930929e+00,2.189520e+00
5.594017e+00,1.721698e+00
8.468105e+00,2.136307e+00
5.202308e+00,1.649102e+00
8.397729e+00,2.127961e+00
6.156380e+00,1.817489e+00
8.440531e+00,2.133045e+00
8.516430e+00,2.141997e+00
2.581962e+00,9.485494e-01
7.371095e+00,1.997566e+00
8.495104e+00,2.139490e+00
8.257891e+00,2.111169e+00
2.738935e+00,1.007569e+00
7.947121e+00,2.072810e+00
2.444707e+00,8.939251e-01
9.014055e+00,2.198785e+00
3.801236e+00,1.335326e+00
8.667425e+00,2.159572e+00
1.444388e+00,3.676858e-01
6.466926e+00,1.866701e+00
6.087706e+00,1.806271e+00
8.123280e+00,2.094734e+00
6.565259e+00,1.881792e+00
3.759902e+00,1.324393e+00
6.037915e+00,1.798059e+00
2.867035e+00,1.053278e+00
4.027465e+00,1.393137e+00
7.152451e+00,1.967455e+00
7.736373e+00,2.045933e+00
5.322021e+00,1.671853e+00
5.496209e+00,1.704059e+00
4.390762e+00,1.479503e+00
8.580945e+00,2.149544e+00
1.331773e+00,2.865108e-01
9.635485e+00,2.265453e+00
7.927371e+00,2.070321e+00
5.670457e+00,1.735270e+00
4.890307e+00,1.587255e+00
6.691106e+00,1.900779e+00
4.635587e+00,1.533763e+00
8.010276e+00,2.080725e+00
3.164144e+00,1.151883e+00
3.624850e+00,1.287813e+00
7.161161e+00,1.968672e+00
5.800845e+00,1.758004e+00
9.082785e+00,2.206381e+00
8.400901e+00,2.128339e+00
4.234554e+00,1.443278e+00
8.402243e+00,2.128499e+00
4.128400e+00,1.417890e+00
3.453421e+00,1.239365e+00
8.717627e+00,2.165347e+00
3.485782e+00,1.248693e+00
9.890555e+00,2.291580e+00
4.231313e+00,1.442512e+00
9.198484e+00,2.219039e+00
1.573864e+00,4.535336e-01
8.858399e+00,2.181366e+00
6.859650e+00,1.925656e+00
6.281762e+00,1.837651e+00
2.923120e+00,1.072651e+00
6.445039e+00,1.863311e+00
3.633911e+00,1.290310e+00
3.656324e+00,1.296458e+00
1.762497e+00,5.667318e-01
1.686251e+00,5.225080e-01
7.407877e+00,2.002544e+00
5.482052e+00,1.701480e+00
7.390263e+00,2.000163e+00
7.542547e+00,2.020560e+00
7.483831e+00,2.012745e+00
4.787822e+00,1.566076e+00
1.111087e+00,1.053385e-01
5.370840e+00,1.680984e+00
5.935239e+00,1.780907e+00
8.430808e+00,2.131893e+00
4.651170e+00,1.537119e+00
2.146324e+00,7.637565e-01
8.629483e+00,2.155185e+00
9.397450e+00,2.240438e+00
4.488055e+00,1.501420e+00
3.042556e+00,1.112698e+00
8.631806e+00,2.155454e+00
9.519409e+00,2.253333e+00
4.399981e+00,1.481600e+00
2.694523e+00,9.912211e-01
3.686843e+00,1.304770e+00
5.170014e+00,1.642875e+00
7.215334e+00,1.976208e+00
2.454769e+00,8.980329e-01
4.418456e+00,1.485790e+00
1.683196e+00,5.206945e-01
8.833446e+00,2.178545e+00
1.789821e+00,5.821156e-01
6.524720e+00,1.875598e+00
3.111044e+00,1.134958e+00
3.055376e+00,1.116903e+00
8.306082e+00,2.116988e+00
7.569777e+00,2.024164e+00
8.562082e+00,2.147343e+00
3.691749e+00,1.306100e+00
5.275688e+00,1.663109e+00
7.582983e+00,2.025907e+00
7.767345e+00,2.049928e+00
7.150881e+00,1.967236e+00
6.767487e+00,1.912130e+00
9.534504e+00,2.254917e+00
7.831038e+00,2.058095e+00
2.638919e+00,9.703695e-01
7.597255e+00,2.027787e+00
