r,T
1.188862e+00,1.139739e+00
2.684159e-01,6.164408e-02
5.612160e-01,7.606853e-01
2.828701e+00,4.588911e+00
3.808144e-01,3.953279e-01
2.985144e+00,5.101503e+00
1.199113e+00,1.599776e+00
2.037631e+00,2.710925e+00
8.634236e-01,7.882813e-01
1.849202e+00,2.626278e+00
2.067064e+00,3.006136e+00
1.441820e+00,1.819467e+00
1.947041e+00,2.590525e+00
2.491668e+00,3.960326e+00
7.544139e-01,6.096701e-01
2.723544e+00,4.394062e+00
1.633436e+00,2.351015e+00
2.391690e+00,3.838408e+00
1.170839e+00,1.251212e+00
1.239708e+00,1.633906e+00
4.449712e-01,2.502247e-01
2.901802e-01,4.252859e-02
1.762597e-01,1.805348e-01
1.467281e+00,1.734207e+00
6.239806e-01,2.824263e-01
2.370474e-01,4.707381e-02
2.764842e+00,4.367072e+00
1.261237e-01,2.508119e-02
1.079819e+00,9.191945e-01
2.394460e+00,3.846435e+00
1.611357e+00,1.948554e+00
4.126061e-01,3.418543e-02
1.377862e+00,1.416721e+00
2.229003e-01,2.938614e-01
1.435915e+00,1.614206e+00
1.854527e+00,2.794903e+00
2.259541e+00,3.512321e+00
2.076849e-01,7.628406e-02
2.807395e+00,4.690799e+00
5.532566e-01,5.584884e-01
1.930383e+00,2.532220e+00
1.053519e+00,1.319776e+00
2.710047e+00,4.653654e+00
1.944135e+00,2.685188e+00
2.904449e+00,4.873641e+00
2.257029e+00,3.252612e+00
1.474012e+00,1.735947e+00
1.969125e-01,1.607205e-01
1.180418e+00,1.245443e+00
3.664722e-01,3.000225e-01
1.140020e+00,1.214156e+00
1.385029e+00,1.742238e+00
1.244594e-01,1.882718e-01
2.296269e+00,3.082260e+00
1.028425e+00,6.313987e-01
6.293877e-01,6.248223e-01
9.649210e-01,1.121228e+00
6.195192e-01,4.526395e-01
2.592084e+00,4.254900e+00
1.400730e+00,1.776991e+00
2.506659e+00,3.873278e+00
8.150596e-01,6.390795e-01
2.932156e+00,4.952615e+00
1.798212e+00,2.236891e+00
1.135450e+00,1.185738e+00
2.096618e+00,3.368671e+00
5.967087e-01,3.610043e-01
2.946982e+00,5.186668e+00
2.969776e+00,5.337099e+00
1.957139e+00,2.796251e+00
5.068374e-01,5.672581e-01
2.368562e+00,3.617073e+00
2.630956e+00,4.372699e+00
2.575197e+00,3.996834e+00
2.623584e+00,4.206850e+00
6.060980e-01,4.553143e-01
1.322097e+00,1.516705e+00
2.940817e+00,4.860912e+00
2.779139e+00,4.863318e+00
1.984064e+00,2.642254e+00
1.516192e+00,1.943625e+00
4.711023e-01,5.647561e-01
1.139281e+00,1.145441e+00
1.146188e+00,1.479461e+00
2.500550e+00,4.064253e+00
2.983470e+00,5.308687e+00
9.344545e-01,6.965257e-01
5.844981e-01,1.488606e-01
2.765370e+00,4.737937e+00
1.714801e+00,2.147453e+00
1.465508e+00,1.760679e+00
1.184946e+00,1.186597e+00
4.909229e-01,1.758335e-01
8.587697e-01,8.251868e-01
7.226311e-01,9.534521e-01
2.845033e+00,4.768318e+00
2.955453e-01,1.705886e-01
2.735566e+00,4.509238e+00
8.257991e-01,8.150791e-01
2.831221e+00,4.644737e+00
2.832702e+00,4.640491e+00
1.144050e+00,1.232971e+00
2.848997e+00,4.916973e+00
2.053434e+00,2.891495e+00
2.465731e-01,9.247045e-02
1.607875e+00,2.132002e+00
1.663029e+00,1.908429e+00
2.508268e+00,3.704905e+00
2.811530e+00,4.784699e+00
6.745595e-01,4.558780e-01
2.365600e+00,3.883797e+00
1.448665e+00,1.779066e+00
1.170515e+00,1.321113e+00
2.730635e-01,3.459649e-01
2.921816e-01,-3.103414e-02
2.991163e+00,5.152056e+00
2.955925e+00,5.212014e+00
1.983467e+00,2.885114e+00
1.597922e-01,-9.017959e-02
1.168052e-01,-2.768150e-01
2.980805e-01,-8.003085e-02
2.664450e+00,4.460916e+00
1.322048e+00,1.400904e+00
2.194761e+00,3.276067e+00
1.864834e-01,1.497963e-01
1.614955e+00,1.876371e+00
7.278833e-01,9.326626e-01
2.090657e+00,2.699936e+00
1.288561e+00,1.704792e+00
2.927331e+00,4.954045e+00
2.956164e+00,5.089844e+00
1.304618e+00,1.631793e+00
2.474032e+00,3.716678e+00
1.315739e+00,1.586370e+00
1.929150e+00,2.650268e+00
1.905367e-01,1.328744e-01
1.888207e+00,2.817803e+00
3.141122e-01,2.085256e-01
1.092718e+00,1.259371e+00
2.657316e+00,4.200311e+00
2.112583e+00,2.967022e+00
2.495069e+00,3.986471e+00
1.461396e+00,1.916836e+00
2.294567e+00,3.814438e+00
1.529948e+00,1.775461e+00
9.647518e-01,8.588206e-01
2.304365e+00,3.511372e+00
1.684935e+00,2.178767e+00
2.852074e+00,4.869964e+00
5.444670e-01,1.857161e-01
1.152459e+00,1.290993e+00
2.514444e+00,3.794213e+00
2.875020e+00,4.814607e+00
2.595605e+00,4.258216e+00
1.677344e+00,2.232402e+00
1.711546e+00,2.270621e+00
1.813415e-01,1.285530e-01
1.740918e-01,2.836353e-01
