k,t,T
2.319556e-01,2.059581e+00,1.620189e+00
4.570683e-01,1.666737e-01,1.926648e+00
1.581959e+00,2.503579e+00,1.019052e+00
1.577291e+00,1.301558e+00,1.128358e+00
1.406878e+00,1.958218e+00,1.063611e+00
1.023161e+00,1.231955e+00,1.283516e+00
1.437308e+00,1.790147e+00,1.076307e+00
1.433291e+00,1.702571e+00,1.087136e+00
1.773389e+00,1.632433e+00,1.055302e+00
4.474167e-01,2.065641e+00,1.396848e+00
5.619009e-01,2.377164e+00,1.262966e+00
3.863768e-01,2.786974e+00,1.340676e+00
8.585354e-01,1.425463e+00,1.294107e+00
1.147463e+00,4.940809e-01,1.567259e+00
1.884767e+00,1.298585e+00,1.086507e+00
1.798833e+00,3.123163e-01,1.570179e+00
1.228467e+00,2.796994e+00,1.032193e+00
1.659925e+00,5.437717e-02,1.913692e+00
1.563704e+00,2.802537e-02,1.957123e+00
1.159789e+00,1.048499e+00,1.296402e+00
2.583008e-01,2.256165e+00,1.558350e+00
8.614397e-01,6.272723e-01,1.582540e+00
1.192407e+00,2.925248e+00,1.030559e+00
7.750605e-01,1.065008e+00,1.438040e+00
1.830673e+00,2.664539e+00,1.007613e+00
1.097675e+00,3.825874e-01,1.657075e+00
1.734377e+00,1.420996e+00,1.085048e+00
1.977743e+00,1.061469e+00,1.122541e+00
1.252688e+00,1.796009e+00,1.105416e+00
1.426279e-01,1.847763e+00,1.768325e+00
1.615727e+00,7.725520e-01,1.287011e+00
1.215373e+00,6.263619e-01,1.467076e+00
6.928107e-01,2.007589e+00,1.248856e+00
1.673054e+00,2.233498e+00,1.023831e+00
8.434998e-01,2.408003e+00,1.131185e+00
1.203914e+00,8.756143e-01,1.348484e+00
9.816382e-01,1.434858e+00,1.244507e+00
1.726897e+00,1.668945e+00,1.056017e+00
9.071431e-01,1.724113e+00,1.209294e+00
2.069151e-01,2.453851e+00,1.601855e+00
3.673372e-01,4.746041e-01,1.840011e+00
1.972508e+00,8.427494e-01,1.189696e+00
1.335922e-01,2.220591e+00,1.743301e+00
2.083087e-01,1.659726e+00,1.707700e+00
1.123778e+00,6.746286e-01,1.468540e+00
4.172752e-01,7.097676e-01,1.743662e+00
1.993335e+00,1.270817e+00,1.079407e+00
1.636179e+00,2.056644e-01,1.714263e+00
1.533736e+00,2.585773e+00,1.018951e+00
