x,F
2.167636e-01,-2.167636e-01
1.963271e+00,-1.963271e+00
1.796326e+00,-1.796326e+00
1.287647e+00,-1.287647e+00
-1.207494e-01,1.207494e-01
-1.639442e+00,1.639442e+00
1.091453e+00,-1.091453e+00
-1.537585e+00,1.537585e+00
-5.106020e-01,5.106020e-01
-9.175705e-01,9.175705e-01
7.165255e-01,-7.165255e-01
1.669555e+00,-1.669555e+00
-1.901881e+00,1.901881e+00
1.497344e+00,-1.497344e+00
-8.140816e-01,8.140816e-01
-1.983953e+00,1.983953e+00
1.646689e+00,-1.646689e+00
9.310852e-01,-9.310852e-01
1.379128e+00,-1.379128e+00
1.558106e+00,-1.558106e+00
9.165092e-01,-9.165092e-01
-9.817555e-01,9.817555e-01
-6.662489e-01,6.662489e-01
1.426372e+00,-1.426372e+00
6.476200e-01,-6.476200e-01
1.360345e+00,-1.360345e+00
-7.813863e-01,7.813863e-01
1.049677e-01,-1.049677e-01
-5.456923e-01,5.456923e-01
2.990876e-01,-2.990876e-01
-4.913759e-01,4.913759e-01
6.995786e-01,-6.995786e-01
-1.712291e+00,1.712291e+00
-1.781504e+00,1.781504e+00
-2.741460e-01,2.741460e-01
-1.508205e+00,1.508205e+00
1.612340e+00,-1.612340e+00
2.640965e-02,-2.640965e-02
-1.315136e+00,1.315136e+00
-1.023327e+00,1.023327e+00
3.950337e-01,-3.950337e-01
-3.634301e-02,3.634301e-02
3.293499e-01,-3.293499e-01
-8.364005e-01,8.364005e-01
-2.532049e-01,2.532049e-01
7.254414e-01,-7.254414e-01
6.036050e-01,-6.036050e-01
-7.969055e-02,7.969055e-02
-1.131296e+00,1.131296e+00
1.238496e+00,-1.238496e+00
-1.376619e+00,1.376619e+00
1.426193e+00,-1.426193e+00
-1.339712e+00,1.339712e+00
1.617238e+00,-1.617238e+00
-6.315192e-01,6.315192e-01
-9.329424e-01,9.329424e-01
-1.192531e+00,1.192531e+00
-1.442668e+00,1.442668e+00
-1.120893e+00,1.120893e+00
1.162626e+00,-1.162626e+00
1.557863e+00,-1.557863e+00
-7.466085e-02,7.466085e-02
-1.527098e+00,1.527098e+00
1.079562e+00,-1.079562e+00
-5.993109e-01,5.993109e-01
8.913689e-01,-8.913689e-01
