v0,theta,R
1.577138e+00,4.531205e-01,1.958030e+00
7.314926e-01,3.424716e-01,3.385080e-01
1.872023e+00,1.195187e+00,2.391907e+00
9.986205e-01,1.881428e-01,3.664554e-01
2.018602e+00,8.230437e-01,4.063208e+00
1.599590e+00,6.505564e-01,2.466206e+00
1.438090e+00,2.947336e-01,1.149696e+00
2.175532e+00,1.167423e-01,1.095055e+00
7.768203e-01,1.386410e+00,2.175258e-01
1.905536e+00,5.888065e-01,3.353997e+00
5.429693e-01,9.395503e-01,2.809149e-01
5.649412e-01,5.619094e-01,2.878037e-01
2.191970e+00,2.028395e-01,1.896154e+00
2.699573e+00,1.430689e+00,2.015497e+00
2.400542e+00,7.425047e-01,5.741412e+00
1.331828e+00,1.160263e+00,1.298171e+00
1.958436e+00,1.209683e+00,2.535465e+00
1.205710e+00,7.604234e-01,1.451922e+00
2.470875e+00,5.318396e-01,5.336870e+00
6.354594e-01,3.086858e-01,2.337624e-01
2.108279e+00,2.662557e-01,2.256640e+00
1.886484e+00,3.671168e-01,2.384476e+00
1.810886e+00,1.013895e+00,2.942797e+00
2.187031e+00,5.974137e-01,4.449017e+00
5.423940e-01,1.182305e+00,2.062667e-01
2.686730e+00,1.360181e+00,2.951531e+00
8.644336e-01,7.739721e-01,7.470503e-01
1.911564e+00,6.599754e-01,3.539715e+00
2.525438e+00,1.451831e+00,1.503206e+00
2.261994e+00,7.871210e-01,5.116586e+00
2.641773e+00,3.559743e-01,4.559430e+00
2.772433e+00,7.625470e-01,7.678361e+00
9.944369e-01,1.203671e+00,6.625971e-01
2.235540e+00,5.781899e-01,4.574594e+00
2.023705e+00,3.486224e-01,2.629677e+00
2.319098e+00,7.870092e-01,5.378185e+00
1.061550e+00,8.821059e-01,1.105876e+00
2.569972e+00,6.985654e-01,6.505408e+00
1.720099e+00,8.881472e-01,2.896489e+00
8.002625e-01,3.454012e-01,4.080474e-01
1.188330e+00,9.749522e-01,1.311861e+00
1.050050e+00,4.886042e-01,9.139920e-01
1.603565e+00,7.818674e-01,2.571357e+00
1.151700e+00,9.894508e-01,1.217480e+00
1.502291e+00,7.118162e-01,2.232482e+00
1.112301e+00,8.199802e-01,1.234256e+00
1.994571e+00,1.339299e+00,1.776829e+00
1.812095e+00,7.591334e-01,3.279160e+00
