lambda,t,N
7.266491e-01,1.986994e+00,2.360180e-01
1.090855e+00,9.979239e-02,8.968569e-01
3.341925e-01,1.009356e+00,7.136810e-01
1.939922e-01,9.991067e-01,8.238071e-01
9.135585e-01,1.926012e+00,1.721266e-01
4.383452e-01,2.487850e+00,3.360360e-01
2.734876e-01,1.532325e+00,6.576569e-01
1.439588e+00,2.567753e+00,2.481006e-02
4.818048e-01,1.032936e+00,6.079433e-01
1.513768e+00,6.412959e-02,9.074858e-01
1.004478e+00,4.098734e-02,9.596651e-01
1.827162e+00,2.690632e+00,7.326771e-03
1.948147e+00,3.611032e-01,4.948591e-01
1.143167e+00,8.605293e-01,3.739142e-01
1.097380e+00,1.716238e+00,1.520776e-01
8.277006e-01,1.016702e+00,4.310527e-01
4.415862e-01,1.643630e+00,4.839353e-01
1.459998e+00,2.250326e+00,3.742296e-02
2.566507e-01,2.998922e+00,4.631634e-01
4.920766e-01,2.135402e+00,3.496644e-01
8.749420e-01,2.170489e+00,1.497104e-01
5.401576e-01,8.774362e-01,6.225360e-01
4.569409e-01,5.976513e-01,7.610233e-01
1.888002e+00,1.529127e+00,5.574344e-02
5.209469e-01,2.496207e+00,2.724251e-01
1.102383e+00,9.526357e-01,3.498783e-01
1.748965e+00,1.859825e+00,3.866699e-02
1.099115e+00,1.701205e+00,1.541513e-01
3.148471e-01,9.931250e-01,7.314821e-01
3.055632e-01,4.650787e-01,8.675250e-01
1.476797e+00,1.519632e+00,1.060137e-01
1.827372e-01,1.651001e+00,7.395604e-01
9.239274e-01,2.338634e+00,1.152412e-01
1.260138e-01,2.772464e+00,7.051332e-01
1.805677e+00,1.715954e+00,4.511866e-02
1.643706e+00,1.849117e+00,4.786342e-02
1.368332e+00,1.903486e+00,7.393266e-02
1.756151e+00,5.451018e-01,3.839354e-01
1.765360e+00,1.968020e+00,3.098466e-02
1.869644e-01,9.226325e-01,8.415587e-01
8.883440e-01,1.014294e+00,4.061462e-01
1.317072e+00,7.234800e-01,3.856306e-01
4.717898e-01,5.880672e-01,7.577179e-01
6.479172e-01,2.612042e+00,1.840796e-01
6.137272e-01,8.394107e-01,5.973995e-01
1.206748e+00,1.224619e+00,2.281375e-01
1.264048e+00,1.256906e+00,2.041727e-01
1.418265e+00,2.617252e-01,6.899088e-01
8.361943e-01,5.077990e-01,6.540192e-01
6.961505e-01,7.553621e-01,5.910553e-01
6.024858e-01,2.475501e+00,2.250452e-01
1.995615e+00,2.471555e+00,7.210098e-03
7.336766e-01,2.554931e+00,1.534328e-01
1.246475e+00,1.345234e+00,1.869711e-01
1.382691e+00,1.099470e+00,2.186623e-01
1.656949e+00,1.671428e+00,6.269511e-02
1.963932e+00,1.573537e+00,4.548746e-02
1.515909e+00,6.215636e-01,3.897561e-01
2.367821e-01,2.241302e+00,5.881929e-01
1.385822e+00,1.443410e+00,1.352933e-01
2.295940e-01,5.031509e-01,8.909024e-01
7.608830e-01,2.480680e+00,1.514489e-01
1.841700e+00,2.617962e+00,8.054701e-03
5.306133e-01,9.986627e-01,5.886616e-01
1.491725e-01,2.719661e+00,6.665109e-01
3.987418e-01,1.992761e-02,9.920855e-01
3.866166e-01,1.398547e+00,5.823396e-01
5.467272e-01,1.070561e+00,5.569362e-01
5.198236e-01,1.165641e+00,5.455680e-01
2.461171e-01,3.047124e-01,9.277482e-01
7.391711e-01,2.122748e+00,2.082380e-01
6.282250e-01,2.794821e+00,1.727731e-01
1.066804e+00,1.082337e+00,3.151706e-01
1.282505e+00,3.903459e-01,6.061545e-01
1.538575e+00,1.002842e-01,8.570193e-01
1.743342e+00,1.708931e+00,5.083086e-02
1.358051e+00,1.491131e+00,1.319895e-01
1.158996e+00,8.330959e-01,3.807718e-01
5.408500e-01,9.377342e-02,9.505473e-01
7.407546e-01,1.956037e+00,2.348182e-01
9.759709e-01,2.087910e+00,1.303230e-01
2.575223e-01,4.031302e-01,9.013920e-01
1.712191e+00,1.073614e+00,1.590984e-01
6.816887e-01,2.768293e+00,1.515084e-01
1.541188e+00,1.048587e+00,1.986780e-01
1.625299e+00,2.653694e+00,1.339270e-02
1.221933e+00,5.753258e-01,4.950931e-01
8.894736e-01,1.802813e+00,2.011802e-01
3.584333e-01,7.668597e-01,7.596724e-01
9.827213e-01,1.538861e+00,2.204088e-01
1.143444e+00,1.881493e+00,1.163231e-01
1.600933e+00,1.150576e+00,1.585008e-01
4.091813e-01,3.080920e-01,8.815571e-01
1.118806e+00,2.827242e+00,4.229301e-02
1.226963e+00,2.428045e+00,5.083753e-02
8.969329e-01,2.660369e-01,7.877163e-01
3.293936e-01,2.713212e+00,4.091332e-01
5.065656e-01,9.271085e-01,6.252265e-01
1.535816e+00,5.372946e-01,4.381536e-01
5.076883e-01,1.920492e+00,3.771880e-01
1.624906e+00,2.462835e+00,1.828134e-02
1.845111e+00,1.533522e+00,5.904131e-02
8.995484e-01,1.262168e+00,3.212996e-01
1.839854e+00,1.001824e+00,1.583084e-01
1.534737e+00,8.019391e-01,2.920688e-01
6.820521e-01,2.136980e+00,2.328103e-01
1.425852e+00,1.867722e+00,6.973196e-02
9.287805e-01,2.535551e+00,9.489634e-02
1.839741e+00,1.430224e+00,7.198905e-02
1.174999e-01,1.146841e+00,8.739311e-01
1.666336e+00,1.753172e+00,5.385967e-02
1.247550e+00,2.406513e-01,7.406518e-01
3.852064e-01,7.285596e-01,7.552958e-01
9.087739e-01,2.199028e+00,1.355494e-01
1.035296e+00,1.761898e+00,1.613652e-01
1.020096e+00,2.516557e+00,7.675553e-02
1.978189e+00,1.534467e+00,4.805229e-02
1.370156e+00,2.374612e+00,3.863528e-02
4.798883e-01,6.326065e-01,7.381705e-01
1.282218e+00,1.907335e+00,8.667242e-02
1.590019e+00,8.293516e-01,2.674869e-01
1.053074e+00,1.722385e+00,1.630337e-01
1.632796e+00,5.404414e-01,4.137761e-01
8.652123e-01,1.038391e+00,4.072088e-01
1.217564e+00,1.714386e+00,1.240122e-01
8.166248e-01,2.801565e+00,1.014867e-01
4.214697e-01,5.700757e-02,9.762594e-01
1.624832e+00,1.871318e+00,4.780725e-02
1.397302e+00,1.260800e+00,1.717497e-01
1.016435e+00,3.311802e-01,7.141779e-01
1.080107e+00,1.607521e+00,1.761718e-01
8.411732e-01,2.358591e+00,1.375203e-01
6.298356e-01,2.254824e-01,8.676066e-01
1.740824e+00,1.885498e+00,3.754106e-02
8.215100e-01,2.607199e+00,1.174386e-01
1.618733e+00,1.810756e+00,5.333664e-02
1.061178e+00,8.063196e-02,9.179936e-01
3.177262e-01,2.879893e+00,4.005095e-01
1.735081e+00,4.107756e-01,4.903043e-01
6.896405e-01,2.400525e+00,1.909967e-01
1.260596e+00,2.569320e+00,3.920794e-02
1.121450e+00,1.309850e+00,2.301714e-01
3.122380e-01,1.129978e+00,7.027022e-01
8.174348e-01,5.812615e-01,6.217959e-01
1.674671e+00,1.855665e+00,4.470683e-02
4.488052e-01,3.727763e-01,8.459425e-01
7.124909e-01,2.455885e+00,1.738094e-01
1.682930e+00,1.159442e+00,1.420951e-01
1.127845e+00,6.890504e-01,4.597179e-01
5.673080e-01,1.363676e+00,4.613379e-01
1.475563e+00,1.725836e+00,7.834912e-02
1.077068e+00,1.426203e+00,2.152148e-01
2.300636e-01,2.824530e+00,5.221390e-01
1.893378e+00,1.593288e+00,4.896273e-02
1.521820e+00,2.537725e+00,2.102673e-02
1.776649e+00,1.905916e+00,3.383889e-02
1.687866e+00,6.193174e-01,3.515777e-01
1.559080e+00,2.798831e+00,1.273247e-02
5.204229e-01,1.763035e+00,3.995070e-01
5.144504e-01,1.513217e+00,4.591055e-01
1.947347e+00,1.356455e+00,7.125510e-02
2.203955e-01,1.620191e+00,6.997145e-01
1.406700e-01,2.304178e+00,7.231571e-01
1.296470e+00,2.219530e+00,5.627222e-02
8.487876e-01,1.196589e+00,3.621671e-01
1.784894e+00,1.071011e+00,1.478376e-01
1.498082e+00,1.281962e-01,8.252669e-01
1.943688e+00,2.594025e+00,6.460967e-03
1.020020e+00,2.067382e+00,1.213869e-01
1.421827e+00,2.672319e+00,2.238028e-02
1.526904e+00,2.999351e+00,1.025775e-02
1.907968e+00,4.459597e-01,4.270404e-01
8.105220e-01,1.823368e+00,2.281208e-01
3.534830e-01,5.446349e-02,9.809322e-01
5.367652e-01,2.436485e+00,2.704088e-01
1.550695e+00,1.279789e+00,1.374407e-01
1.300390e+00,2.474481e+00,4.004347e-02
1.740781e+00,2.518418e+00,1.247517e-02
2.945084e-01,2.536040e-01,9.280325e-01
1.032127e+00,2.410550e+00,8.307641e-02
2.858278e-01,1.286592e+00,6.922946e-01
6.646202e-01,2.487302e+00,1.914533e-01
1.745384e+00,2.210386e+00,2.111077e-02
7.353763e-01,1.704217e+00,2.855777e-01
1.160009e+00,2.178429e+00,7.989857e-02
1.996779e+00,2.506290e+00,6.707639e-03
5.001027e-01,5.280566e-01,7.679102e-01
1.390185e+00,1.786903e+00,8.339847e-02
1.058300e+00,1.848475e+00,1.413887e-01
1.064197e+00,7.764237e-01,4.376797e-01
1.103820e+00,2.204042e-01,7.840469e-01
1.679050e+00,2.681449e+00,1.108362e-02
6.176937e-01,1.616957e+00,3.683269e-01
9.479706e-01,1.402842e+00,2.645162e-01
1.526670e+00,1.801687e+00,6.389076e-02
1.675348e+00,2.533403e+00,1.434531e-02
1.058585e+00,2.352991e+00,8.284035e-02
3.800327e-01,2.220589e-01,9.190731e-01
1.166335e+00,2.453748e+00,5.716042e-02
1.276829e+00,7.728684e-01,3.727598e-01
5.916978e-01,2.400414e+00,2.416367e-01
1.940636e+00,1.374432e+00,6.944130e-02
6.264045e-01,2.296110e-01,8.660355e-01
1.061933e+00,5.441068e-01,5.611287e-01
1.142389e-01,1.682151e+00,8.251690e-01
4.783795e-01,5.036676e-01,7.858854e-01
1.412499e+00,1.522231e+00,1.164667e-01
6.961751e-01,2.363228e+00,1.929700e-01
8.006593e-01,2.045410e+00,1.944312e-01
1.802450e+00,2.418200e+00,1.279523e-02
4.362347e-01,1.229503e+00,5.848781e-01
1.287446e+00,5.607559e-01,4.858075e-01
1.368727e+00,3.521854e-01,6.175189e-01
1.748814e+00,1.074154e-01,8.287394e-01
1.872756e-01,1.922034e+00,6.977111e-01
5.363868e-01,1.497064e+00,4.479805e-01
1.519768e+00,1.017654e+00,2.129711e-01
4.673041e-01,9.169075e-01,6.515021e-01
1.362534e+00,5.084257e-01,5.002000e-01
1.383515e+00,1.750128e+00,8.880356e-02
1.615545e+00,2.525141e-01,6.650135e-01
1.508143e+00,2.160745e+00,3.843784e-02
2.561219e-01,2.320028e+00,5.519984e-01
1.215000e+00,8.698521e-01,3.475417e-01
1.773417e+00,2.272825e+00,1.776250e-02
1.426950e+00,2.713370e-01,6.789660e-01
4.831922e-01,2.358368e+00,3.199646e-01
8.866442e-01,1.480358e+00,2.691326e-01
1.192658e+00,1.543014e+00,1.587718e-01
1.958181e+00,1.340397e+00,7.245855e-02
1.941833e+00,2.675632e+00,5.540724e-03
1.541396e+00,2.440266e+00,2.325078e-02
1.896364e+00,1.466592e+00,6.196453e-02
1.053324e+00,1.705506e+00,1.658869e-01
6.598330e-01,2.064470e+00,2.560953e-01
1.679366e-01,7.136037e-01,8.870622e-01
1.897748e+00,2.856305e+00,4.424722e-03
8.480398e-01,2.116694e+00,1.661207e-01
4.558699e-01,2.407995e+00,3.336268e-01
2.230245e-01,3.596454e-01,9.229228e-01
8.699679e-01,3.979148e-01,7.073900e-01
1.780122e+00,1.027721e+00,1.604989e-01
1.734298e+00,1.034233e+00,1.663488e-01
3.556350e-01,2.579209e+00,3.996136e-01
4.104138e-01,3.323638e-01,8.724877e-01
1.894582e+00,1.168284e+00,1.093273e-01
1.449351e+00,2.428162e+00,2.962137e-02
4.749055e-01,1.883255e+00,4.088659e-01
9.582351e-01,2.380806e+00,1.021440e-01
7.304931e-01,2.470964e+00,1.644708e-01
8.746120e-01,2.005653e-01,8.391072e-01
8.155972e-01,1.376620e+00,3.253781e-01
5.076703e-01,2.862908e+00,2.337709e-01
1.913968e+00,8.675750e-01,1.900419e-01
2.121345e-01,2.074241e+00,6.440247e-01
4.994545e-01,1.981426e+00,3.717133e-01
1.976408e+00,1.090840e+00,1.157937e-01
2.415199e-01,6.096889e-01,8.630764e-01
1.460449e+00,6.551019e-02,9.087600e-01
7.425030e-01,2.567322e+00,1.486376e-01
1.268786e+00,1.975731e+00,8.153032e-02
1.149543e+00,1.773915e+00,1.301339e-01
1.975465e+00,2.288338e+00,1.088324e-02
8.449037e-01,9.418296e-01,4.512403e-01
1.908581e+00,1.609642e+00,4.632233e-02
9.863758e-01,8.423081e-01,4.356865e-01
1.236018e+00,1.427579e+00,1.712702e-01
4.140733e-01,1.056521e+00,6.456632e-01
7.326591e-01,2.162549e-02,9.842807e-01
1.084772e+00,1.144069e+00,2.890795e-01
1.753148e+00,2.723313e+00,8.443400e-03
9.132620e-01,2.748383e+00,8.126879e-02
1.514987e+00,2.656009e+00,1.788451e-02
1.792609e+00,2.861734e+00,5.916745e-03
4.803801e-01,4.312372e-01,8.128914e-01
1.604293e+00,1.321942e+00,1.199377e-01
1.397604e+00,7.842630e-01,3.341754e-01
9.295307e-01,3.145237e-02,9.711873e-01
1.436768e+00,2.094058e+00,4.935697e-02
1.500945e+00,2.487259e-01,6.884423e-01
1.195678e+00,1.564482e-01,8.293926e-01
2.313915e-01,5.249812e-01,8.856121e-01
2.158535e-01,2.826325e+00,5.433117e-01
1.659959e+00,2.022141e+00,3.485105e-02
