t,v,t_prime
1.939321e+00,2.846144e-01,2.022987e+00
1.527684e+00,4.966167e-01,1.760065e+00
1.836717e+00,2.790628e-02,1.837432e+00
1.145345e+00,4.047940e-01,1.252553e+00
1.327179e+00,4.808580e-01,1.513665e+00
1.945053e+00,5.795607e-01,2.386776e+00
5.354222e-01,7.061419e-02,5.367621e-01
9.010284e-01,2.963270e-01,9.433998e-01
8.291354e-01,5.632380e-01,1.003438e+00
7.634640e-01,7.614211e-01,1.177717e+00
9.184470e-01,4.531616e-01,1.030309e+00
1.299558e+00,8.482279e-01,2.453702e+00
6.913336e-01,6.919706e-01,9.576244e-01
1.510021e+00,9.278051e-01,4.047608e+00
8.700229e-01,7.985563e-01,1.445412e+00
1.529146e+00,8.667091e-01,3.065563e+00
8.353603e-01,3.023389e-01,8.763742e-01
1.643971e+00,6.996509e-01,2.300917e+00
8.805685e-01,4.564919e-01,9.897058e-01
1.320945e+00,4.475120e-01,1.477108e+00
1.389614e+00,3.482992e-02,1.390457e+00
1.126254e+00,8.159898e-01,1.948312e+00
5.436100e-01,4.204201e-01,5.991318e-01
1.852140e+00,9.305820e-01,5.059338e+00
1.171666e+00,6.985765e-01,1.637467e+00
1.719500e+00,3.465053e-01,1.833062e+00
1.163415e+00,3.081010e-01,1.222905e+00
8.220737e-01,7.940001e-01,1.352278e+00
1.292632e+00,6.902983e-01,1.786575e+00
8.294110e-01,4.609723e-01,9.346376e-01
1.019108e+00,2.110653e-01,1.042596e+00
1.182755e+00,7.962527e-01,1.955082e+00
9.462680e-01,8.491190e-01,1.791490e+00
1.377177e+00,9.412007e-01,4.076321e+00
1.242685e+00,2.051376e-01,1.269687e+00
1.577967e+00,4.626049e-01,1.779867e+00
8.422634e-01,5.585106e-01,1.015390e+00
1.343624e+00,8.214240e-01,2.355921e+00
7.982967e-01,3.285430e-01,8.452154e-01
9.221940e-01,9.150341e-03,9.222326e-01
1.865514e+00,6.928807e-01,2.587211e+00
8.156745e-01,6.238371e-01,1.043657e+00
1.045866e+00,6.246467e-01,1.339295e+00
1.556352e+00,7.473796e-02,1.560717e+00
1.800324e+00,4.347391e-01,1.999124e+00
1.792018e+00,7.399896e-01,2.664242e+00
5.988613e-01,8.253494e-01,1.060640e+00
5.006625e-01,8.563644e-01,9.695774e-01
5.004864e-01,1.815152e-01,5.089408e-01
5.567326e-01,1.456433e-01,5.627330e-01
1.933817e+00,6.261008e-01,2.480073e+00
1.054925e+00,6.756774e-02,1.057341e+00
1.670850e+00,2.526003e-01,1.726851e+00
1.487762e+00,6.710354e-02,1.491123e+00
1.784159e+00,6.159860e-02,1.787553e+00
1.274019e+00,4.144612e-01,1.399918e+00
9.939140e-01,1.952972e-01,1.013429e+00
1.400111e+00,4.785972e-01,1.594597e+00
1.912796e+00,3.715144e-03,1.912809e+00
1.602394e+00,2.478749e-01,1.654013e+00
1.301631e+00,2.272313e-01,1.336595e+00
1.166782e+00,1.535065e-01,1.180777e+00
8.150535e-01,6.402808e-01,1.061073e+00
9.049248e-01,1.478443e-01,9.149798e-01
1.263929e+00,5.026043e-01,1.462007e+00
5.399031e-01,5.169651e-01,6.307232e-01
1.396057e+00,1.708366e-01,1.416886e+00
1.696686e+00,8.440975e-01,3.164339e+00
5.903695e-01,2.974157e-01,6.183510e-01
9.570944e-01,9.252407e-01,2.522781e+00
1.988184e+00,3.122692e-02,1.989154e+00
1.891057e+00,2.000980e-01,1.930091e+00
1.153535e+00,6.458767e-01,1.510967e+00
1.517751e+00,6.744072e-01,2.055572e+00
1.746937e+00,3.776870e-01,1.886676e+00
5.905469e-01,8.402226e-01,1.089084e+00
1.471912e+00,8.894467e-01,3.220539e+00
5.664458e-01,5.613641e-01,6.844696e-01
1.919046e+00,5.217263e-01,2.249463e+00
1.398133e+00,9.074591e-01,3.327776e+00
1.961046e+00,4.734346e-01,2.226364e+00
1.706718e+00,5.661085e-01,2.070429e+00
5.182798e-01,8.925821e-01,1.149472e+00
1.388229e+00,5.054909e-01,1.608922e+00
7.378361e-01,1.286993e-01,7.440236e-01
1.505604e+00,4.541735e-01,1.689956e+00
1.194099e+00,8.196745e-02,1.198131e+00
1.858546e+00,3.956669e-01,2.023691e+00
1.212688e+00,3.849390e-01,1.313937e+00
1.176690e+00,5.707880e-01,1.433070e+00
1.869341e+00,6.013470e-01,2.339637e+00
5.055612e-01,1.870622e-01,5.146457e-01
5.782789e-01,5.594699e-01,6.976876e-01
7.608330e-01,6.926253e-01,1.054812e+00
1.413049e+00,5.925851e-01,1.754234e+00
1.029654e+00,6.669322e-01,1.381867e+00
1.862161e+00,1.619626e-01,1.887076e+00
1.940368e+00,7.623439e-01,2.998226e+00
7.294285e-01,4.841473e-02,7.302849e-01
1.071349e+00,3.583420e-01,1.147558e+00
5.237624e-01,7.849600e-01,8.453964e-01
1.902484e+00,2.416780e-01,1.960603e+00
1.493563e+00,9.163658e-01,3.730717e+00
1.843476e+00,7.497064e-02,1.848679e+00
1.544990e+00,3.087358e-01,1.624342e+00
1.288683e+00,7.533568e-01,1.959641e+00
1.453571e+00,8.354748e-01,2.645123e+00
1.284825e+00,1.940416e-01,1.309719e+00
1.901707e+00,7.311478e-01,2.787530e+00
1.645400e+00,4.927644e-01,1.890910e+00
1.447498e+00,2.387701e-01,1.490612e+00
1.708812e+00,2.253211e-01,1.753915e+00
7.755870e-01,9.242380e-03,7.756201e-01
1.873548e+00,7.465238e-03,1.873600e+00
1.082055e+00,3.123868e-01,1.139059e+00
1.477841e+00,9.212254e-01,3.798790e+00
1.701023e+00,9.019304e-01,3.938634e+00
1.227046e+00,2.451550e-01,1.265669e+00
1.350519e+00,5.355690e-03,1.350539e+00
1.649407e+00,8.157277e-01,2.851495e+00
7.808710e-01,2.946967e-01,8.171604e-01
1.266987e+00,7.255627e-01,1.841134e+00
1.299772e+00,3.082340e-01,1.366296e+00
5.181694e-01,4.185997e-01,5.705638e-01
1.312362e+00,1.754241e-01,1.333033e+00
7.440294e-01,8.803272e-02,7.469293e-01
1.259394e+00,7.967394e-01,2.083975e+00
1.433339e+00,4.982923e-01,1.653200e+00
1.361378e+00,7.822164e-01,2.185174e+00
5.539215e-01,3.724334e-01,5.968603e-01
1.585236e+00,2.364516e-02,1.585679e+00
1.761167e+00,6.877772e-01,2.426111e+00
1.539517e+00,6.458685e-03,1.539549e+00
1.922425e+00,9.112080e-01,4.666686e+00
1.077259e+00,3.824346e-01,1.165887e+00
1.265337e+00,6.307994e-01,1.630703e+00
1.213891e+00,8.537133e-01,2.331074e+00
5.103141e-01,3.410487e-01,5.428609e-01
1.915882e+00,8.264111e-01,3.402582e+00
1.571833e+00,6.578300e-01,2.086967e+00
1.385941e+00,5.021291e-01,1.602628e+00
1.646165e+00,3.282578e-01,1.742734e+00
1.004520e+00,9.123549e-01,2.453639e+00
1.133007e+00,8.361274e-01,2.065514e+00
1.967913e+00,3.720101e-01,2.120073e+00
1.026052e+00,7.467687e-01,1.542742e+00
1.175816e+00,4.314866e-01,1.303393e+00
1.923518e+00,6.698950e-01,2.590750e+00
1.637919e+00,3.169562e-02,1.638743e+00
1.453795e+00,1.451448e-01,1.469355e+00
1.432256e+00,6.864634e-01,1.969645e+00
1.938157e+00,4.813623e-01,2.211191e+00
1.300047e+00,6.027098e-01,1.629212e+00
1.313159e+00,2.451324e-01,1.354485e+00
6.857380e-01,6.976918e-01,9.572026e-01
1.051038e+00,1.415192e-01,1.061724e+00
1.128446e+00,3.106650e-01,1.187189e+00
1.882330e+00,3.492625e-01,2.008836e+00
7.245978e-01,3.378353e-01,7.698616e-01
5.944126e-01,7.358228e-01,8.777840e-01
1.689518e+00,2.603425e-01,1.749859e+00
1.003871e+00,7.038785e-01,1.413266e+00
5.401491e-01,4.594832e-01,6.081483e-01
5.229707e-01,3.246526e-01,5.529206e-01
1.744199e+00,3.116684e-01,1.835630e+00
1.229074e+00,8.946978e-01,2.751625e+00
6.003115e-01,1.462851e-01,6.068396e-01
1.750258e+00,2.843043e-01,1.825593e+00
1.054522e+00,9.094263e-01,2.535732e+00
1.177577e+00,9.063098e-01,2.786413e+00
1.268764e+00,4.590270e-01,1.428109e+00
1.935996e+00,6.261398e-01,2.482967e+00
1.412228e+00,6.952284e-01,1.964733e+00
8.009560e-01,3.028290e-01,8.404179e-01
1.704359e+00,6.917123e-02,1.708451e+00
1.518737e+00,4.892863e-01,1.741424e+00
1.908828e+00,8.674924e-01,3.837223e+00
9.329094e-01,7.972763e-01,1.545538e+00
1.870168e+00,7.019509e-01,2.625809e+00
1.481983e+00,1.613938e-01,1.501669e+00
1.149625e+00,4.662085e-01,1.299489e+00
1.811091e+00,1.041990e-01,1.821004e+00
8.263352e-01,1.361696e-02,8.264118e-01
1.173251e+00,6.658430e-01,1.572529e+00
1.501444e+00,1.225258e-01,1.512843e+00
1.917218e+00,4.567544e-01,2.155163e+00
7.068496e-01,7.262466e-01,1.028243e+00
1.357136e+00,2.586818e-01,1.404957e+00
8.172150e-01,3.134287e-01,8.605780e-01
1.602781e+00,8.771034e-01,3.337031e+00
7.187841e-01,3.449395e-01,7.657842e-01
1.455790e+00,4.196486e-01,1.603847e+00
7.048765e-01,5.969896e-01,8.786256e-01
1.086537e+00,3.468818e-01,1.158468e+00
8.524093e-01,5.074476e-01,9.892381e-01
1.392241e+00,7.955115e-01,2.297661e+00
8.087158e-01,3.060293e-01,8.494716e-01
5.870603e-01,3.626801e-01,6.299513e-01
1.434552e+00,8.233990e-01,2.528011e+00
1.674533e+00,1.547809e-01,1.694959e+00
1.958204e+00,6.288464e-01,2.518495e+00
1.434342e+00,5.160593e-01,1.674551e+00
1.341225e+00,1.426583e-01,1.355085e+00
1.219517e+00,8.925453e-01,2.704282e+00
1.218110e+00,2.448697e-01,1.256359e+00
1.253828e+00,7.437871e-01,1.875818e+00
1.824143e+00,6.390389e-01,2.371560e+00
1.275673e+00,7.619672e-01,1.969799e+00
1.285245e+00,8.627682e-01,2.542021e+00
